a,b,link,field,value,reason,title_jaccard,title_sequence,author_jaccard,year_diff
77617f1d6cadf520b5ffaa7b719254939addd937,f688b390afd5c345215b391de9c77b88bf8b378a,same_work,,,exact_title_author_overlap,1.0,1.0,0.9167,1.0
7977818ea61c73582c3d02bc23cf8a6be78be9d5,b938e9c585ad8a1f67dbf0963d8ea43f90a9c7af,same_work,,,exact_title_author_overlap,1.0,1.0,0.6667,0.0
8b9a752494539be2e2f2c103ff16d355b51e9b3d,cf6d38b72b3d6713efb94e8f79058a3b81808aca,same_work,,,exact_title_author_overlap,1.0,1.0,0.8333,0.0
a8cd0e28e16dcf55173e46263016b75eddfa63c6,b5d9a3c376ecce3a8fa413abaa023d7dea64fa6c,same_work,,,near_exact_title_author_overlap,1.0,0.9643,0.8667,1.0
aff5ffdc57ce32aa65e88428da6c5f4cceb8ef72,f52b6c4b4be8ad1042f9be3674e583f809cdb559,same_work,,,exact_title_author_overlap,1.0,1.0,1.0,3.0
b0a76d44a9246ff508681d2db578a6ac1873a043,d0d557db9fbaf2d8abd99d4630361b4b93cfb20e,same_work,,,exact_title_author_overlap,1.0,1.0,1.0,1.0
d8fe1ac4a90ba9ed1d6bff155fee3a17b3309b50,e5818e0360835a2f93e5f64f9559a3b116898a33,same_work,,,near_exact_title_author_overlap,1.0,0.977,1.0,1.0
e40c6acab8eaf95fbf610fb3fc396731cfe4abc3,f59c152b23b98eb542a8779342672e2d023ff1f9,same_work,,,exact_title_author_overlap,1.0,1.0,0.8571,3.0
6b1d293c3b6f823c497b7513350cd853434a0237,dddcfb914b23e8a1032a7099fe003a5dfb0af97b,same_work,,,preprint_publication_pair,0.75,0.8951,0.7857,0.0
e1d90fe8f1f2db0241fc690ab1886d05d604d64f,861b30dfe6e069b7d57f65cc0217f1edaea9dc43,same_work,,,near_duplicate_manual,0.8889,0.956,1.0,1.0
e737798e303538f89fca4ccbe4ea28afbb3647e4,ee8f3f44fa05ef4ab6e04a78eb22d0b31ba468cc,same_work,,,preprint_publication_pair,0.8889,0.9615,0.8261,1.0
8d778bef2fba2e8861389fd8594da2efd1af4faf,ceae5ff4efda04d322fa3deef1bf7c56021cefea,same_work,,,preprint_publication_pair,0.8571,0.9308,0.7222,1.0
018d74a19bf95002636252e2c2e4846d25508b8e,71504dfdc928a6fafce9f1ac1baf2401e6d413cb,same_work,,,preprint_publication_pair,0.8571,0.8201,0.85,1.0
464f47639f630711eeb8eec0b964b6fe922e232b,e0daedfb9f720e14b4c08afccfdeedcd69749d5f,same_work,,,preprint_publication_pair,0.8462,0.9391,0.8333,1.0
042a2efbae458d720431e1e92de8e6ae1e086496,1c91aa3f4ffd43a93fa524e74ec49e46f4b5d9f8,same_work,,,preprint_publication_pair,0.8462,0.9099,1.0,1.0
a1b95104ddb7801ac58528225e24f9c48a915820,8943de6c17be093379ab45862e928ff5cafb6a0e,same_work,,,preprint_publication_pair,0.8333,0.939,1.0,1.0
717a87eaaba61930e455858d1a6bfa1145ea70f5,9911ea8e41da7084b7eddcf885071e93dbceb2b9,same_work,,,preprint_publication_pair,0.8182,0.954,1.0,1.0
61b16b2f8726274a5dd5b4d69561863cc12676ac,5b79c3e1c985651f0a9d126aef473092d2cfdc42,same_work,,,preprint_publication_pair,0.8,0.9384,1.0,0.0
7d78806e5413a68bc6869a3eac9f94a01bb75282,8245e990ff2a8794608fc6e8913d6e5fee9b7107,same_work,,,preprint_publication_pair,0.8,0.9274,1.0,1.0
7bf6dbd0bbc3f1314d3bbfd463b024c120b4ac4a,e4536e25b49c85d2c3f9b5608c0e24516ec6ec35,same_work,,,preprint_publication_pair,0.7778,0.9787,1.0,0.0
128c27d32bfd7faea76109017002a70045429d60,b9353bf2cb86fe663273b84f9471c9a24fbdb947,same_work,,,preprint_publication_pair,0.7778,0.9128,1.0,1.0
230329813841dc26ddf3ae61394b085ba9f32c40,9791aa15943ba68217ef1d715a1adf351162347a,same_work,,,preprint_publication_pair,0.7778,0.8553,0.8542,0.0
f4e95b2247964b214cd4c15a3b2f938a8e7c348d,b61bd3213cd93cbfb113434d8e3d0b525536113d,same_work,,,preprint_publication_pair,0.75,0.988,0.8182,0.0
69b0aa2e1fd90a9f689384cd14d9cd662698304e,00a01bf59871e8a25abfc9647d952a75d8b6bff5,same_work,,,preprint_publication_pair,0.75,0.9266,0.9375,1.0
a0029975d35809084ce5a97ed8bd054147189d84,61ab99cfe86570cf2b8a3c3e7cdadc8654211e68,same_work,,,preprint_publication_pair,0.875,0.9306,0.875,0.0
c67082bbe83aa651b164b3cc61f7972839891215,9506c10b85b97bc2e0876b6d244b8f34b1145864,same_work,,,preprint_publication_pair,0.8,0.9273,1.0,0.0
b5605575ca70539dd4268641a95963e5cbc40e4f,58b15936d0bd24af9a99e3b218f827faf2455990,same_work,,,preprint_publication_pair,0.7778,0.8725,0.6,1.0
a80b274f61c4f5c65e28a596c01a7c79ce86dad3,ab0bc68089d08f90d3d9b77226c28e889b73e8e9,same_work,,,preprint_publication_pair,0.7692,0.907,1.0,1.0
06e229166206b78af16786cf3e576036253cc9d3,47c6a8a0d91f02667dc28d708e806b9741fdb37b,same_work,,,preprint_publication_pair,0.7143,0.9683,0.5,1.0
6974d7ddacf27152fddaf8e658c753f5e5a3270e,38c52c14a8e668073f1ddb4ccd0f31d73b206a12,same_work,,,preprint_publication_pair,1.0,1.0,0.4483,2.0
34313331e3d146173635b7ea4cdec3b648946466,b2e6215542288d10b9d5d1ad21d5b49e31eca742,same_work,,,preprint_publication_pair,0.9,0.957,0.9643,1.0
d28e270ea6cac6175a92677efdfc4d48d9075896,52259f849bc887144bca7e9b10fe1acc412d57ad,same_work,,,preprint_publication_pair,0.875,0.9823,0.7647,1.0
18691c86b7ee818b0e1ccd2a8082a0d66031f53c,18555de7d13ad46f97ac0682e7b007e83e838b64,same_work,,,preprint_publication_pair,0.8667,0.9208,0.8966,1.0
018e25a060c4ee1b486804249f8d89db65cd2c43,9229237401ee130916a5e27d36df725319813fef,same_work,,,preprint_publication_pair,0.8462,0.9735,1.0,1.0
641ea2858cf12078d4c7681737f6ddf79fb68e31,5d0a14c66e598ab979214829888098cfd9254fd6,same_work,,,preprint_publication_pair,0.8462,0.9646,1.0,0.0
458233f9503e9ebb1ff5be2b2b14fca60d5ad95c,6d33aac17a19bc3f7f47182e16447581bba97dc9,same_work,,,preprint_publication_pair,0.8333,0.9953,0.8261,3.0
bd8feb1f539b5cdaf17cb4cc9cc2723f75cfbd86,65fd6e6fd9ca4ad247c2e3f07fc55e3f47e7405c,same_work,,,preprint_publication_pair,0.8,0.9455,1.0,1.0
810a90053fec526400bd04e44a00b688037f983b,08a3c6c8efcb5d67b86787c6deab21fa22debd3d,same_work,,,preprint_publication_pair,0.75,0.9848,0.8889,1.0
684edf582adb405309c9a644cde870cd058078b1,9f50d63db2dd55b2b44f6d5d42a553a2e2be458d,same_work,,,preprint_publication_pair,0.75,0.8676,1.0,0.0
fe90b3cbb030990d5fde334624ad7d2b2b4ddd9a,fd0d07236fed4b8aab30c51ed1f7f7617244f769,same_work,,,preprint_publication_pair,0.7273,0.8945,0.5,1.0
14d3ef79fd3a1adb5411b575aeca896a84b013a6,02072982afdd4c6bf28869e68a584372279de1ac,same_work,,,preprint_publication_pair,0.8889,0.9351,1.0,0.0
fc93f4cdc8c8dc2dfa2f53912744476147cfc2b3,c186d81efab84c7d7a08c37c173a267cd1f5ddc9,same_work,,,preprint_publication_pair,0.875,0.9103,0.75,0.0
ebbb825e632194283d6b826c1181e82a57313b39,486e9aabf6af516e8d14ec90e5481b340e4a068e,same_work,,,near_duplicate_manual,0.8333,0.9138,0.9091,1.0
0e5b3bd5406d40ac95c6e6f2270cf298ddf460f8,49b4c9471682b79fa721b0e1f4f56ef08283c0b9,same_work,,,preprint_publication_pair,0.8,0.9178,0.8333,1.0
