flag,tj,seq,aj,yd,pre_pair,both_inclusive,a_wid,b_wid,a_dec,b_dec,a_year,b_year,a_venue,b_venue,a_doi,b_doi,a_arxiv,b_arxiv,a_title,b_title,a_vc,b_vc
preprint_near_miss,0.846,0.939,0.857,1.0,True,True,work_6922548bd6668b06,work_a91dd32f1e156d6b,core_relevant,core_relevant,2025.0,2024.0,Proceedings of the National Academy of S,arXiv.org,10.1073/pnas.2417850122,nan,,2409.02682,Symmetries and synchronization from whole-neural activity in the Caenorhabditis elegans connectome: Integration of funct,Symmetries and synchronization from whole-neural activity in C. elegans connectome: Integration of functional and struct,1,1
preprint_near_miss,0.846,0.91,1.0,1.0,True,True,work_6a4f0f39d4def518,work_d0d0574327b29c36,core_relevant,core_relevant,2023.0,2022.0,Science Advances,bioRxiv,10.1126/sciadv.adf3471,10.1101/2022.08.21.504684,,,3D reconstruction of the cerebellar germinal layer reveals tunneling connections between developing granule cells,3D reconstruction of the cerebellar germinal layer reveals intercytoplasmic connections between developing granule cells,1,1
preprint_near_miss,0.833,0.995,0.833,3.0,True,True,work_5b8a9817f078c45d,work_bd2ccf370cd8d95a,adjacent_relevant,adjacent_relevant,2024.0,2021.0,eLife,bioRxiv,10.7554/elife.85419,10.1101/2021.05.16.444258,,,High-throughput mapping of single-neuron projection and molecular features by retrograde barcoded labeling,High-throughput mapping of single-neuron projection and molecular features by retrograde barcoded labelling,1,1
preprint_near_miss,0.833,0.968,0.833,1.0,True,True,work_3e60fe428a3b9056,work_66a647fb0882e511,adjacent_relevant,adjacent_relevant,2020.0,2021.0,bioRxiv,eLife,10.1101/2020.12.22.423995,10.7554/elife.66011,,,Sustained expression of unc-4/Hox and unc-37/Groucho in postmitotic neurons specifies the spatial organization of the ch,Sustained expression of unc-4 homeobox gene and unc-37/Groucho in postmitotic neurons specifies the spatial organization,1,1
preprint_near_miss,0.833,0.939,1.0,1.0,True,True,work_401c89a6385f9a3d,work_b65ed95337b7dc26,core_relevant,core_relevant,2019.0,2020.0,bioRxiv,eLife,10.1101/571695,10.7554/elife.46876,,,Cell-type specific innervation of cortical pyramidal cells at their apical tufts,Cell-type specific innervation of cortical pyramidal cells at their apical dendrites,1,1
preprint_near_miss,0.818,0.954,1.0,1.0,True,True,work_57740b7642ad74b1,work_988afa930dd686a5,core_relevant,core_relevant,2022.0,2021.0,Nature Communications,bioRxiv,10.1038/s41467-022-32762-7,10.1101/2021.05.31.446404,,,Center-surround interactions underlie bipolar cell motion sensitivity in the mouse retina,Center-surround interactions underlie bipolar cell motion sensing in the mouse retina,1,1
preprint_near_miss,0.8,0.945,1.0,1.0,True,True,work_40fc999a7afe7d1d,work_e94cc5e67a4cfa4e,adjacent_relevant,adjacent_relevant,2020.0,2019.0,Neuroinformatics,bioRxiv,10.1007/s12021-020-09471-x,10.1101/736520,,,Prediction of a Cell-Class-Specific Mouse Mesoconnectome Using Gene Expression Data,Prediction of a cell-type specific mouse mesoconnectome using gene expression data,1,1
preprint_near_miss,0.8,0.938,1.0,0.0,True,True,work_171372e1aa47365c,work_2fb4d7c6fc7d1a14,core_relevant,core_relevant,2024.0,2024.0,iScience,bioRxiv,10.1016/j.isci.2024.110713,10.1101/2024.03.06.583122,,,Asymmetry in synaptic connectivity balances redundancy and reachability in the Caenorhabditis elegans connectome,Asymmetry in synaptic connectivity balances redundancy and reachability in the C. elegans connectome,1,1
preprint_near_miss,0.8,0.928,0.875,1.0,True,True,work_40d5af324ef3fb9a,work_9942d849a5c5e13d,adjacent_relevant,adjacent_relevant,2022.0,2021.0,Life Science Alliance,bioRxiv,10.26508/lsa.202201420,10.1101/2021.11.29.470485,,,Neuropeptide signalling shapes feeding and reproductive behaviours in male Caenorhabditis elegans,Neuropeptide signalling shapes feeding and reproductive behaviours in male C. elegans,1,1
preprint_near_miss,0.8,0.927,1.0,1.0,True,True,work_754bce12dda22d66,work_76f78823e1d94096,core_relevant,core_relevant,2017.0,2018.0,bioRxiv,PLoS Comput. Biol.,10.1101/207134,10.1371/journal.pcbi.1005989,,,"Hub connectivity, neuronal diversity, and gene expression in the C. elegans connectome","Hub connectivity, neuronal diversity, and gene expression in the Caenorhabditis elegans connectome",1,1
preprint_near_miss,0.8,0.927,1.0,0.0,True,True,work_09cad265abcc12f6,work_57acd5b918a0ef71,adjacent_relevant,core_relevant,2022.0,2022.0,Network Neuroscience,bioRxiv,10.1162/netn_a_00283,10.1101/2022.03.11.484039,,,Circuit analysis of the Drosophila brain using connectivity-based neuronal classification reveals organization of key co,Circuit analysis of the Drosophila brain using connectivity-based neuronal classification reveals organization of key in,1,1
preprint_near_miss,0.778,0.979,1.0,0.0,True,True,work_12d8761a63328240,work_f5cd0f9a22de661a,core_relevant,core_relevant,2024.0,2024.0,Nature,bioRxiv,10.1038/s41586-024-08255-6,10.1101/2024.03.15.585289,,,Social state alters vision using three circuit mechanisms in Drosophila,Social state gates vision using three circuit mechanisms in Drosophila,1,1
preprint_near_miss,0.778,0.913,1.0,1.0,True,True,work_564cb966947b22a2,work_5b81fc91a6acd597,core_relevant,core_relevant,2021.0,2020.0,Nature,bioRxiv,10.1038/s41586-021-03778-8,10.1101/2020.04.30.066209,,,Connectomes across development reveal principles of brain maturation,Connectomes across development reveal principles of brain maturation in C. elegans,1,1
preprint_near_miss,0.778,0.872,0.636,1.0,True,True,work_58ffc4aa95b9babd,work_b4123cdf49a2541d,adjacent_relevant,core_relevant,2019.0,2018.0,eNeuro,bioRxiv,10.1523/eneuro.0193-19.2019,10.1101/386912,,,Fluorescence-Based Quantitative Synapse Analysis for Cell Type-Specific Connectomics,Quantitative synapse analysis for cell-type specific connectomics,1,1
preprint_near_miss,0.778,0.855,0.941,0.0,True,True,work_a381ff6a6d065982,work_ccefb6bc5c03ca1e,core_relevant,core_relevant,2024.0,2024.0,Nature,bioRxiv,10.1038/s41586-024-07389-x,10.1101/2022.12.15.520299,,,Connectomic reconstruction of a female Drosophila ventral nerve cord,Tools for connectomic reconstruction and analysis of a female Drosophila ventral nerve cord,1,1
preprint_near_miss,0.769,0.907,1.0,1.0,True,True,work_ad0e04ae179235d2,work_f378871fb09fedda,core_relevant,adjacent_relevant,2025.0,2024.0,PLoS Comput. Biol.,arXiv.org,10.1371/journal.pcbi.1013818,nan,,2501.00278,A data-driven biology-based network model reproduces C. elegans premotor neural dynamics,A data-driven biophysical network model reproduces C. elegans premotor neural dynamics,1,1
preprint_near_miss,0.75,0.988,0.875,0.0,True,True,work_74fbfda1e48554b7,work_ba4c840d8621530a,core_relevant,core_relevant,2017.0,2017.0,eLife,bioRxiv,10.7554/elife.26349,10.1101/115204,,,Synaptic and peptidergic connectome of a neurosecretory center in the annelid brain,Synaptic and peptidergic connectome of a neurosecretory centre in the annelid brain,1,1
preprint_near_miss,0.75,0.985,1.0,1.0,True,True,work_750e9d67fef153c8,work_8b7e42dd0db5e95b,adjacent_relevant,adjacent_relevant,2025.0,2026.0,arXiv.org,Nature,nan,10.1038/s41586-025-09784-4,2509.23431,,Surface Optimisation Governs the Local Design of Physical Networks,Surface optimization governs the local design of physical networks,1,1
preprint_near_miss,0.75,0.927,1.0,1.0,True,True,work_31d4ff5b664b68cf,work_ba06be4ad07d832b,core_relevant,core_relevant,2021.0,2022.0,bioRxiv,Biological Imaging,10.1101/2021.11.02.467022,10.1017/s2633903x2200006x,,,Automatic Detection and Neurotransmitter Prediction of Synapses in Electron Microscopy,Automatic classification and neurotransmitter prediction of synapses in electron microscopy,1,1
preprint_near_miss,0.75,0.868,1.0,0.0,True,True,work_552d850b28024e81,work_fe1a48095ec7ebca,adjacent_relevant,adjacent_relevant,2020.0,2020.0,Nature Methods,bioRxiv,10.1038/s41592-020-00989-1,10.1101/2020.01.24.918656,,,"BAcTrace, a tool for retrograde tracing of neuronal circuits in Drosophila",BAcTrace a new tool for retrograde tracing of neuronal circuits,1,1
preprint_near_miss,0.727,0.894,0.556,1.0,True,True,work_0f04ae9a977036ef,work_eda8bfb049f64e3d,adjacent_relevant,role_bridge,2024.0,2023.0,Nature Protocols,arXiv.org,10.1038/s41596-024-00957-5,nan,,2303.03876,"Modular segmentation, spatial analysis and visualization of volume electron microscopy datasets","Organelle-specific segmentation, spatial analysis, and visualization of volume electron microscopy datasets",1,1
preprint_near_miss,0.714,0.968,0.667,1.0,True,True,work_3d9daf3ab214c7e3,work_eae005a0f4080def,core_relevant,adjacent_relevant,2016.0,2017.0,bioRxiv,Frontiers in Behavioral Neuroscience,10.1101/051318,10.3389/fnbeh.2017.00102,,,Generating an Executable Model of the Drosophila Central Complex,Generating Executable Models of the Drosophila Central Complex,1,1
near_duplicate_title,0.889,0.935,1.0,0.0,False,False,work_7f98fa53f3d8805d,work_ad2245ba02976b6a,adjacent_relevant,insufficient_abstract,2004.0,2004.0,Neuron,nan,10.1016/s0896-6273(04)00498-2,nan,,,Synaptic connectivity and neuronal morphology: two sides of the same coin.,Viewpoint Synaptic Connectivity and Neuronal Morphology: Two Sides of the Same Coin,1,1
near_duplicate_title,0.889,0.933,1.0,0.0,False,False,work_24d17db375924e69,work_fd6353a8d1e9547e,uncertain,adjacent_relevant,2005.0,2005.0,PLoS Biology,PLoS Biology,10.1371/journal.pbio.0030350,10.1371/journal.pbio.0030068,,,Correction: Highly Nonrandom Features of Synaptic Connectivity in Local Cortical Circuits,Highly Nonrandom Features of Synaptic Connectivity in Local Cortical Circuits,1,1
near_duplicate_title,0.889,0.927,1.0,0.0,False,False,work_293578fb8aea829e,work_bfd6257501fca857,out_of_scope,out_of_scope,2015.0,2015.0,Frontiers in Human Neuroscience,Frontiers in Human Neuroscience,10.3389/fnhum.2015.00386,10.3389/fnhum.2015.00458,,,GRETNA: a graph theoretical network analysis toolbox for imaging connectomics,Corrigendum: GRETNA: a graph theoretical network analysis toolbox for imaging connectomics,1,1
near_duplicate_title,0.889,0.916,1.0,0.0,False,False,work_2839d159b329c51e,work_65baa7c7ae74d1b6,out_of_scope,out_of_scope,2020.0,2020.0,UNSURE/GRAIL@MICCAI,Uncertainty for Safe Utilization of Mach,10.1007/978-3-030-60365-6_13,10.1007/978-3-030-60365-6_21,,,Graph Matching Based Connectomic Biomarker with Learning for Brain Disorders,Correction to: Graph Matching Based Connectomic Biomarker with Learning for Brain Disorders,1,1
preprint_near_miss,1.0,0.947,1.0,1.0,True,False,work_5b62afffb6dc9527,work_7bca0fc3690c4307,out_of_scope,out_of_scope,2021.0,2020.0,Network Neuroscience,bioRxiv,10.1162/netn_a_00187,10.1101/2020.09.15.298307,,,Predicting MEG resting-state functional connectivity from microstructural information,Predicting MEG resting-state functional connectivity using microstructural information,1,1
preprint_near_miss,1.0,0.881,1.0,1.0,True,False,work_29a46ffc83e815f5,work_97d760eb683a3346,core_relevant,out_of_scope,2024.0,2025.0,bioRxiv,eLife,10.1101/2024.08.27.609993,10.7554/elife.103977,,,NeuroSC: Exploring Neurodevelopment via Spatiotemporal Collation of Anatomical Networks,Exploring neurodevelopment via spatiotemporal collation of anatomical networks with NeuroSC,1,1
preprint_near_miss,0.929,0.94,1.0,1.0,True,False,work_738c9dabdcec74c6,work_f4a8d1f2134cc6fc,out_of_scope,out_of_scope,2022.0,2023.0,bioRxiv,NeuroImage,10.1101/2022.06.01.494301,10.1016/j.neuroimage.2023.120006,,,"Effect of channel density, inverse solutions and connectivity measures on EEG resting-state networks: a simulation study","Effect of channel density, inverse solutions and connectivity measures on EEG resting-state networks reconstruction: A s",1,1
preprint_near_miss,0.917,0.972,1.0,0.0,True,False,work_099a7f3c1eee07e6,work_3b9bbf1765187fe9,out_of_scope,out_of_scope,2021.0,2021.0,bioRxiv,Journal of Clinical and Translational Sc,10.1371/journal.pcbi.1008710,10.1017/cts.2021.423,,,Basis profile curve identification to understand electrical stimulation effects in human brain networks,19233 Basis profile curve identification to understand electrical stimulation effects in human brain networks,1,1
preprint_near_miss,0.9,0.997,1.0,1.0,True,False,work_2ed1b4217bd49c80,work_7b51f5706fb6b5eb,out_of_scope,out_of_scope,2025.0,2024.0,Journal of Alzheimer's Disease,bioRxiv,10.1177/13872877251378778,10.1101/2024.05.13.593982,,,Sex-dependent effect of amyloidosis on functional network ‘hub’ topology is associated with downregulated neuronal gene ,Sex-dependent effects of amyloidosis on functional network hub topology is associated with downregulated neuronal gene s,1,1
preprint_near_miss,0.9,0.972,1.0,1.0,True,False,work_02e871c04073db49,work_c94511882440c1fb,out_of_scope,out_of_scope,2022.0,2023.0,bioRxiv,IEEE International Symposium on Biomedic,10.1101/2022.12.20.521280,10.1109/isbi53787.2023.10230815,,,Analysis of structural network topology alterations in autism and its relationship with autism severity,Analysis of Structural Brain Network Topology Alterations in Autism and its Relationship with Autism Severity,1,1
preprint_near_miss,0.9,0.945,1.0,1.0,True,False,work_97642d6405e6b9f7,work_9c39732e07985a6f,out_of_scope,insufficient_abstract,2020.0,2021.0,bioRxiv,Brain : a journal of neurology,10.1093/brain/awab118,10.1093/brain/awab234,,,The Developing Human Connectome Project: typical and disrupted perinatal functional connectivity,Erratum to: The Developing Human Connectome Project: typical and disrupted perinatal functional connectivity.,1,1
preprint_near_miss,0.9,0.943,1.0,2.0,True,False,work_9b19cf10afc82f84,work_c9f11c6df43f6119,out_of_scope,out_of_scope,2020.0,2022.0,bioRxiv,PLoS Comput. Biol.,10.1101/2020.09.08.287110,10.1371/journal.pcbi.1010224,,,Graph neural fields: A framework for spatiotemporal dynamical models on the human connectome,Correction: Graph neural fields: A framework for spatiotemporal dynamical models on the human connectome,1,1
preprint_near_miss,0.9,0.904,0.875,0.0,True,False,work_44c3f972a4d4f45c,work_beea6d7ff3d97db0,out_of_scope,out_of_scope,2020.0,2020.0,NeuroImage,bioRxiv,10.1016/j.neuroimage.2020.117273,10.1101/2020.03.09.965079,,,Non-Negative Data-Driven Mapping of Structural Connections with Application to the Neonatal Brain,Non-Negative Data-Driven Mapping of Structural Connections in the Neonatal Brain,1,1
preprint_near_miss,0.895,0.961,1.0,0.0,True,False,work_3d0ac282b0b4a220,work_502f3fcda5afe2ef,out_of_scope,adjacent_relevant,2023.0,2023.0,Brain Structure and Function,bioRxiv,10.1007/s00429-023-02659-2,10.1101/2023.02.23.529814,,,Exercise alters cortico-basal ganglia network metabolic connectivity: a mesoscopic level analysis informed by anatomic p,Exercise alters cortico-basal ganglia network functional connectivity: A mesoscopic level analysis informed by anatomic ,1,1
preprint_near_miss,0.889,0.97,1.0,3.0,True,False,work_52b580bc3bd18b49,work_ace02ef06d00390d,adjacent_relevant,out_of_scope,2024.0,2021.0,eLife,bioRxiv,10.7554/elife.89532,10.1101/2021.11.03.467093,,,Combinatorial expression of γ-protocadherins regulates synaptic connectivity in the mouse neocortex,Combinatorial expression of gamma-protocadherins regulates synaptic connectivity in the mouse neocortex,1,1
preprint_near_miss,0.889,0.924,0.583,2.0,True,False,work_348b9c594edf6938,work_780f5506d30b365c,out_of_scope,out_of_scope,2021.0,2023.0,nan,Brain : a journal of neurology,10.21203/rs.3.rs-1181593/v1,10.1093/brain/awad013,,,Latent disconnectome prediction of long-term cognitive symptoms in stroke,Latent disconnectome prediction of long-term cognitive-behavioural symptoms in stroke,1,1
preprint_near_miss,0.875,0.952,1.0,1.0,True,False,work_0da2a144ea2516ee,work_f3534e571d79cff0,out_of_scope,adjacent_relevant,2015.0,2014.0,PLoS Comput. Biol.,arXiv.org,10.1371/journal.pcbi.1004458,nan,,1411.3956,Self-Organization of Microcircuits in Networks of Spiking Neurons with Plastic Synapses,Self-organization of microcircuits in networks of neurons with plastic synapses,1,1
preprint_near_miss,0.875,0.91,0.833,0.0,True,False,work_49e33bc085bf8886,work_c7040986681b0037,out_of_scope,insufficient_abstract,2016.0,2016.0,Scientific Reports,nan,10.1038/srep30770,nan,1603.05261,,Optimally controlling the human connectome: the role of network topology,Supplement to : Optimally controlling the human connectome : the role of network topology,1,1
preprint_near_miss,0.867,0.95,1.0,1.0,True,False,work_2b283ee040ebe278,work_aaf052054b177d0b,out_of_scope,out_of_scope,2021.0,2020.0,Molecular Autism,arXiv.org,10.1186/s13229-021-00439-5,nan,,2005.08035,Single-participant structural similarity matrices lead to greater accuracy in classification of participants than functi,Single-participant structural connectivity matrices lead to greater accuracy in classification of participants than func,1,1
preprint_near_miss,0.867,0.906,1.0,1.0,True,False,work_8ece1cf2610039aa,work_afc486283cb8cf06,out_of_scope,out_of_scope,2023.0,2024.0,arXiv.org,Applied Sciences,10.48550/arxiv.2311.13337,10.3390/app14052211,2311.13337,,Vast TVB parameter space exploration: A Modular Framework for Accelerating the Multi-Scale Simulation of Human Brain Dyn,Vast Parameter Space Exploration of the Virtual Brain: A Modular Framework for Accelerating the Multi-Scale Simulation o,1,1
preprint_near_miss,0.857,0.996,1.0,1.0,True,False,work_1d6b0a6f734b93f6,work_cfbc6af7a02ee4ce,out_of_scope,out_of_scope,2016.0,2017.0,arXiv.org,NMR in Biomedicine,nan,10.1002/nbm.3734,1604.07287,,Diffusion MRI microstructure models with in vivo human brain Connectom data: results from a multi-group comparison,Diffusion MRI microstructure models with in vivo human brain Connectome data: results from a multi-group comparison,1,1
preprint_near_miss,0.846,0.889,1.0,1.0,True,False,work_5db22567ef168d09,work_ed82e6ce22ab1063,out_of_scope,out_of_scope,2024.0,2023.0,bioRxiv,Annual International Conference of the I,10.1101/2024.01.10.575131,10.1109/embc40787.2023.10340631,,,Neuromark PET: A multivariate method for Estimating and comparing whole brain functional networks and connectomes from f,A Multivariate Method for Estimating and comparing whole brain functional connectomes from fMRI and PET data,1,1
preprint_near_miss,0.833,0.956,1.0,1.0,True,False,work_4b09479813dc6af9,work_ff61da020434579e,out_of_scope,adjacent_relevant,2022.0,2023.0,bioRxiv,Human Brain Mapping,10.1101/2022.03.14.483870,10.1002/hbm.26239,,,Integrated Diffusion Image Operator (iDIO): A tool for automated configuration and processing of diffusion MRI data,Integrated diffusion image operator (iDIO): A pipeline for automated configuration and processing of diffusion MRI data,1,1
preprint_near_miss,0.833,0.914,1.0,1.0,True,False,work_0159d70a05ed78c5,work_b822d82eebbd423f,out_of_scope,out_of_scope,2024.0,2023.0,Network Neuroscience,bioRxiv,10.1162/netn_a_00393,10.1101/2023.04.25.538320,,,Connectome embedding in multidimensional graph spaces,Connectome embedding in multidimensional graph-invariant spaces,1,1
preprint_near_miss,0.824,0.95,1.0,1.0,True,False,work_1af33959fd66e1b7,work_e634de68175b01d8,out_of_scope,out_of_scope,2022.0,2023.0,bioRxiv,Medical Image Anal.,10.1101/2022.07.19.500642,10.1016/j.media.2023.102864,,,Cross Atlas Remapping via Optimal Transport (CAROT): Creating connectomes for any atlas when raw data is not available,Cross Atlas Remapping via Optimal Transport (CAROT): Creating connectomes for different atlases when raw data is not ava,1,1
preprint_near_miss,0.818,0.911,1.0,1.0,True,False,work_285cb125e7317a02,work_c7fd3537b5a0bd58,out_of_scope,adjacent_relevant,2021.0,2020.0,Neuron,bioRxiv,10.1016/j.neuron.2021.08.024,10.1101/2020.09.07.286500,,,A dopamine gradient controls access to distributed working memory in the large-scale monkey cortex,A dopamine gradient controls access to distributed working memory in monkey cortex,1,1
preprint_near_miss,0.818,0.911,1.0,1.0,True,False,work_7098342a49889a23,work_ff59c09784c51743,out_of_scope,out_of_scope,2026.0,2025.0,Medical Image Anal.,International Conference on Medical Imag,10.1016/j.media.2026.104156,10.48550/arxiv.2508.11436,,2508.11436,HyperCOCO: Multi-sensory Hyper COgnitive COmputing for learning population level brain connectivity,Multi-Sensory Cognitive Computing for Learning Population-level Brain Connectivity,1,1
preprint_near_miss,0.8,0.995,1.0,1.0,True,False,work_641428621a155ba7,work_769d81a48cf8260b,out_of_scope,out_of_scope,2020.0,2019.0,PLoS Biology,nan,10.1371/journal.pbio.3000733,10.1101/798819,,,Rest-task modulation of fMRI-derived global signal topography is mediated by transient coactivation patterns,Rest-task Modulation of fMRI-derived Global Signal Topography is Mediated by Transient Co-activation Patterns,1,1
preprint_near_miss,0.8,0.918,1.0,1.0,True,False,work_21172651321be0c9,work_990d7d6abfa17e5a,insufficient_abstract,core_relevant,2020.0,2019.0,nan,bioRxiv,10.1007/978-1-0716-0691-9_12,10.1101/852863,,,Transforming FIB-SEM Systems for Large-Volume Connectomics and Cell Biology,Enabling FIB-SEM Systems for Large Volume Connectomics and Cell Biology,1,1
preprint_near_miss,0.8,0.9,1.0,0.0,True,False,work_b4bb2d10fc24d1ed,work_cb2dafb99bfb125a,out_of_scope,out_of_scope,2020.0,2020.0,bioRxiv,Scientific Reports,10.1101/2020.06.13.150060,10.1038/s41598-020-76935-0,,,Contextual experience modifies functional connectome indices of topological strength and organization,Contextual experience modifies functional connectome indices of topological strength and efficiency,1,1
preprint_near_miss,0.8,0.887,1.0,2.0,True,False,work_7e4b2c83369ebdde,work_f4773848bd190dc3,out_of_scope,out_of_scope,2026.0,2024.0,IEEE transactions on bio-medical enginee,arXiv.org,10.1109/tbme.2026.3670101,10.48550/arxiv.2408.03358,,2408.03358,MLC-GCN: Multi-Level Generated Connectome Based GCN for AD Detection.,MLC-GCN: Multi-Level Generated Connectome Based GCN for AD Analysis,1,1
preprint_near_miss,0.8,0.865,1.0,2.0,True,False,work_a9583f7c336fa5ea,work_fb6bd7635bf81856,out_of_scope,out_of_scope,2024.0,2022.0,Nature Communications,bioRxiv,10.1038/s41467-024-50248-6,10.1101/2022.12.19.519033,,,"A multi-modal, asymmetric, weighted, and signed description of anatomical connectivity","Redefining the connectome: A multi-modal, asymmetric, weighted, and signed description of anatomical connectivity",1,1
preprint_near_miss,0.769,0.882,1.0,0.0,True,False,work_2e7057c9bdb34818,work_4383cd87e4a9f214,core_relevant,insufficient_abstract,2022.0,2022.0,bioRxiv,nan,10.1101/2022.05.19.492713,nan,,,Bisected graph matching improves automated pairing of bilaterally homologous neurons from connectomes,Supplemental Information: Bisected graph matching improves automated 2 pairing of bilaterally homologous neurons from co,1,1
preprint_near_miss,0.75,0.954,1.0,2.0,True,False,work_986f902564685750,work_9e5e8182976fb305,out_of_scope,out_of_scope,2023.0,2025.0,bioRxiv,Network Neuroscience,10.1101/2023.12.23.573208,10.1162/netn_a_00436,,,Multilayer Network Analysis across Cortical Depths in Resting-State 7T fMRI,Multilayer network analysis across cortical depths in 7-T resting-state fMRI,1,1
preprint_near_miss,0.75,0.952,0.833,1.0,True,False,work_93c13caad9edaccc,work_b5c0a8ca7066f53d,out_of_scope,out_of_scope,2018.0,2019.0,bioRxiv,eNeuro,10.1101/434191,10.1523/eneuro.0047-19.2019,,,Multi-scale Imaging Reveals Aberrant Connectome Organization and Elevated Dorsal Striatal Arc Expression in Advanced Age,Multiscale Imaging Reveals Aberrant Functional Connectome Organization and Elevated Dorsal Striatal Arc Expression in Ad,1,1
preprint_near_miss,0.75,0.857,1.0,2.0,True,False,work_3e71b715500e58e1,work_aa5da09964e44de0,out_of_scope,out_of_scope,2017.0,2019.0,bioRxiv,Scientific Reports,10.1101/241091,10.1038/s41598-019-50093-4,,,Disrupted structural connectivity in Pediatric Bipolar Disorder,Disrupted brain structural connectivity in Pediatric Bipolar Disorder with psychosis,1,1
