work_id,source,identifier,error
work_5d1a82db0c714b0e,semantic_scholar,10.1007/978-3-031-21083-9_12,<HTTPError 429: ''>
work_5d1a82db0c714b0e,semantic_scholar,title,<HTTPError 429: ''>
work_5d1a82db0c714b0e,datacite,10.1007/978-3-031-21083-9_12,<HTTPError 404: 'Not Found'>
work_0c5cdd3de8680ee3,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_0c5cdd3de8680ee3,semantic_scholar,10.1016/j.algal.2022.102943,<HTTPError 429: ''>
work_0c5cdd3de8680ee3,semantic_scholar,title,<HTTPError 429: ''>
work_0c5cdd3de8680ee3,datacite,10.1016/j.algal.2022.102943,<HTTPError 404: 'Not Found'>
work_ae79040e025d26fb,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_ae79040e025d26fb,semantic_scholar,10.1007/s13721-019-0192-6,<HTTPError 429: ''>
work_ae79040e025d26fb,semantic_scholar,title,<HTTPError 429: ''>
work_ae79040e025d26fb,datacite,10.1007/s13721-019-0192-6,<HTTPError 404: 'Not Found'>
work_4383cd87e4a9f214,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_b7671bc4976f1fe5,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_b7671bc4976f1fe5,datacite,10.53053/qfxt1842,<HTTPError 404: 'Not Found'>
work_5cda401253232b55,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_5cda401253232b55,datacite,10.1007/978-3-030-32251-9_51,<HTTPError 404: 'Not Found'>
work_c35bc9b5d9a82cfe,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_c35bc9b5d9a82cfe,datacite,10.1016/j.neulet.2017.09.002,<HTTPError 404: 'Not Found'>
work_3eeadd4ace5b5f2e,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_3eeadd4ace5b5f2e,semantic_scholar,title,<HTTPError 429: ''>
work_6e7cfb821a1c3304,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_6e7cfb821a1c3304,semantic_scholar,title,<HTTPError 429: ''>
work_d71641fa0893683c,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_d71641fa0893683c,semantic_scholar,10.1016/s0920-9964(97)88513-1,<HTTPError 429: ''>
work_d71641fa0893683c,semantic_scholar,title,<HTTPError 429: ''>
work_d71641fa0893683c,datacite,10.1016/s0920-9964(97)88513-1,<HTTPError 404: 'Not Found'>
work_a9f4291de842d4c9,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_a9f4291de842d4c9,semantic_scholar,10.1007/978-3-030-32391-2,<HTTPError 429: ''>
work_a9f4291de842d4c9,semantic_scholar,title,<HTTPError 429: ''>
work_a9f4291de842d4c9,datacite,10.1007/978-3-030-32391-2,<HTTPError 404: 'Not Found'>
work_3ec2672b886ad260,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_3ec2672b886ad260,semantic_scholar,title,<HTTPError 429: ''>
work_3ec2672b886ad260,datacite,10.1007/978-3-319-12913-6_1,<HTTPError 404: 'Not Found'>
work_e3d43c22f15e17a3,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_f61bd0548913eaaa,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_23451f238867b69a,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_23451f238867b69a,semantic_scholar,10.1038/d41586-024-03182-y,<HTTPError 429: ''>
work_23451f238867b69a,semantic_scholar,title,<HTTPError 429: ''>
work_23451f238867b69a,datacite,10.1038/d41586-024-03182-y,<HTTPError 404: 'Not Found'>
work_e80c6bc77f7211bd,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_e80c6bc77f7211bd,semantic_scholar,title,<HTTPError 429: ''>
work_5ef7933f6a4f127a,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_5ef7933f6a4f127a,semantic_scholar,title,<HTTPError 429: ''>
work_4c04dead9c739144,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_4c04dead9c739144,datacite,10.1007/978-3-319-46976-8_26,<HTTPError 404: 'Not Found'>
work_c6cb28062aa269f5,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_ffd60f2d9085f84d,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_ffd60f2d9085f84d,semantic_scholar,title,<HTTPError 429: ''>
work_ffd60f2d9085f84d,datacite,10.1007/978-1-4615-1235-6_10,<HTTPError 404: 'Not Found'>
work_b2b287b17fb9a689,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_b2b287b17fb9a689,semantic_scholar,title,<HTTPError 429: ''>
work_b2b287b17fb9a689,datacite,10.1016/b978-0-12-804076-8.00016-5,<HTTPError 404: 'Not Found'>
work_b3bb626c156d60fc,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_b3bb626c156d60fc,datacite,10.1007/s00338-021-02213-8,<HTTPError 404: 'Not Found'>
work_28f861d75395bfb5,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_28f861d75395bfb5,datacite,10.1038/nature13877,<HTTPError 404: 'Not Found'>
work_89fbbf9a9745feb9,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_bd07f974efc37587,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_bd07f974efc37587,datacite,10.1515/s13295-016-0029-z,<HTTPError 404: 'Not Found'>
work_3a2a250adcf4072f,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_007a21bf306095ee,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_007a21bf306095ee,datacite,10.1007/978-1-4757-3783-7_6,<HTTPError 404: 'Not Found'>
work_09b81d0a3b3ce10d,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_02580fc06dfe3e98,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_ba35af28814b98ba,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_ba35af28814b98ba,semantic_scholar,10.1016/b978-0-12-374709-9.00014-6,<HTTPError 429: ''>
work_ba35af28814b98ba,semantic_scholar,title,<HTTPError 429: ''>
work_ba35af28814b98ba,datacite,10.1016/b978-0-12-374709-9.00014-6,<HTTPError 404: 'Not Found'>
work_85b3713ae7f97543,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_85b3713ae7f97543,semantic_scholar,10.1016/j.baga.2013.04.001,<HTTPError 429: ''>
work_85b3713ae7f97543,datacite,10.1016/j.baga.2013.04.001,<HTTPError 404: 'Not Found'>
work_89a1c3d1c130ab2c,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_89a1c3d1c130ab2c,semantic_scholar,10.7554/elife.26349.042,<HTTPError 429: ''>
work_89a1c3d1c130ab2c,semantic_scholar,title,<HTTPError 429: ''>
work_89a1c3d1c130ab2c,datacite,10.7554/elife.26349.042,<HTTPError 404: 'Not Found'>
work_a95f051840c2a18c,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_a95f051840c2a18c,semantic_scholar,10.1007/978-3-030-32281-6_11,<HTTPError 429: ''>
work_a95f051840c2a18c,datacite,10.1007/978-3-030-32281-6_11,<HTTPError 404: 'Not Found'>
work_a8a6a9c7c936885b,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_a8a6a9c7c936885b,datacite,10.1007/s00787-022-02089-1,<HTTPError 404: 'Not Found'>
work_364121399118444e,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_364121399118444e,semantic_scholar,title,<HTTPError 429: ''>
work_9f6db33a12953586,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_9f6db33a12953586,semantic_scholar,title,<HTTPError 429: ''>
work_6e745af38acdf0be,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_6e745af38acdf0be,semantic_scholar,title,<HTTPError 429: ''>
work_1ba7f76b710b4f43,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_1ba7f76b710b4f43,semantic_scholar,10.1007/978-3-031-46005-0_9,<HTTPError 429: ''>
work_1ba7f76b710b4f43,semantic_scholar,title,<HTTPError 429: ''>
work_1ba7f76b710b4f43,datacite,10.1007/978-3-031-46005-0_9,<HTTPError 404: 'Not Found'>
work_0b38618c926fc003,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_67372207b468d762,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_fe76e4c6b99b279f,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_7166c3e23069646c,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_64cf91ee08576f41,openalex,title,<HTTPError 429: 'Too Many Requests'>
work_64cf91ee08576f41,semantic_scholar,10.1016/j.neures.2009.09.1554,<HTTPError 429: ''>
work_64cf91ee08576f41,semantic_scholar,title,<HTTPError 429: ''>
work_64cf91ee08576f41,datacite,10.1016/j.neures.2009.09.1554,<HTTPError 404: 'Not Found'>
