rank,work_id,title,year,venue,last_author,citation_count_work,cites_per_year,ultra_core,citation_link_strength,citation_role,corpus_in_degree,corpus_out_degree,citation_total_degree,k_core,pagerank_percentile,primary_community_label,confidence,n_authors,is_consortium
22,work_7b437ce3ba4d27c5,High-precision automated reconstruction of neurons with flood-filling networks,2017.0,Nature Methods,Viren Jain,382,38.2,True,,no_graph,,,,,,J. Lichtman / Hanspeter Pfister,1.0,10,False
23,work_047e0665d50b50ba,Crowdsourcing the creation of image segmentation algorithms for connectomics,2015.0,Frontiers in Neuroanatomy,H. Seung,370,30.83,True,,no_graph,,,,,,J. Lichtman / Hanspeter Pfister,0.97,24,True
24,work_1d87c152cf48058c,Enhanced FIB-SEM systems for large-volume 3D imaging,2017.0,eLife,Harald F. Hess,364,36.4,True,strong,hub,50.0,8.0,58.0,11.0,0.9885850809662862,J. Lichtman / Hanspeter Pfister,0.97,10,False
25,work_2f968b5df6b0dd3d,The connectome of an insect brain,2022.0,bioRxiv,Marta Zlatic,359,71.8,True,strong,hub,50.0,21.0,71.0,11.0,0.9665516325988852,Albert Cardona / J. Vogelstein,0.97,20,True
26,work_434673087d1709d7,A connectome of a learning and memory center in the adult Drosophila brain,2017.0,eLife,Louis K. Scheffer,353,35.3,True,strong,hub,73.0,8.0,81.0,11.0,0.9938943456331298,J. Lichtman / Hanspeter Pfister,0.98,28,True
27,work_4514cd847994dcc7,A connectome of the Drosophila central complex reveals network motifs suitable for flexible navigation and context-dependent action selection,2020.0,bioRxiv,V. Jayaraman,332,47.43,True,strong,hub,60.0,26.0,86.0,11.0,0.9838067427661268,J. Lichtman / Hanspeter Pfister,0.98,13,False
28,work_233d52315fe236ff,The Rich Club of the C. elegans Neuronal Connectome,2013.0,Journal of Neuroscience,E. Bullmore,330,23.57,True,strong,hub,91.0,1.0,92.0,11.0,0.9965489779665516,Oliver Hobert / Steven J. Cook,0.94,5,False
29,work_c6b4755fa98e0894,Dense connectomic reconstruction in layer 4 of the somatosensory cortex,2018.0,Science,M. Helmstaedter,307,34.11,True,strong,hub,87.0,18.0,105.0,11.0,0.9930979559331032,M. Helmstaedter / Winfried Denk,0.98,10,False
30,work_b8f2f5617e12eb28,Quantitative neuroanatomy for connectomics in Drosophila,2015.0,bioRxiv,Albert Cardona,307,25.58,True,strong,hub,106.0,10.0,116.0,11.0,0.9981417573666048,H. Sebastian Seung / G. Jefferis,0.95,11,False
31,work_5b4312b985894934,Ultrastructural analysis of hippocampal neuropil from the connectomics perspective,2010.0,Neuron,D. Chklovskii,303,17.82,True,strong,hub,72.0,6.0,78.0,11.0,1.0,Albert Cardona / J. Vogelstein,0.91,6,False
32,work_1f5bc11fd70f625f,A petavoxel fragment of human cerebral cortex reconstructed at nanoscale resolution,2024.0,Science,J. Lichtman,295,98.33,True,strong,hub,71.0,17.0,88.0,11.0,0.982479426599416,J. Lichtman / Hanspeter Pfister,0.98,31,True
33,work_6f86d20c9bf6e84d,Whole-brain annotation and multi-connectome cell typing of Drosophila,2024.0,Nature,G. Jefferis,291,97.0,True,,no_graph,,,,,,H. Sebastian Seung / G. Jefferis,0.95,304,True
34,work_cf9199d8b0ccf668,High-accuracy neurite reconstruction for high-throughput neuroanatomy,2011.0,Nature Neuroscience,W. Denk,291,18.19,True,,no_graph,,,,,,M. Helmstaedter / Winfried Denk,1.0,3,False
35,work_5fce6ceceeaa09c7,Comparative Connectomics.,2016.0,Trends in Cognitive Sciences,O. Sporns,290,26.36,True,,no_graph,,,,,,Olaf Sporns / B. Mišić,0.86,3,False
36,work_31d1fee6f2ffabfe,The connectome of the adult Drosophila mushroom body provides insights into function,2020.0,eLife,G. Rubin,289,41.29,True,strong,hub,60.0,16.0,76.0,11.0,0.9827448898327582,H. Sebastian Seung / G. Jefferis,0.93,25,True
37,work_5a150d031329b4d0,Nanoconnectomic upper bound on the variability of synaptic plasticity,2015.0,eLife,T. Sejnowski,280,23.33,True,strong,broker,10.0,2.0,12.0,8.0,0.9723918237324132,Albert Cardona / J. Vogelstein,0.94,7,False
38,work_0641fb974f5264cf,mGRASP enables mapping mammalian synaptic connectivity with light microscopy,2011.0,Nature Methods,J. Magee,275,17.19,True,moderate,broker,5.0,1.0,6.0,5.0,0.8648792142288293,Xiaoyin Chen / Yonggang Wang,0.92,7,False
39,work_e38ce8eb753d5588,FusionNet: A Deep Fully Residual Convolutional Neural Network for Image Segmentation in Connectomics,2016.0,Frontiers of Computer Science,W. Jeong,274,24.91,True,strong,broker,13.0,10.0,23.0,10.0,0.9429254048314308,M. Helmstaedter / Winfried Denk,0.93,3,False
40,work_7bd29d9809ae56eb,Large-volume en-bloc staining for electron microscopy-based connectomics,2015.0,Nature Communications,M. Helmstaedter,274,22.83,True,strong,broker,20.0,1.0,21.0,11.0,0.9625696840987524,Xiaoyin Chen / Yonggang Wang,0.97,3,False
41,work_796386b4ebec693b,The CNS connectome of a tadpole larva of Ciona intestinalis (L.) highlights sidedness in the brain of a chordate sibling,2016.0,eLife,I. Meinertzhagen,246,22.36,True,strong,broker,27.0,3.0,30.0,11.0,0.9779665516325988,Xiaoyin Chen / Yonggang Wang,0.96,3,False
42,work_86ba4bfd64350171,Neuronal wiring diagram of an adult brain,2024.0,Nature,M. Murthy,242,80.67,True,strong,hub,63.0,44.0,107.0,11.0,0.9843376692328112,H. Sebastian Seung / G. Jefferis,0.99,46,True
43,work_241b54c819ff405b,FlyWire: Online community for whole-brain connectomics,2020.0,Nature Methods,H. Seung,242,34.57,True,strong,hub,98.0,22.0,120.0,11.0,0.9899123971329972,H. Sebastian Seung / G. Jefferis,0.97,40,True
44,work_e323a05fc48f61c0,Reconstruction of motor control circuits in adult Drosophila using automated transmission electron microscopy,2020.0,bioRxiv,W. Lee,239,34.14,True,strong,broker,29.0,7.0,36.0,11.0,0.9583222723652774,M. Helmstaedter / Winfried Denk,0.95,12,False
45,work_fe975f52ca253f7e,The Multilayer Connectome of Caenorhabditis elegans,2016.0,PLoS Comput. Biol.,W. Schafer,238,21.64,True,strong,hub,55.0,7.0,62.0,11.0,0.9851340589328378,Oliver Hobert / Steven J. Cook,0.94,8,False
46,work_d552830c86eb491f,Large Scale Image Segmentation with Structured Loss Based Deep Learning for Connectome Reconstruction,2019.0,IEEE Transactions on Pattern Analysis and Machine Intelligence,Srinivas C. Turaga,226,28.25,True,strong,broker,30.0,2.0,32.0,11.0,0.9761083089992036,M. Helmstaedter / Winfried Denk,0.95,7,False
47,work_06030491fabc9e9d,Synaptic connectivity and neuronal morphology: two sides of the same coin.,2004.0,Neuron,D. Chklovskii,224,9.74,True,weak,only_in,1.0,0.0,1.0,1.0,0.6965755242898859,J. Lichtman / Hanspeter Pfister,0.86,1,False
48,work_3cfb4552d0463ce3,A connectomic study of a petascale fragment of human cerebral cortex,2021.0,bioRxiv,J. Lichtman,217,36.17,True,strong,hub,66.0,14.0,80.0,11.0,0.9867268383328908,J. Lichtman / Hanspeter Pfister,0.98,29,True
49,work_a3723ea06299828e,"A genetic, genomic, and computational resource for exploring neural circuit function",2018.0,bioRxiv,G. L. Henry,214,23.78,True,strong,broker,10.0,2.0,12.0,10.0,0.9200955667640032,J. Lichtman / Hanspeter Pfister,0.92,7,False
50,work_62baf6bf40a9cb50,Species-specific wiring for direction selectivity in the mammalian retina,2016.0,Nature,K. Briggman,208,18.91,True,moderate,only_in,9.0,0.0,9.0,6.0,0.9076187947969206,M. Helmstaedter / Winfried Denk,0.92,5,False
51,work_f4089e71d372f0e5,Connectomic comparison of mouse and human cortex,2022.0,Science,M. Helmstaedter,205,41.0,True,strong,broker,32.0,5.0,37.0,11.0,0.9792938677993098,M. Helmstaedter / Winfried Denk,0.97,11,False
52,work_f56a7ec87aa3e03a,VAST (Volume Annotation and Segmentation Tool): Efficient Manual and Semi-Automatic Labeling of Large 3D Image Stacks,2018.0,Front. Neural Circuits,J. Lichtman,201,22.33,True,,no_graph,,,,,,J. Lichtman / Hanspeter Pfister,0.94,3,False
53,work_c7e9554f3a7935e3,The wiring diagram of a glomerular olfactory system,2016.0,bioRxiv,Albert Cardona,197,17.91,True,strong,hub,54.0,1.0,55.0,11.0,0.9907087868330235,Albert Cardona / J. Vogelstein,0.97,12,False
54,work_8fd725d2118803e2,A petascale automated imaging pipeline for mapping neuronal circuits with high-throughput transmission electron microscopy,2019.0,Nature Communications,N. D. da Costa,133,16.62,True,strong,broker,19.0,6.0,25.0,11.0,0.9559331032651978,H. Sebastian Seung / G. Jefferis,0.9,20,True
