person_id,author_raw,work_id,author_order,n_authors,position
person:sutnikiene|v,Vaiva Sutnikiene,work_01ba46e87d766569,3,4,middle
person:zhifeng shao,Zhifeng Shao,work_020e3982c01153ed,3,4,middle
person:challa|s,S. Challa,work_02bef5f71001dccb,2,4,middle
person:adiukwu|pc,P. C. Adiukwu,work_02bef5f71001dccb,3,4,middle
person:calleja-felipe|m,Maria Calleja-Felipe,work_02da51be986693aa,2,16,middle
person:ouro|a,Alberto Ouro,work_02da51be986693aa,3,16,middle
person:bougamra|g,Ghassen Bougamra,work_02da51be986693aa,4,16,middle
person:arroyo|a,Ana Arroyo,work_02da51be986693aa,5,16,middle
person:erramuzpe|a,A. Erramuzpe,work_02da51be986693aa,7,16,middle
person:martinez-hernandez|j,J. Martinez-Hernandez,work_02da51be986693aa,9,16,middle
person:navarrete|m,M. Navarrete,work_02da51be986693aa,11,16,middle
person:venero|c,C. Venero,work_02da51be986693aa,12,16,middle
person:chan|a,A. Chan,work_02da51be986693aa,13,16,middle
person:morales|m,M. Morales,work_02da51be986693aa,14,16,middle
person:esteban|j,J. Esteban,work_02da51be986693aa,15,16,middle
person:zhanpeng zhu,Zhanpeng Zhu,work_0331df396f545e68,3,5,middle
person:w leahy,W. Leahy,work_0344c5d0298b1c78,2,3,middle
person:mariano tepper,Mariano Tepper,work_036e22a15502fd7e,2,4,middle
person:victor minden,Victor Minden,work_036e22a15502fd7e,3,4,middle
person:a tyson,A. Tyson,work_03b8b6340a7756de,4,6,middle
person:ravikiran kasula,Ravikiran Kasula,work_03c23d6e53a2fa11,2,16,middle
person:i kondratiuk,I. Kondratiuk,work_03c23d6e53a2fa11,3,16,middle
person:phylicia kidd,Phylicia Kidd,work_03c23d6e53a2fa11,4,16,middle
person:h falahati,H. Falahati,work_03c23d6e53a2fa11,5,16,middle
person:juliana gentile,Juliana E. Gentile,work_03c23d6e53a2fa11,6,16,middle
person:robert niescier,Robert F. Niescier,work_03c23d6e53a2fa11,7,16,middle
person:r sterner,R. Sterner,work_03c23d6e53a2fa11,9,16,middle
person:p de camilli,P. De Camilli,work_03c23d6e53a2fa11,12,16,middle
person:j rothman,J. Rothman,work_03c23d6e53a2fa11,13,16,middle
person:a koleske,A. Koleske,work_03c23d6e53a2fa11,14,16,middle
person:ziwei le,Ziwei Le,work_03f185e6c6909898,8,26,middle
person:yun du,Yun Du,work_03f185e6c6909898,10,26,middle
person:yannong dou,Yannong Dou,work_03f185e6c6909898,12,26,middle
person:shujun lei,Shujun Lei,work_03f185e6c6909898,16,26,middle
person:minhyeok jeong,Minhyeok Jeong,work_043d6cf6b22999a9,3,6,middle
person:d ciresan,D. Ciresan,work_047e0665d50b50ba,4,24,middle
person:a giusti,A. Giusti,work_047e0665d50b50ba,5,24,middle
person:l gambardella,L. Gambardella,work_047e0665d50b50ba,6,24,middle
person:j schmidhuber,J. Schmidhuber,work_047e0665d50b50ba,7,24,middle
person:d laptev,D. Laptev,work_047e0665d50b50ba,8,24,middle
person:sarvesh dwivedi,Sarvesh Dwivedi,work_047e0665d50b50ba,9,24,middle
person:j buhmann,J. Buhmann,work_047e0665d50b50ba,10,24,middle
person:radim burget,Radim Burget,work_047e0665d50b50ba,15,24,middle
person:vaclav uher,Václav Uher,work_047e0665d50b50ba,16,24,middle
person:xiao tan,Xiao Tan,work_047e0665d50b50ba,17,24,middle
person:m uzunbas,M. Uzunbas,work_047e0665d50b50ba,21,24,middle
person:kerk|s,S. Kerk,work_053a6d2ad8e9d69a,2,12,middle
person:catela|c,Catarina Catela,work_053a6d2ad8e9d69a,3,12,middle
person:liang|j,Joseph Liang,work_053a6d2ad8e9d69a,4,12,middle
person:feng|w,Weidong Feng,work_053a6d2ad8e9d69a,7,12,middle
person:cruz|eddl,Estanislao Daniel De La Cruz,work_053a6d2ad8e9d69a,8,12,middle
person:croci|l,L. Croci,work_053a6d2ad8e9d69a,9,12,middle
person:consalez|g,G. Consalez,work_053a6d2ad8e9d69a,10,12,middle
person:kota mizumoto,Kota Mizumoto,work_053a6d2ad8e9d69a,11,12,middle
person:h riihimaki,H. Riihimäki,work_0552194b80de37f0,2,6,middle
person:jason smith,Jason P. Smith,work_0552194b80de37f0,3,6,middle
person:j lazovskis,J. Lazovskis,work_0552194b80de37f0,4,6,middle
person:cook|aa,Anna A. Cook,work_05e7be51adf6e08a,3,10,middle
person:talbot|cb,Clifford B. Talbot,work_05e7be51adf6e08a,4,10,middle
person:miriyala|a,Ashwin Miriyala,work_05e7be51adf6e08a,5,10,middle
person:klappenbach|m,M. Klappenbach,work_05e7be51adf6e08a,6,10,middle
person:stern|c,Ciara Stern,work_05e7be51adf6e08a,7,10,middle
person:desmond|k,Kieran Desmond,work_05e7be51adf6e08a,8,10,middle
person:vargas-gutierrez|p,Paola Vargas-Gutierrez,work_05e7be51adf6e08a,9,10,middle
person:r petralia,R. Petralia,work_0641fb974f5264cf,3,7,middle
person:chih ying su,Chih-Ying Su,work_068034b20857f28d,3,4,middle
person:t boudier,T. Boudier,work_068ce671d4050e17,2,3,middle
person:annina huser,Annina Huser,work_06a819921125fd5b,9,20,middle
person:david klindt,David A. Klindt,work_06d988a94f52ce61,2,7,middle
person:m bethge,M. Bethge,work_06d988a94f52ce61,5,7,middle
person:s murray sherman,S. Murray Sherman,work_06e3942d0f902996,3,4,middle
person:l sacconi,L. Sacconi,work_06fed2e30ee196ac,2,3,middle
person:f scala,F. Scala,work_07aa0164f902c8fb,2,12,middle
person:d kobak,D. Kobak,work_07aa0164f902c8fb,4,12,middle
person:p johnsson,P. Johnsson,work_07aa0164f902c8fb,6,12,middle
person:r cotton,R. Cotton,work_07aa0164f902c8fb,8,12,middle
person:r sandberg,R. Sandberg,work_07aa0164f902c8fb,9,12,middle
person:sapir shapira,Sapir Shapira,work_07cf5b18e1597373,2,3,middle
person:wen xi cao,Wen Xi Cao,work_07ec6ddd071dafbb,4,7,middle
person:nachev|p,P. Nachev,work_07f25302c0da9745,2,3,middle
person:allison vannan,Allison Vannan,work_08619b07a36cc83e,2,83,middle
person:jennifer jeter,Jennifer Jeter,work_08619b07a36cc83e,3,83,middle
person:kari close,Kari Close,work_08619b07a36cc83e,4,83,middle
person:gina depasquale,Gina M. Depasquale,work_08619b07a36cc83e,5,83,middle
person:zachary dorman,Zachary Dorman,work_08619b07a36cc83e,6,83,middle
person:kaitlyn forster,Kaitlyn Forster,work_08619b07a36cc83e,7,83,middle
person:jaye anne beringer,Jaye Anne Beringer,work_08619b07a36cc83e,8,83,middle
person:theresa gibney,Theresa V Gibney,work_08619b07a36cc83e,9,83,middle
person:joanna hausenfluck,Joanna H Hausenfluck,work_08619b07a36cc83e,10,83,middle
person:kristin henderson,Kristin Henderson,work_08619b07a36cc83e,12,83,middle
person:lauren johnson,Lauren Johnson,work_08619b07a36cc83e,13,83,middle
person:rebecca johnston,Rebecca M Johnston,work_08619b07a36cc83e,14,83,middle
person:rachel lazarus,Rachel Lazarus,work_08619b07a36cc83e,17,83,middle
person:hua peng liaw,Hua-Peng Liaw,work_08619b07a36cc83e,20,83,middle
person:brian melton,Brian Melton,work_08619b07a36cc83e,21,83,middle
person:reeham motaher,Reeham Motaher,work_08619b07a36cc83e,23,83,middle
person:alexandra novak,Alexandra Novak,work_08619b07a36cc83e,24,83,middle
person:sophia protopapas,Sophia Protopapas,work_08619b07a36cc83e,28,83,middle
person:susana tae,Susana Tae,work_08619b07a36cc83e,29,83,middle
person:jennifer taylor,Jennifer Taylor,work_08619b07a36cc83e,30,83,middle
person:rebecca vorimo,Rebecca Vorimo,work_08619b07a36cc83e,31,83,middle
person:b yarbrough,B. Yarbrough,work_08619b07a36cc83e,32,83,middle
person:k zeng,K. Zeng,work_08619b07a36cc83e,33,83,middle
person:christopher zugates,Christopher T. Zugates,work_08619b07a36cc83e,34,83,middle
person:heather dionne,Heather Dionne,work_08619b07a36cc83e,35,83,middle
person:claire angstadt,Claire Angstadt,work_08619b07a36cc83e,36,83,middle
person:kelly ashley,Kelly Ashley,work_08619b07a36cc83e,37,83,middle
person:amanda cavallaro,Amanda Cavallaro,work_08619b07a36cc83e,38,83,middle
person:tam dang,Tam Dang,work_08619b07a36cc83e,39,83,middle
person:guillermo gonzalez,Guillermo A. González,work_08619b07a36cc83e,40,83,middle
person:jui chun kao,Jui-Chun Kao,work_08619b07a36cc83e,43,83,middle
person:t laverty,T. Laverty,work_08619b07a36cc83e,44,83,middle
person:monti mercer,Monti Mercer,work_08619b07a36cc83e,45,83,middle
person:brenda perez,Brenda Perez,work_08619b07a36cc83e,46,83,middle
person:scarlett pitts,Scarlett Pitts,work_08619b07a36cc83e,47,83,middle
person:danielle ruiz,Danielle Ruiz,work_08619b07a36cc83e,48,83,middle
person:viruthika vallanadu,Viruthika Vallanadu,work_08619b07a36cc83e,49,83,middle
person:grace zhiyu zheng,Grace Zhiyu Zheng,work_08619b07a36cc83e,50,83,middle
person:erica ehrhardt,Erica Ehrhardt,work_08619b07a36cc83e,57,83,middle
person:basel el galfi,Basel El Galfi,work_08619b07a36cc83e,59,83,middle
person:nan hu,Nan Hu,work_08619b07a36cc83e,62,83,middle
person:ryo minegishi,Ryo Minegishi,work_08619b07a36cc83e,65,83,middle
person:oz malkesman,Oz Malkesman,work_08619b07a36cc83e,75,83,middle
person:mikail khona,Mikail Khona,work_08675beb12687867,2,4,middle
person:talia konkle,Talia Konkle,work_08675beb12687867,3,4,middle
person:s vitaladevuni,S. Vitaladevuni,work_087e18b9051261d3,5,24,middle
person:philip winston,Philip Winston,work_087e18b9051261d3,10,24,middle
person:katerina blazek,Katerina Blazek,work_087e18b9051261d3,15,24,middle
person:victor shapiro,Victor L. Shapiro,work_087e18b9051261d3,19,24,middle
person:qi huang,Qi Huang,work_08f274f7f7744af5,3,15,middle
person:jana nussbaumer,Jana Nussbaumer,work_08f274f7f7744af5,5,15,middle
person:anna steward,Anna Steward,work_08f274f7f7744af5,7,15,middle
person:sebastian roemer cassiano,Sebastian N. Roemer-Cassiano,work_08f274f7f7744af5,8,15,middle
person:m scholl,M. Schöll,work_08f274f7f7744af5,11,15,middle
person:ruiqing ni,Ruiqing Ni,work_08f274f7f7744af5,12,15,middle
person:m scolamiero,M. Scolamiero,work_0902ad628efcc7dd,3,10,middle
person:katharine turner,Katharine Turner,work_0902ad628efcc7dd,4,10,middle
person:pawe otko,Paweł Dłotko,work_0902ad628efcc7dd,7,10,middle
person:sacha jennifer van albada,Sacha Jennifer van Albada,work_090e08748ee7dd3e,2,4,middle
person:joseph watson,Joseph D. Watson,work_095f897bd5661727,2,9,middle
person:rebecca fox,Rebecca M. Fox,work_095f897bd5661727,3,9,middle
person:kellen olszewski,Kellen L. Olszewski,work_095f897bd5661727,5,9,middle
person:w spencer,W. C. Spencer,work_095f897bd5661727,7,9,middle
person:p roy,P. Roy,work_095f897bd5661727,8,9,middle
person:s bayona,S. Bayona,work_09c0fa76b2cfac78,2,13,middle
person:juan brito,Juan P. Brito,work_09c0fa76b2cfac78,3,13,middle
person:maria cuevas,María Cuevas,work_09c0fa76b2cfac78,4,13,middle
person:i fernaud,I. Fernaud,work_09c0fa76b2cfac78,5,13,middle
person:j garcia cantero,J. J. Garcia-Cantero,work_09c0fa76b2cfac78,7,13,middle
person:f quevedo,F. Quevedo,work_09c0fa76b2cfac78,8,13,middle
person:s mata,S. Mata,work_09c0fa76b2cfac78,9,13,middle
person:angel rodriguez,Angel Rodríguez,work_09c0fa76b2cfac78,11,13,middle
person:h gnagi,H. Gnägi,work_0a1427cd13f43c85,2,6,middle
person:m simons,M. Simons,work_0a1427cd13f43c85,4,6,middle
person:steinmetz|na,Nicholas A. Steinmetz,work_0a7ba8ffe545833c,2,11,middle
person:barthó|p,P. Barthó,work_0a7ba8ffe545833c,6,11,middle
person:moore|t,Tirin Moore,work_0a7ba8ffe545833c,7,11,middle
person:e joyce,E. Joyce,work_0ac82de3efe180e8,13,51,middle
person:katelyn hedden,Katelyn Hedden,work_0aeb7bcccf17d282,3,10,middle
person:levin|kd,Keith D. Levin,work_0b58677ca30e94c9,7,10,middle
person:e josephine clowney,E. Josephine Clowney,work_0b9b3970f5ad15af,4,5,middle
person:david uygun,David S. Uygun,work_0bb5111744eb309f,2,5,middle
person:r basheer,R. Basheer,work_0bb5111744eb309f,3,5,middle
person:kevin bender,Kevin J. Bender,work_0bb5111744eb309f,4,5,middle
person:eric troutman,Eric T. Troutman,work_0c32ed27e86551f0,26,105,middle
person:watanabe|a,Aimi Watanabe,work_0c53b6e2719558ce,3,4,middle
person:j bakal,J. Bakal,work_0c913304a5fb2574,2,6,middle
person:markus dittrich,Markus Dittrich,work_0c913304a5fb2574,3,6,middle
person:a wehn,A. Wehn,work_0d6070f19ac2ba89,3,12,middle
person:lucia rodriguez,Lucia Rodriguez,work_0d6070f19ac2ba89,4,12,middle
person:hanyi jiang,Hanyi Jiang,work_0d6070f19ac2ba89,5,12,middle
person:cornelia niemann,Cornelia Niemann,work_0d6070f19ac2ba89,6,12,middle
person:andrey klymchenko,Andrey S. Klymchenko,work_0d6070f19ac2ba89,7,12,middle
person:n plesnila,N. Plesnila,work_0d6070f19ac2ba89,8,12,middle
person:thomas muller reichert,Thomas Müller-Reichert,work_0d6070f19ac2ba89,10,12,middle
person:i khalin,I. Khalin,work_0d6070f19ac2ba89,11,12,middle
person:ben sorscher,Ben Sorscher,work_0d8d0f74d4acd55d,2,4,middle
person:p gonzalez mego,P. Gonzalez-Mego,work_0e4e42b0cb08974f,2,7,middle
person:c ramos estebanez,C. Ramos-Estebanez,work_0e4e42b0cb08974f,3,7,middle
person:l zukowski,L. H. Zukowski,work_0e4e42b0cb08974f,4,7,middle
person:rahul mikkilineni,Rahul Mikkilineni,work_0e4e42b0cb08974f,5,7,middle
person:r rushmore,R. Rushmore,work_0e4e42b0cb08974f,6,7,middle
person:tzumin lee,Tzumin Lee,work_0e82b896b4b49d23,9,12,middle
person:lucy upchurch,Lucy Upchurch,work_0f210c53d8261375,6,11,middle
person:florent krzakala,Florent Krzakala,work_0f234ec8ef48d336,2,4,middle
person:lenka zdeborov a,Lenka Zdeborov'a,work_0f234ec8ef48d336,3,4,middle
person:j leite,J. Leite,work_0f3c0c692dba28f7,2,4,middle
person:antonio jacob,Antonio Jacob,work_0f3c0c692dba28f7,3,4,middle
person:kim|me,Michael E. Kim,work_0f667472c3c0d4cd,2,5,middle
person:rheault|f,F. Rheault,work_0f667472c3c0d4cd,3,5,middle
person:landman|b,Bennett Landman,work_0f667472c3c0d4cd,4,5,middle
person:s shailja,S. Shailja,work_0f90d8b78e7b6522,2,9,middle
person:yishen miao,Yishen Miao,work_0f90d8b78e7b6522,4,9,middle
person:michael goebel,Michael Goebel,work_0f90d8b78e7b6522,5,9,middle
person:raphael ruschel,Raphael Ruschel,work_0f90d8b78e7b6522,6,9,middle
person:bijan varjavand,Bijan K. Varjavand,work_0faabd73a0b69ddd,2,8,middle
person:jesus arroyo relion,Jesús Arroyo‐Relión,work_0faabd73a0b69ddd,3,8,middle
person:j guan,J. Guan,work_100b21e95a944e1e,9,17,middle
person:m bruzzone,M. Bruzzone,work_104e54f2c4601a53,2,5,middle
person:g nicoletti,G. Nicoletti,work_104e54f2c4601a53,3,5,middle
person:c botha,C. Botha,work_10625a8cbeb96224,3,7,middle
person:s bruckner,S. Bruckner,work_10625a8cbeb96224,4,7,middle
person:jennifer yuet ha lai,Jennifer Yuet Ha Lai,work_10a0b035f8a594bc,3,11,middle
person:tim farkas,Tim Farkas,work_118a0b13d2e80966,2,4,middle
person:gleb razgar,Gleb Razgar,work_118a0b13d2e80966,3,4,middle
person:e abe,E. Abe,work_11a1d7d7074f9adc,3,7,middle
person:j lancaster,J. Lancaster,work_11a1d7d7074f9adc,5,7,middle
person:philipp harth,Philipp Harth,work_11b6d0203fd3730b,5,9,middle
person:j stegmaier,J. Stegmaier,work_11b6d0203fd3730b,7,9,middle
person:gert jan both,Gert-Jan Both,work_11bd92b465e2aaf3,3,7,middle
person:harinarayan asoori sriram,Harinarayan Asoori Sriram,work_11bd92b465e2aaf3,5,7,middle
person:srijith chinthalapudi,Srijith Chinthalapudi,work_11bd92b465e2aaf3,6,7,middle
person:b phung,B. S. Phung,work_121114411163d845,6,11,middle
person:s lamont,S. Lamont,work_121114411163d845,7,11,middle
person:m lam,M. Lam,work_1270a34816664cc4,3,8,middle
person:won kyu ju,Won-Kyu Ju,work_1270a34816664cc4,6,8,middle
person:anja friedrich,Anja B. Friedrich,work_128b379bcd5dd487,2,10,middle
person:p bandow,P. Bandow,work_128b379bcd5dd487,3,10,middle
person:sydney hunt,Sydney Hunt,work_128b379bcd5dd487,5,10,middle
person:j claussen,J. Claussen,work_128b379bcd5dd487,6,10,middle
person:marie helen link,Marie-Helen Link,work_128b379bcd5dd487,7,10,middle
person:thomas hofmann,Thomas F. Hofmann,work_128b379bcd5dd487,8,10,middle
person:corinna dawid,Corinna Dawid,work_128b379bcd5dd487,9,10,middle
person:s itzkovitz,S. Itzkovitz,work_12ba8e6479fb9eac,2,5,middle
person:michal golan mashiach,Michal Golan-Mashiach,work_12ba8e6479fb9eac,3,5,middle
person:e shapiro,E. Shapiro,work_12ba8e6479fb9eac,4,5,middle
person:a levina,A. Levina,work_1358cc4e6d15d0c8,2,3,middle
person:mehmet fisek,Mehmet Fişek,work_1363cb9e1703f6be,4,9,middle
person:vincenzo marra,Vincenzo Marra,work_1363cb9e1703f6be,5,9,middle
person:c racca,C. Racca,work_1363cb9e1703f6be,6,9,middle
person:k staras,K. Staras,work_1363cb9e1703f6be,8,9,middle
person:a mattioni,A. Mattioni,work_138205744e23415e,2,9,middle
person:roberta schellino,Roberta Schellino,work_138205744e23415e,6,9,middle
person:tingli yuan,Tingli Yuan,work_1425f3d37ad68edc,3,15,middle
person:hui he,Hui He,work_1425f3d37ad68edc,5,15,middle
person:zhen ge luo,Zhen-Ge Luo,work_1425f3d37ad68edc,14,15,middle
person:r krause,R. Krause,work_14715d8bc1c76d41,2,7,middle
person:rodrigo ceballos lentini,Rodrigo Ceballos Lentini,work_14715d8bc1c76d41,3,7,middle
person:j pykett,J. Pykett,work_1494588f60af3042,2,3,middle
person:lei jin,Lei Jin,work_14a97091f2e2dc94,2,11,middle
person:m matsuyama,M. Matsuyama,work_14a97091f2e2dc94,4,11,middle
person:cindy van velthoven,Cindy T. J. van Velthoven,work_14a97091f2e2dc94,5,11,middle
person:h sullivan,H. Sullivan,work_14a97091f2e2dc94,6,11,middle
person:na sun,Na Sun,work_14a97091f2e2dc94,7,11,middle
person:m kellis,M. Kellis,work_14a97091f2e2dc94,8,11,middle
person:anirban nandi,Anirban Nandi,work_15832f977411772d,13,40,middle
person:thomas chartrand,Thomas Chartrand,work_15832f977411772d,21,40,middle
person:lynne becker,Lynne Becker,work_15832f977411772d,33,40,middle
person:c anastassiou,C. Anastassiou,work_15832f977411772d,37,40,middle
person:dulawa|s,S. Dulawa,work_15ac2c50e04c11f3,3,9,middle
person:thompson|s,S. Thompson,work_15ac2c50e04c11f3,4,9,middle
person:francois|mc,Maite Christi Francois,work_15ac2c50e04c11f3,5,9,middle
person:knowles|j,J. Knowles,work_15ac2c50e04c11f3,8,9,middle
person:j savas,J. Savas,work_15ae850b7d2a05bb,2,5,middle
person:e herzog,E. Herzog,work_15ae850b7d2a05bb,3,5,middle
person:n brose,N. Brose,work_15ae850b7d2a05bb,4,5,middle
person:goñi|j,J. Goñi,work_15c1e28270c671f9,3,12,middle
person:contreras|ja,Joey A. Contreras,work_15c1e28270c671f9,4,12,middle
person:cai|c,Chengtao Cai,work_15c1e28270c671f9,6,12,middle
person:west|jd,John D. West,work_15c1e28270c671f9,7,12,middle
person:risacher|s,S. Risacher,work_15c1e28270c671f9,8,12,middle
person:a saykin,A. Saykin,work_15c1e28270c671f9,11,12,middle
person:eileen cler,Eileen Cler,work_161efa6714c403ba,9,20,middle
person:l larson prior,L. Larson-Prior,work_161efa6714c403ba,17,20,middle
person:k ugurbil,K. Uğurbil,work_161efa6714c403ba,18,20,middle
person:ikeda|t,T. Ikeda,work_164ab99ff38576f9,3,9,middle
person:sallet|j,J. Sallet,work_164ab99ff38576f9,4,9,middle
person:mars|r,R. Mars,work_164ab99ff38576f9,5,9,middle
person:sadato|n,N. Sadato,work_164ab99ff38576f9,8,9,middle
person:harry songhurst,Harry Songhurst,work_1672afc156639677,2,12,middle
person:r hutchings,R. Hutchings,work_1672afc156639677,5,12,middle
person:a weston,A. Weston,work_1672afc156639677,7,12,middle
person:s hindmarsh,S. Hindmarsh,work_1672afc156639677,9,12,middle
person:chris lintott,Chris Lintott,work_1672afc156639677,10,12,middle
person:herve|n,Nino Herve,work_16956a138acecbe4,2,3,middle
person:c kang,C. Kang,work_16b9df3949da837d,8,27,middle
person:a van ooyen,A. van Ooyen,work_16c36532bd417889,2,3,middle
person:z soh,Z. Soh,work_170ec61729592c44,2,5,middle
person:michiyo suzuki,Michiyo Suzuki,work_170ec61729592c44,3,5,middle
person:y iino,Y. Iino,work_170ec61729592c44,4,5,middle
person:n jha,N. Jha,work_17509aa737f1ddf4,2,5,middle
person:r nagraik,R. Nagraik,work_17509aa737f1ddf4,4,5,middle
person:schurade|r,R. Schurade,work_17aff448044a0745,2,5,middle
person:jakobsen|e,Estrid Jakobsen,work_17aff448044a0745,3,5,middle
person:schaefer|a,Alexander Schaefer,work_17aff448044a0745,4,5,middle
person:d adjeroh,D. Adjeroh,work_17ed44014244fb80,5,6,middle
person:anna kramer,Anna Kramer,work_17f8a533cf7cabc4,4,5,middle
person:tononi|g,G. Tononi,work_186acb8763d28840,2,3,middle
person:w roseby,W. Roseby,work_1870559fa982c641,2,5,middle
person:c hancock,C.E. Hancock,work_1870559fa982c641,3,5,middle
person:pagani|m,M. Pagani,work_187ee083be688884,2,6,middle
person:whitesell|jd,Jennifer D. Whitesell,work_187ee083be688884,3,6,middle
person:elin dahlberg,Elin Dahlberg,work_18a630f143863a39,6,12,middle
person:irene pallucchi,Irene Pallucchi,work_18a630f143863a39,9,12,middle
person:a el manira,A. El Manira,work_18a630f143863a39,11,12,middle
person:h khare,H. Khare,work_18e897cfbf7dee38,2,7,middle
person:orfane coulon mahdi,Orfane Coulon--Mahdi,work_18e897cfbf7dee38,5,7,middle
person:ming chuang,Ming Chuang,work_19484211ce0ace31,4,11,middle
person:l taffarello,L. Taffarello,work_195db71f4514fb42,2,5,middle
person:luca mazzucato,Luca Mazzucato,work_195db71f4514fb42,3,5,middle
person:a maritan,A. Maritan,work_195db71f4514fb42,4,5,middle
person:rohan gala,Rohan Gala,work_19ff016fd83b93ac,2,3,middle
person:charles watson,Charles Watson,work_1a16b4de189373e1,3,4,middle
person:casey quinn,Casey D. Quinn,work_1af9ec78dbce9759,2,5,middle
person:robert mackin,Robert D. Mackin,work_1af9ec78dbce9759,3,5,middle
person:ian macdonald,Ian S. Macdonald,work_1af9ec78dbce9759,4,5,middle
person:kailash p,Kailash B P,work_1b446a5a091f94da,2,6,middle
person:srivatsan r,Srivatsan C R,work_1b446a5a091f94da,3,6,middle
person:n saikumar,N. Saikumar,work_1b446a5a091f94da,4,6,middle
person:philge philip,Philge Philip,work_1b446a5a091f94da,5,6,middle
person:laura denardo,Laura A. DeNardo,work_1b719c6ba34d2ed3,2,4,middle
person:daniel pederick,Daniel T. Pederick,work_1b719c6ba34d2ed3,3,4,middle
person:carliana halterman,Carliana R. Halterman,work_1b7d3ac1442704d3,33,46,middle
person:kara ronellenfitch,Kara Ronellenfitch,work_1b7d3ac1442704d3,34,46,middle
person:alex vaughan,Alex G. Vaughan,work_1bc550704e02bb7c,2,18,middle
person:daniel leible,Daniel Leible,work_1bc550704e02bb7c,3,18,middle
person:shahar alon,Shahar Alon,work_1bc550704e02bb7c,4,18,middle
person:annie cheng,Annie A. Cheng,work_1bc550704e02bb7c,6,18,middle
person:andrew xue,Andrew G. Xue,work_1bc550704e02bb7c,9,18,middle
person:a wassie,A. Wassie,work_1bc550704e02bb7c,10,18,middle
person:yosuke bando,Yosuke Bando,work_1bc550704e02bb7c,12,18,middle
person:atsushi kajita,Atsushi Kajita,work_1bc550704e02bb7c,13,18,middle
person:george church,George M. Church,work_1bc550704e02bb7c,17,18,middle
person:siqi sun,Siqi Sun,work_1bfad71fdf4de90f,3,11,middle
person:jin feng dong,Jin-Feng Dong,work_1bfad71fdf4de90f,6,11,middle
person:y lou,Y. Lou,work_1bfad71fdf4de90f,8,11,middle
person:andrew krasley,Andrew T. Krasley,work_1c84d680f7b87889,2,8,middle
person:b cristofori armstrong,B. Cristofori-Armstrong,work_1c84d680f7b87889,3,8,middle
person:william valinsky,William C. Valinsky,work_1c84d680f7b87889,4,8,middle
person:d walpita,D. Walpita,work_1c84d680f7b87889,5,8,middle
person:d clapham,D. Clapham,work_1c84d680f7b87889,7,8,middle
person:eugenio piasini,Eugenio Piasini,work_1cfdfea1840c6888,2,8,middle
person:luigim cifuentes vargas,Luigim Cifuentes-Vargas,work_1cfdfea1840c6888,3,8,middle
person:edgar diaz hernandez,Edgar Díaz-Hernández,work_1cfdfea1840c6888,4,8,middle
person:nathan henderson,Nathan T. Henderson,work_1cfdfea1840c6888,5,8,middle
person:manivannan subramaniyan,Manivannan Subramaniyan,work_1cfdfea1840c6888,6,8,middle
person:giulio bondanelli,Giulio Bondanelli,work_1d4b6e5375da0fe3,2,11,middle
