work_id,title,year_n,cites,decision,proposed_layer,contextual_sublabel,quality,quality_reason,is_ultra,is_emergent,max_io,in_deg,out_deg,citation_role,graph_status,venue,authors
work_381cfb0ab7dee493,The connectome of rostral ventrolateral medulla C1 neurons,2016.0,0,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,0.0,0.0,0.0,isolate,weak_unlinked,The FASEB Journal,Sheng Le; Bowen Dempsey; Anita J. Turner; Andrew Allen; A. Goodchild; S. McMullan
work_53a975ca4457a801,Insulin-like Growth Factor 1 for Healthy Spines and Healthy Minds?,2016.0,0,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,0.0,0.0,0.0,isolate,weak_unlinked,Biological Psychiatry,Sandhya Chandrasekaran; S. Akbarian
work_6bef1584a99628b5,A Multicore Path to Connectomics-on-Demand,2016.0,0,adjacent_relevant,drop,bridge,drop,old_uncited_unlinked,False,False,0.0,0.0,0.0,isolate,weak_unlinked,ACM Symposium on Parallelism in Algorithms and Architectures,N. Shavit
work_638e126362e1417b,A descending pathway through electrical coupling facilitates undulatory wave propagation in C. elegans,2017.0,0,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,0.0,0.0,0.0,isolate,weak_unlinked,,Tianqi Xu; Jing Huo; Shuai Shao; Michelle D. Po; T. Kawano; Yangning Lu; Min Wu; Mei Zhen; Quan Wen
work_d1b5cbfd0840a3bb,Optogenetic Mapping of Synaptic Connections in Mouse Brain Slices to Definethe Functional Connectome of Identified Neuronal Populations.,2017.0,0,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,0.0,0.0,0.0,isolate,weak_unlinked,Bio-protocol,S. Mingote; N. Chuhma; S. Rayport
work_a5f954f4563fcfc9,Flexible Learning-Free Segmentation and Reconstruction for Sparse Neuronal Circuit Tracing,2018.0,0,core_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,,,,no_graph,no_graph,bioRxiv,A. Shahbazi; Jeffery Kinnison; Rafael Vescovi; Ming Du; Robert Hill; Maximilian Jösch; Marc M. Takeno; Hongkui Zeng; N. D. da Costa; J. Grutzendler; N. Kasthuri; W. Scheirer
work_e2cbde329dc5c463,A Review of Network Inference Techniques for Neural Activation Time Series,2018.0,0,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,,,,no_graph,no_graph,arXiv.org,G. Panagopoulos
work_4a882767161927d6,Author response: Accelerated redevelopment of vocal skills is preceded by lasting reorganization of the song motor circuitry,2019.0,0,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,0.0,0.0,0.0,isolate,weak_unlinked,,M. Vellema; Mariana Diales Rocha; Sabrina Bascones; S. Zsebők; Jes Dreier; S. Leitner; A. Van der Linden; Jonathan Brewer; M. Gahr
work_55afa73b6c08e935,Ultrastructural Changes in Brain Stem Pathways in a Patient with Ataxia Associated with SPG7 Mutations (P1.8-006),2019.0,0,adjacent_relevant,drop,translation,drop,old_uncited_unlinked,False,False,0.0,0.0,0.0,isolate,weak_unlinked,Neurology,J. Ringman; Yuchuan Qiao; Yonggang Shi
work_6d9c40189ef26091,Using MicroCT to evaluate stain penetration and establish fiducial marks for high throughput electron microscopy.,2019.0,0,core_relevant,drop,bridge,drop,old_uncited_unlinked,False,False,0.0,0.0,0.0,isolate,weak_unlinked,Microscopy and Microanalysis,J. Buchanan; Marc M. Takeno; A. Bodor; D. Bumbarger; E. Froudarakis; J. Reimer; A. S. Tolias; R. Reid; N. D. da Costa
work_0f210c53d8261375,Multiscale comparative connectomics,2020.0,0,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,,,,no_graph,no_graph,Imaging neuroscience,Vivek Gopalakrishnan; Jaewon Chung; Eric W. Bridgeford; B. Pedigo; Jesús Arroyo; Lucy Upchurch; G. Johnson; Nian Wang; Youngser Park; Carey E. Priebe; J. Vogelstein
work_4e304075a32337e8,Deep multilevel contextual networks for biomedical image segmentation,2020.0,0,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,,,,no_graph,no_graph,,Hao Chen; Q. Dou; Xiaojuan Qi; Jie-Zhi Cheng; P. Heng
work_59eb82e841081e1f,Retinal Connectomics,2020.0,0,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,0.0,0.0,0.0,isolate,weak_unlinked,The Senses: A Comprehensive Reference,
work_dbb180626b24dcbb,NIMG-69. PERSONALIZED CONNECTOMIC SIGNATURES: BRIDGING THE GAP BETWEEN NEURO-ONCOLOGY AND CONNECTOMICS,2020.0,0,adjacent_relevant,drop,translation,drop,old_uncited_unlinked,False,False,,,,no_graph,no_graph,,Yusuf Osmanlıoğlu; D. Parker; S. Brem; A. Shokoufandeh; R. Verma
work_ff7b8e3b7dee18f2,Drosophila Brain Functional Data Analysis: A Unified Framework,2020.0,0,adjacent_relevant,drop,complementary,drop,old_uncited_unlinked,False,False,,,,no_graph,no_graph,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,Wei-Kun Chang; Ching-Chun Hsiao; Yen-Yin Lin; L. Chu; A. L. Swindlehurst; S. Chu; A. Chiang; Shun-Chi Wu
