label,works,graph_matched,median_in_degree,median_out_degree,median_total_degree,median_out_in_ratio,median_k_core,citation_roles,citation_link_strength,weak_links,weak_unlinked,no_graph,ultra_core,community_id,community_label,core,adjacent,role_bridge
Nobuhiko Ohno / Mitsuhiko Katoh,2,2,1.5,4.0,5.5,3.75,4.0,{'broker': 2},{'moderate': 2},0,0,0,0,22,Nobuhiko Ohno / Mitsuhiko Katoh,0,2,0
Nils Reinhard / Giulia Manoli,2,2,1.5,4.5,6.0,2.25,4.0,"{'only_in': 1, 'broker': 1}","{'weak': 1, 'strong': 1}",1,0,0,0,23,Nils Reinhard / Giulia Manoli,2,0,0
Macy Garrood / Allison Sowa,2,2,0.0,3.5,3.5,3.5,3.0,{'only_out': 2},{'moderate': 2},0,0,0,0,15,Macy Garrood / Allison Sowa,0,2,0
N. Brunel / Heather K Titley,2,2,0.5,4.0,4.5,4.0,4.5,"{'only_out': 1, 'only_in': 1}","{'moderate': 1, 'weak': 1}",1,0,0,0,28,N. Brunel / Heather K Titley,0,2,0
Gábor S. Szilágyi / Zsolt Vassy,2,2,5.0,17.0,22.0,11.15,9.5,"{'only_out': 1, 'broker': 1}",{'strong': 2},0,0,0,0,29,Gábor S. Szilágyi / Zsolt Vassy,2,0,0
Leonid L. Moroz / D. Y. Romanova,1,1,0.0,12.0,12.0,12.0,10.0,{'only_out': 1},{'strong': 1},0,0,0,0,136,Leonid L. Moroz / D. Y. Romanova,0,1,0
R. Borisyuk / S. Soffe,1,1,2.0,0.0,2.0,0.0,2.0,{'only_in': 1},{'weak': 1},1,0,0,0,135,R. Borisyuk / S. Soffe,0,1,0
L. Vasung / P. Grant,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,134,L. Vasung / P. Grant,0,1,0
Bhanu Priya Somashekar / U. Bhalla,1,1,0.0,3.0,3.0,3.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,137,Bhanu Priya Somashekar / U. Bhalla,0,1,0
Dimitrios S. Giakoumas / Zepeng Yao,1,1,0.0,4.0,4.0,4.0,4.0,{'only_out': 1},{'moderate': 1},0,0,0,0,138,Dimitrios S. Giakoumas / Zepeng Yao,1,0,0
Diya Prasanth / Matthew Tivnan,1,1,0.0,5.0,5.0,5.0,5.0,{'only_out': 1},{'moderate': 1},0,0,0,0,133,Diya Prasanth / Matthew Tivnan,0,1,0
E. Dow / A. Hudspeth,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,132,E. Dow / A. Hudspeth,1,0,0
O. Paredes / J. A. Morales,1,1,0.0,3.0,3.0,3.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,131,O. Paredes / J. A. Morales,0,1,0
V. George / G. Silva,1,1,0.0,14.0,14.0,14.0,7.0,{'only_out': 1},{'strong': 1},0,0,0,0,139,V. George / G. Silva,0,1,0
E. A. P. Wright / A. Goltsev,1,1,0.0,3.0,3.0,3.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,130,E. A. P. Wright / A. Goltsev,1,0,0
M. Sacha / A. Destexhe,1,1,1.0,1.0,2.0,1.0,2.0,{'broker': 1},{'weak': 1},1,0,0,0,129,M. Sacha / A. Destexhe,0,1,0
A. Knoblauch / F. Sommer,1,1,1.0,3.0,4.0,3.0,1.0,{'broker': 1},{'moderate': 1},0,0,0,0,128,A. Knoblauch / F. Sommer,0,1,0
Leone Costi / Dario Izzo,1,1,3.0,5.0,8.0,1.667,5.0,{'broker': 1},{'moderate': 1},0,0,0,0,127,Leone Costi / Dario Izzo,1,0,0
Michael G. Zhou / Jennifer O. Hasler,1,1,0.0,4.0,4.0,4.0,4.0,{'only_out': 1},{'moderate': 1},0,0,0,0,124,Michael G. Zhou / Jennifer O. Hasler,1,0,0
S. Sigoillot / F. Selimi,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,126,S. Sigoillot / F. Selimi,0,1,0
Eline Pecho-Vrieseling / S. Arber,1,1,2.0,0.0,2.0,0.0,2.0,{'only_in': 1},{'weak': 1},1,0,0,0,125,Eline Pecho-Vrieseling / S. Arber,0,1,0
M. Marx / D. Feldmeyer,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,123,M. Marx / D. Feldmeyer,0,1,0
Liangyu Tao / Vikas Bhandawat,1,1,1.0,4.0,5.0,4.0,5.0,{'broker': 1},{'moderate': 1},0,0,0,0,122,Liangyu Tao / Vikas Bhandawat,1,0,0
Alina P. Sergeeva / B. Honig,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,121,Alina P. Sergeeva / B. Honig,0,1,0
Enrico Lanza / V. Folli,1,1,3.0,0.0,3.0,0.0,3.0,{'only_in': 1},{'moderate': 1},0,0,0,0,120,Enrico Lanza / V. Folli,1,0,0
Jacob J. Morra / M. Daley,1,1,2.0,0.0,2.0,0.0,2.0,{'only_in': 1},{'weak': 1},1,0,0,0,119,Jacob J. Morra / M. Daley,0,1,0
M. Shakiba / Nima Dehghani,1,1,0.0,10.0,10.0,10.0,7.0,{'only_out': 1},{'strong': 1},0,0,0,0,118,M. Shakiba / Nima Dehghani,1,0,0
Rachael Stentiford / Paul Graham,1,1,1.0,1.0,2.0,1.0,2.0,{'broker': 1},{'weak': 1},1,0,0,0,117,Rachael Stentiford / Paul Graham,1,0,0
Emanuele Plebani / M. M. Dundar,1,1,2.0,1.0,3.0,0.5,3.0,{'broker': 1},{'moderate': 1},0,0,0,0,115,Emanuele Plebani / M. M. Dundar,1,0,0
Alison Ehrlich / Justin Blau,1,1,2.0,6.0,8.0,3.0,6.0,{'broker': 1},{'moderate': 1},0,0,0,0,114,Alison Ehrlich / Justin Blau,0,1,0
Anthony Moreno-Sanchez / Jessica Ausborn,1,1,1.0,2.0,3.0,2.0,3.0,{'broker': 1},{'moderate': 1},0,0,0,0,113,Anthony Moreno-Sanchez / Jessica Ausborn,1,0,0
Timothy W. Dunn / Peter K. Koo,1,1,1.0,1.0,2.0,1.0,1.0,{'broker': 1},{'weak': 1},1,0,0,0,112,Timothy W. Dunn / Peter K. Koo,0,1,0
P. G. Özdil / Pavan Ramdya,1,1,0.0,8.0,8.0,8.0,7.0,{'only_out': 1},{'moderate': 1},0,0,0,0,111,P. G. Özdil / Pavan Ramdya,1,0,0
M. McDonnell / L. M. Ward,1,1,1.0,3.0,4.0,3.0,4.0,{'broker': 1},{'moderate': 1},0,0,0,0,141,M. McDonnell / L. M. Ward,0,1,0
Patrick B. Chen / J. Flint,1,1,0.0,5.0,5.0,5.0,5.0,{'only_out': 1},{'moderate': 1},0,0,0,0,140,Patrick B. Chen / J. Flint,0,0,1
Mu Qiao,1,1,0.0,17.0,17.0,17.0,7.0,{'only_out': 1},{'strong': 1},0,0,0,0,159,Mu Qiao,1,0,0
A. L. Eberle / D. Zeidler,1,1,13.0,16.0,29.0,1.231,11.0,{'broker': 1},{'strong': 1},0,0,0,0,142,A. L. Eberle / D. Zeidler,0,1,0
A. Gomez-Marin,1,1,0.0,4.0,4.0,4.0,4.0,{'only_out': 1},{'moderate': 1},0,0,0,0,167,A. Gomez-Marin,0,0,1
Georgia Rapti,1,1,1.0,4.0,5.0,4.0,5.0,{'broker': 1},{'moderate': 1},0,0,0,0,161,Georgia Rapti,0,1,0
Sebastien Kawada,1,1,0.0,5.0,5.0,5.0,5.0,{'only_out': 1},{'moderate': 1},0,0,0,0,162,Sebastien Kawada,1,0,0
W. Nowinski,1,1,0.0,3.0,3.0,3.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,163,W. Nowinski,0,1,0
Benjamin Li,1,1,0.0,3.0,3.0,3.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,164,Benjamin Li,1,0,0
S. Therianos,1,1,0.0,11.0,11.0,11.0,8.0,{'only_out': 1},{'strong': 1},0,0,0,0,165,S. Therianos,1,0,0
Katrin Vogt,1,1,1.0,3.0,4.0,3.0,4.0,{'broker': 1},{'moderate': 1},0,0,0,0,166,Katrin Vogt,0,1,0
Rachel I. Wilson,1,1,5.0,4.0,9.0,0.8,7.0,{'broker': 1},{'moderate': 1},0,0,0,0,168,Rachel I. Wilson,0,1,0
David J. Smith / T. Starborg,1,1,0.0,4.0,4.0,4.0,4.0,{'only_out': 1},{'moderate': 1},0,0,0,0,143,David J. Smith / T. Starborg,0,1,0
Dawn M. Blitz,1,1,0.0,4.0,4.0,4.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,169,Dawn M. Blitz,0,1,0
Liza Gross,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,170,Liza Gross,0,1,0
Bettina Schnell,1,1,0.0,7.0,7.0,7.0,7.0,{'only_out': 1},{'moderate': 1},0,0,0,0,171,Bettina Schnell,0,1,0
Venkatakrishnan Ramaswamy,1,1,0.0,3.0,3.0,3.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,172,Venkatakrishnan Ramaswamy,0,1,0
Ronald L. Davis,1,1,1.0,3.0,4.0,3.0,4.0,{'broker': 1},{'moderate': 1},0,0,0,0,173,Ronald L. Davis,0,1,0
E. White,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,174,E. White,0,1,0
Xundong Wu,1,1,3.0,4.0,7.0,1.333,6.0,{'broker': 1},{'moderate': 1},0,0,0,0,160,Xundong Wu,1,0,0
Michael T Stobb / E. Gahtan,1,1,4.0,8.0,12.0,2.0,5.0,{'broker': 1},{'strong': 1},0,0,0,0,108,Michael T Stobb / E. Gahtan,0,1,0
T. Toyoizumi,1,1,0.0,3.0,3.0,3.0,2.0,{'only_out': 1},{'moderate': 1},0,0,0,0,158,T. Toyoizumi,0,1,0
R. Jacobs,1,1,0.0,7.0,7.0,7.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,157,R. Jacobs,0,1,0
R. De Schepper / E. D’Angelo,1,1,1.0,4.0,5.0,4.0,2.0,{'broker': 1},{'moderate': 1},0,0,0,0,156,R. De Schepper / E. D’Angelo,0,1,0
K. Seymour / Lichtman Jeff,1,1,9.0,1.0,10.0,0.111,9.0,{'broker': 1},{'strong': 1},0,0,0,0,155,K. Seymour / Lichtman Jeff,1,0,0
R. Fields / P. Basser,1,1,3.0,0.0,3.0,0.0,2.0,{'only_in': 1},{'moderate': 1},0,0,0,0,154,R. Fields / P. Basser,0,1,0
A. Bhattacharjee / Srijita Sarkar,1,1,1.0,1.0,2.0,1.0,2.0,{'broker': 1},{'weak': 1},1,0,0,0,153,A. Bhattacharjee / Srijita Sarkar,1,0,0
A. Goulas / C. Hilgetag,1,1,15.0,7.0,22.0,0.467,6.0,{'broker': 1},{'strong': 1},0,0,0,0,152,A. Goulas / C. Hilgetag,0,1,0
G. Drion / R. Sepulchre,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,151,G. Drion / R. Sepulchre,0,1,0
Enrico Corradini / Domenico Ursino,1,1,0.0,3.0,3.0,3.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,150,Enrico Corradini / Domenico Ursino,1,0,0
H. Isaac Chen / Douglas H. Smith,1,1,0.0,8.0,8.0,8.0,5.0,{'only_out': 1},{'moderate': 1},0,0,0,0,149,H. Isaac Chen / Douglas H. Smith,0,1,0
Pablo J. Lituma / Sayan Nandi,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,148,Pablo J. Lituma / Sayan Nandi,0,1,0
Francesco Bardozzo / R. Tagliaferri,1,1,0.0,8.0,8.0,8.0,5.0,{'only_out': 1},{'moderate': 1},0,0,0,0,147,Francesco Bardozzo / R. Tagliaferri,0,1,0
N. Kraynyukova / T. Tchumatchenko,1,1,1.0,1.0,2.0,1.0,2.0,{'broker': 1},{'weak': 1},1,0,0,0,146,N. Kraynyukova / T. Tchumatchenko,0,1,0
Omar A. Hafez / Jan Pielage,1,1,0.0,4.0,4.0,4.0,4.0,{'only_out': 1},{'moderate': 1},0,0,0,0,145,Omar A. Hafez / Jan Pielage,0,1,0
Cody Baker / R. Rosenbaum,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,144,Cody Baker / R. Rosenbaum,0,1,0
Xinyue Cui / Nilay Yapici,1,1,1.0,1.0,2.0,1.0,2.0,{'broker': 1},{'weak': 1},1,0,0,0,109,Xinyue Cui / Nilay Yapici,1,0,0
Jong-Hyun Son / J. Bonkowsky,1,1,1.0,1.0,2.0,1.0,2.0,{'broker': 1},{'weak': 1},1,0,0,0,88,Jong-Hyun Son / J. Bonkowsky,0,1,0
K. Siju / Ilona C. Grunwald Kadow,1,1,1.0,11.0,12.0,11.0,8.0,{'broker': 1},{'strong': 1},0,0,0,0,107,K. Siju / Ilona C. Grunwald Kadow,0,1,0
Akash Pal / L. Tian,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,61,Akash Pal / L. Tian,0,1,0
N. Pospelov / A. Gorsky,1,1,1.0,4.0,5.0,4.0,4.0,{'broker': 1},{'moderate': 1},0,0,0,0,55,N. Pospelov / A. Gorsky,0,1,0
Linnaea E. Ostroff / Joseph E LeDoux,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,56,Linnaea E. Ostroff / Joseph E LeDoux,0,1,0
Ruby V. Jacobs / Anita V. Devineni,1,1,0.0,3.0,3.0,3.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,57,Ruby V. Jacobs / Anita V. Devineni,1,0,0
Arturo Tozzi / L. Mariniello,1,1,0.0,7.0,7.0,7.0,4.0,{'only_out': 1},{'moderate': 1},0,0,0,0,58,Arturo Tozzi / L. Mariniello,0,1,0
Alexis B'enichou / Christian L. Vestergaard,1,1,0.0,4.0,4.0,4.0,4.0,{'only_out': 1},{'moderate': 1},0,0,0,0,59,Alexis B'enichou / Christian L. Vestergaard,1,0,0
Neele Wolterhoff / P. Hiesinger,1,1,0.0,10.0,10.0,10.0,8.0,{'only_out': 1},{'strong': 1},0,0,0,0,60,Neele Wolterhoff / P. Hiesinger,0,1,0
Fatemeh Hadaeghi / Claus C. Hilgetag,1,1,0.0,4.0,4.0,4.0,4.0,{'only_out': 1},{'moderate': 1},0,0,0,0,62,Fatemeh Hadaeghi / Claus C. Hilgetag,1,0,0
Haoran Chen / P. Heng,1,1,6.0,6.0,12.0,1.0,6.0,{'broker': 1},{'strong': 1},0,0,0,0,106,Haoran Chen / P. Heng,1,0,0
Uzair Shah / Mowafa J Househ,1,1,1.0,29.0,30.0,29.0,11.0,{'broker': 1},{'strong': 1},0,0,0,0,63,Uzair Shah / Mowafa J Househ,0,1,0
Valeria d'Andrea / 35131 Padova,1,1,0.0,3.0,3.0,3.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,65,Valeria d'Andrea / 35131 Padova,0,1,0
Jinfang Li / M. D. Gordon,1,1,1.0,4.0,5.0,4.0,5.0,{'broker': 1},{'moderate': 1},0,0,0,0,66,Jinfang Li / M. D. Gordon,1,0,0
Qian-Quan Sun / S. Siegelbaum,1,1,2.0,0.0,2.0,0.0,2.0,{'only_in': 1},{'weak': 1},1,0,0,0,67,Qian-Quan Sun / S. Siegelbaum,0,1,0
David S. Grayson / David G Amaral1,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,68,David S. Grayson / David G Amaral1,0,1,0
S. Galindo / L. Pastor,1,1,1.0,7.0,8.0,7.0,4.0,{'broker': 1},{'moderate': 1},0,0,0,0,69,S. Galindo / L. Pastor,0,1,0
F. V. Bussel / Marc Timme,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,54,F. V. Bussel / Marc Timme,0,1,0
J. Arle / Kristen W. Carlson,1,1,0.0,4.0,4.0,4.0,4.0,{'only_out': 1},{'moderate': 1},0,0,0,0,53,J. Arle / Kristen W. Carlson,0,1,0
S. Latifi / S. Carmichael,1,1,0.0,5.0,5.0,5.0,4.0,{'only_out': 1},{'moderate': 1},0,0,0,0,52,S. Latifi / S. Carmichael,0,0,1
T. McGinnity / Alicia Costalago-Meruelo,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,51,T. McGinnity / Alicia Costalago-Meruelo,1,0,0
K. E. Linker / F. M. Leslie,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,50,K. E. Linker / F. M. Leslie,0,1,0
Harold K. Shearin / R. Stowers,1,1,6.0,1.0,7.0,0.167,6.0,{'broker': 1},{'moderate': 1},0,0,0,0,48,Harold K. Shearin / R. Stowers,0,1,0
Rohan Gupta / Karthikeyan Ravi,1,1,0.0,7.0,7.0,7.0,2.0,{'only_out': 1},{'moderate': 1},0,0,0,0,47,Rohan Gupta / Karthikeyan Ravi,0,1,0
Kazuma Sakamoto / T. Tsuji,1,1,3.0,1.0,4.0,0.333,3.0,{'broker': 1},{'moderate': 1},0,0,0,0,46,Kazuma Sakamoto / T. Tsuji,1,0,0
D. Schreiner / Joris de Wit,1,1,6.0,2.0,8.0,0.333,3.0,{'broker': 1},{'moderate': 1},0,0,0,0,45,D. Schreiner / Joris de Wit,0,1,0
Gerard Marx / Chaim Gilon,1,1,0.0,7.0,7.0,7.0,5.0,{'only_out': 1},{'moderate': 1},0,0,0,0,44,Gerard Marx / Chaim Gilon,0,1,0
Tobias Lehmann / R. Melzer,1,1,0.0,7.0,7.0,7.0,6.0,{'only_out': 1},{'moderate': 1},0,0,0,0,43,Tobias Lehmann / R. Melzer,1,0,0
S. Millard / Matthew Y. Pecot,1,1,1.0,1.0,2.0,1.0,2.0,{'broker': 1},{'weak': 1},1,0,0,0,42,S. Millard / Matthew Y. Pecot,0,1,0
Dongmei Shi / H. Noori,1,1,1.0,10.0,11.0,10.0,6.0,{'broker': 1},{'strong': 1},0,0,0,0,41,Dongmei Shi / H. Noori,0,1,0
Leehod Baruch / E. Segal,1,1,3.0,0.0,3.0,0.0,3.0,{'only_in': 1},{'moderate': 1},0,0,0,0,40,Leehod Baruch / E. Segal,0,1,0
Fábio Lobato / Roberto Santana,1,1,0.0,5.0,5.0,5.0,5.0,{'only_out': 1},{'moderate': 1},0,0,0,0,39,Fábio Lobato / Roberto Santana,0,1,0
L. Dipietro / Timothy Wagner,1,1,0.0,3.0,3.0,3.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,38,L. Dipietro / Timothy Wagner,0,1,0
Georg Kislinger / Martina Schifferer,1,1,0.0,4.0,4.0,4.0,4.0,{'only_out': 1},{'moderate': 1},0,0,0,0,37,Georg Kislinger / Martina Schifferer,1,0,0
