work_id,title,citation_count_work,decision,confidence
work_6f86d20c9bf6e84d,Whole-brain annotation and multi-connectome cell typing of Drosophila,291,core_relevant,0.95
work_cf9199d8b0ccf668,High-accuracy neurite reconstruction for high-throughput neuroanatomy,291,core_relevant,1.0
work_5fce6ceceeaa09c7,Comparative Connectomics.,290,core_relevant,0.86
work_31d1fee6f2ffabfe,The connectome of the adult Drosophila mushroom body provides insights into function,289,core_relevant,0.93
work_5a150d031329b4d0,Nanoconnectomic upper bound on the variability of synaptic plasticity,280,core_relevant,0.94
work_0641fb974f5264cf,mGRASP enables mapping mammalian synaptic connectivity with light microscopy,275,core_relevant,0.92
work_e38ce8eb753d5588,FusionNet: A Deep Fully Residual Convolutional Neural Network for Image Segmentation in Connectomics,274,core_relevant,0.93
work_7bd29d9809ae56eb,Large-volume en-bloc staining for electron microscopy-based connectomics,274,core_relevant,0.97
work_796386b4ebec693b,The CNS connectome of a tadpole larva of Ciona intestinalis (L.) highlights sidedness in the brain of a chordate sibling,246,core_relevant,0.96
work_86ba4bfd64350171,Neuronal wiring diagram of an adult brain,242,core_relevant,0.99
work_241b54c819ff405b,FlyWire: Online community for whole-brain connectomics,242,core_relevant,0.97
work_e323a05fc48f61c0,Reconstruction of motor control circuits in adult Drosophila using automated transmission electron microscopy,239,core_relevant,0.95
work_fe975f52ca253f7e,The Multilayer Connectome of Caenorhabditis elegans,238,core_relevant,0.94
work_d552830c86eb491f,Large Scale Image Segmentation with Structured Loss Based Deep Learning for Connectome Reconstruction,226,core_relevant,0.95
work_06030491fabc9e9d,Synaptic connectivity and neuronal morphology: two sides of the same coin.,224,core_relevant,0.86
work_3cfb4552d0463ce3,A connectomic study of a petascale fragment of human cerebral cortex,217,core_relevant,0.98
work_a3723ea06299828e,"A genetic, genomic, and computational resource for exploring neural circuit function",214,core_relevant,0.92
work_62baf6bf40a9cb50,Species-specific wiring for direction selectivity in the mammalian retina,208,core_relevant,0.92
work_f4089e71d372f0e5,Connectomic comparison of mouse and human cortex,205,core_relevant,0.97
work_f56a7ec87aa3e03a,VAST (Volume Annotation and Segmentation Tool): Efficient Manual and Semi-Automatic Labeling of Large 3D Image Stacks,201,core_relevant,0.94
work_c7e9554f3a7935e3,The wiring diagram of a glomerular olfactory system,197,core_relevant,0.97
work_8fd725d2118803e2,A petascale automated imaging pipeline for mapping neuronal circuits with high-throughput transmission electron microscopy,133,core_relevant,0.9
