label,works,graph_matched,median_in_degree,median_out_degree,median_total_degree,median_out_in_ratio,median_k_core,citation_roles,citation_link_strength,weak_links,weak_unlinked,no_graph,ultra_core,community_id,community_label,core,adjacent,role_bridge
Philipp Hövel / Jorge Ruiz,4,4,4.5,4.0,6.5,1.275,5.5,{'broker': 4},"{'moderate': 3, 'strong': 1}",0,0,0,0,18,Philipp Hövel / Jorge Ruiz,3,1,0
Yongbin Wei / K. M. Sabrin,4,4,4.5,6.5,10.5,2.412,6.0,"{'broker': 3, 'only_out': 1}","{'strong': 2, 'moderate': 2}",0,0,0,0,15,Yongbin Wei / K. M. Sabrin,2,2,0
Oliver Schmitt / Peter Eipert,4,4,0.5,4.0,5.0,4.0,4.5,"{'broker': 2, 'isolate': 1, 'only_out': 1}","{'moderate': 2, 'weak_unlinked': 1, 'strong': 1}",0,1,0,0,16,Oliver Schmitt / Peter Eipert,0,3,1
Megumu Takahashi / Masato Koike,4,4,0.5,5.0,5.5,5.0,5.5,"{'only_out': 2, 'broker': 2}","{'moderate': 2, 'strong': 1, 'weak_unlinked': 1}",0,1,0,0,9,Megumu Takahashi / Masato Koike,1,3,0
C. Clopath / N. A. Cayco-Gajic,3,3,1.0,0.0,1.0,0.0,1.0,"{'broker': 1, 'only_in': 2}",{'weak': 3},3,0,0,0,31,C. Clopath / N. A. Cayco-Gajic,0,3,0
Jongpil Shin / Jayati Gera,3,3,0.0,2.0,2.0,2.0,2.0,"{'only_out': 2, 'broker': 1}","{'weak_unlinked': 2, 'strong': 1}",0,2,0,0,19,Jongpil Shin / Jayati Gera,1,1,1
M. Vellema / Mariana Diales Rocha,3,3,0.0,1.0,1.0,1.0,1.0,"{'isolate': 1, 'only_out': 2}",{'weak_unlinked': 3},0,3,0,0,14,M. Vellema / Mariana Diales Rocha,0,3,0
Julia Lyudchik / Alban Cenameri,3,3,6.0,2.0,8.0,0.722,7.0,{'broker': 3},"{'moderate': 2, 'strong': 1}",0,0,0,0,11,Julia Lyudchik / Alban Cenameri,1,2,0
B. Maco / P. Fua,3,3,0.0,1.0,1.0,0.7,1.0,"{'isolate': 1, 'broker': 1, 'only_out': 1}","{'weak_unlinked': 2, 'moderate': 1}",0,2,0,0,30,B. Maco / P. Fua,1,2,0
K. Siju / Ilona C. Grunwald Kadow,2,2,0.5,6.0,6.5,6.0,4.5,"{'only_out': 1, 'broker': 1}","{'weak_unlinked': 1, 'strong': 1}",0,1,0,0,43,K. Siju / Ilona C. Grunwald Kadow,1,1,0
Habib Benali / El-kaioum M. Moutuou,2,2,0.5,14.5,15.0,14.5,10.0,"{'only_out': 1, 'broker': 1}",{'strong': 2},0,0,0,0,44,Habib Benali / El-kaioum M. Moutuou,1,1,0
A. Arnatkevic̆iūtė / Ben D. Fulcher,2,2,15.0,13.0,28.0,1.857,7.0,{'broker': 2},"{'strong': 1, 'moderate': 1}",0,0,0,0,45,A. Arnatkevic̆iūtė / Ben D. Fulcher,1,1,0
S. L. Goodman / Jeffrey W Percival,2,2,0.5,0.5,1.0,0.5,1.0,"{'only_in': 1, 'only_out': 1}","{'weak': 1, 'weak_unlinked': 1}",1,1,0,0,46,S. L. Goodman / Jeffrey W Percival,0,2,0
Kristyn M. Lizbinski / James M. Jeanne,2,2,7.5,11.0,18.5,1.667,6.5,"{'broker': 1, 'only_out': 1}","{'strong': 1, 'weak_unlinked': 1}",0,1,0,0,47,Kristyn M. Lizbinski / James M. Jeanne,2,0,0
C. Eroglu / W. C. Risher,2,2,1.0,0.0,1.0,0.0,1.0,{'only_in': 2},{'weak': 2},2,0,0,0,48,C. Eroglu / W. C. Risher,0,2,0
D. Ville / Miljan Petrović,2,2,3.0,3.0,6.0,1.333,3.0,"{'broker': 1, 'only_out': 1}","{'strong': 1, 'weak_unlinked': 1}",0,1,0,0,49,D. Ville / Miljan Petrović,1,1,0
P. Yadav / Aradhana Singh,2,2,1.5,16.0,17.5,9.334,10.0,"{'only_out': 1, 'broker': 1}",{'strong': 2},0,0,0,0,112,P. Yadav / Aradhana Singh,2,0,0
Florian Unger / Jonathan Krebs,2,2,0.0,2.5,2.5,2.5,2.5,{'only_out': 2},"{'moderate': 1, 'weak_unlinked': 1}",0,1,0,0,50,Florian Unger / Jonathan Krebs,1,1,0
S. Flavell / A. Gordus,2,2,1.0,8.5,9.5,8.5,8.5,{'broker': 2},"{'moderate': 1, 'strong': 1}",0,0,0,0,51,S. Flavell / A. Gordus,1,1,0
E. Marder / Cori Bargmann,2,2,27.5,1.0,28.5,0.025,10.5,"{'broker': 1, 'only_in': 1}",{'strong': 2},0,0,0,0,64,E. Marder / Cori Bargmann,0,2,0
Jacob L. Yates / B. Scholl,2,2,0.0,1.0,1.0,1.0,1.0,{'only_out': 2},{'weak_unlinked': 2},0,2,0,0,66,Jacob L. Yates / B. Scholl,0,2,0
W. Nowinski,2,2,0.0,2.0,2.0,2.0,2.0,{'only_out': 2},"{'weak_unlinked': 1, 'moderate': 1}",0,1,0,0,199,W. Nowinski,0,2,0
Marcus Kaiser / Sreedevi Varier,2,2,1.0,2.0,3.0,2.0,2.5,"{'broker': 1, 'isolate': 1}","{'moderate': 1, 'weak_unlinked': 1}",0,1,0,0,163,Marcus Kaiser / Sreedevi Varier,0,2,0
Alessio Franci / G. Drion,2,2,0.5,1.0,1.5,1.0,1.0,"{'only_out': 1, 'only_in': 1}","{'weak_unlinked': 1, 'weak': 1}",1,1,0,0,41,Alessio Franci / G. Drion,0,2,0
J. Karbowski / F. Rakowski,2,2,4.0,4.5,8.5,2.312,5.5,"{'only_out': 1, 'broker': 1}","{'moderate': 1, 'strong': 1}",0,0,0,0,145,J. Karbowski / F. Rakowski,1,1,0
R. Fields / PhD R. Douglas Fields,2,2,1.5,1.0,2.5,1.0,2.0,"{'only_out': 1, 'only_in': 1}","{'weak_unlinked': 1, 'moderate': 1}",0,1,0,0,42,R. Fields / PhD R. Douglas Fields,0,2,0
Bradly Alicea / Jayadratha Gayen,2,2,1.0,7.5,8.5,4.75,6.5,"{'broker': 1, 'only_out': 1}","{'strong': 1, 'moderate': 1}",0,0,0,0,141,Bradly Alicea / Jayadratha Gayen,1,1,0
R. Borisyuk / D. Conte,2,2,1.0,0.5,1.5,0.5,1.5,"{'only_in': 1, 'only_out': 1}","{'weak': 1, 'weak_unlinked': 1}",1,1,0,0,40,R. Borisyuk / D. Conte,0,2,0
Alexei Verkhratsky / F. Zeidán-Chuliá,2,2,0.0,0.0,0.0,,0.0,{'isolate': 2},{'weak_unlinked': 2},0,2,0,0,28,Alexei Verkhratsky / F. Zeidán-Chuliá,0,1,1
Omar A. Hafez / Benjamin Escribano,2,2,0.0,2.5,2.5,2.5,2.5,{'only_out': 2},"{'weak_unlinked': 1, 'moderate': 1}",0,1,0,0,38,Omar A. Hafez / Benjamin Escribano,1,1,0
A. McLachlan / Robert Court,2,2,6.0,7.0,13.0,1.5,6.5,"{'only_out': 1, 'broker': 1}","{'weak_unlinked': 1, 'strong': 1}",0,1,0,0,24,A. McLachlan / Robert Court,0,0,2
Sofia Grade / Judith Thomas,2,2,0.0,1.0,1.0,1.0,1.0,{'only_out': 2},{'weak_unlinked': 2},0,2,0,0,17,Sofia Grade / Judith Thomas,0,2,0
H. Haberkern / Oliver Alvarado Rodriguez,2,2,0.5,10.0,10.5,10.0,7.0,"{'broker': 1, 'only_out': 1}","{'strong': 1, 'moderate': 1}",0,0,0,0,25,H. Haberkern / Oliver Alvarado Rodriguez,1,0,1
M. Heß / G. Wanner,2,2,0.0,4.5,4.5,4.5,4.0,{'only_out': 2},"{'moderate': 1, 'weak_unlinked': 1}",0,1,0,0,26,M. Heß / G. Wanner,2,0,0
Nobuhiko Ohno / Mitsuhiko Katoh,2,2,1.5,4.0,5.5,3.75,4.0,{'broker': 2},{'moderate': 2},0,0,0,0,27,Nobuhiko Ohno / Mitsuhiko Katoh,0,2,0
Enrico Lanza / G. Ruocco,2,2,1.5,0.0,1.5,0.0,1.5,"{'only_in': 1, 'isolate': 1}","{'moderate': 1, 'weak_unlinked': 1}",0,1,0,0,29,Enrico Lanza / G. Ruocco,1,1,0
N. Brunel / Heather K Titley,2,2,0.5,4.0,4.5,4.0,4.5,"{'only_out': 1, 'only_in': 1}","{'moderate': 1, 'weak': 1}",1,0,0,0,32,N. Brunel / Heather K Titley,0,2,0
C. Hilgetag / P. Roland,2,2,7.5,3.5,11.0,0.467,3.0,"{'isolate': 1, 'broker': 1}","{'weak_unlinked': 1, 'strong': 1}",0,1,0,0,33,C. Hilgetag / P. Roland,0,2,0
Gábor S. Szilágyi / Zsolt Vassy,2,2,5.0,17.0,22.0,11.15,9.5,"{'only_out': 1, 'broker': 1}",{'strong': 2},0,0,0,0,34,Gábor S. Szilágyi / Zsolt Vassy,2,0,0
D. Zeidler / Lucy Ngo,2,2,6.5,8.0,14.5,1.231,5.5,"{'isolate': 1, 'broker': 1}","{'weak_unlinked': 1, 'strong': 1}",0,1,0,0,35,D. Zeidler / Lucy Ngo,1,1,0
Elizabeth M. DiLoreto / Christopher Chute,2,2,1.0,5.5,6.5,5.0,4.5,"{'broker': 1, 'only_out': 1}",{'moderate': 2},0,0,0,0,36,Elizabeth M. DiLoreto / Christopher Chute,0,2,0
D. Fair / David S. Grayson,2,2,0.5,0.0,0.5,0.0,0.5,"{'only_in': 1, 'isolate': 1}","{'weak': 1, 'weak_unlinked': 1}",1,1,0,0,37,D. Fair / David S. Grayson,0,1,1
I. Díez / J. Cortes,2,2,0.0,0.0,0.0,,0.0,{'isolate': 2},{'weak_unlinked': 2},0,2,0,0,23,I. Díez / J. Cortes,0,2,0
E. Dow / A. Hudspeth,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,168,E. Dow / A. Hudspeth,1,0,0
E. A. P. Wright / A. Goltsev,1,1,0.0,3.0,3.0,3.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,165,E. A. P. Wright / A. Goltsev,1,0,0
O. Paredes / J. A. Morales,1,1,0.0,3.0,3.0,3.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,167,O. Paredes / J. A. Morales,0,1,0
C. Zucker / J. Dowling,1,1,0.0,2.0,2.0,2.0,2.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,166,C. Zucker / J. Dowling,0,1,0
Diya Prasanth / Matthew Tivnan,1,1,0.0,5.0,5.0,5.0,5.0,{'only_out': 1},{'moderate': 1},0,0,0,0,169,Diya Prasanth / Matthew Tivnan,0,1,0
Patrick B. Chen / J. Flint,1,1,0.0,5.0,5.0,5.0,5.0,{'only_out': 1},{'moderate': 1},0,0,0,0,175,Patrick B. Chen / J. Flint,0,0,1
M. van Oostrum / B. Wollscheid,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,170,M. van Oostrum / B. Wollscheid,0,1,0
L. Vasung / P. Grant,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,171,L. Vasung / P. Grant,0,1,0
Leonid L. Moroz / D. Y. Romanova,1,1,0.0,12.0,12.0,12.0,10.0,{'only_out': 1},{'strong': 1},0,0,0,0,172,Leonid L. Moroz / D. Y. Romanova,0,1,0
Bhanu Priya Somashekar / U. Bhalla,1,1,0.0,3.0,3.0,3.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,173,Bhanu Priya Somashekar / U. Bhalla,0,1,0
V. George / G. Silva,1,1,0.0,14.0,14.0,14.0,7.0,{'only_out': 1},{'strong': 1},0,0,0,0,174,V. George / G. Silva,0,1,0
D. Zendrikov / Alexander Paraskevov,1,1,0.0,0.0,0.0,,0.0,{'isolate': 1},{'weak_unlinked': 1},0,1,0,0,176,D. Zendrikov / Alexander Paraskevov,0,1,0
J. Yáñez / R. Anadón,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,177,J. Yáñez / R. Anadón,0,1,0
M. McDonnell / L. M. Ward,1,1,1.0,3.0,4.0,3.0,4.0,{'broker': 1},{'moderate': 1},0,0,0,0,178,M. McDonnell / L. M. Ward,0,1,0
David J. Smith / T. Starborg,1,1,0.0,4.0,4.0,4.0,4.0,{'only_out': 1},{'moderate': 1},0,0,0,0,179,David J. Smith / T. Starborg,0,1,0
M. Sacha / A. Destexhe,1,1,1.0,1.0,2.0,1.0,2.0,{'broker': 1},{'weak': 1},1,0,0,0,164,M. Sacha / A. Destexhe,0,1,0
Luis O. Vargas / Randy S D'Amico,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,157,Luis O. Vargas / Randy S D'Amico,0,0,1
A. Knoblauch / F. Sommer,1,1,1.0,3.0,4.0,3.0,1.0,{'broker': 1},{'moderate': 1},0,0,0,0,162,A. Knoblauch / F. Sommer,0,1,0
M. Marx / D. Feldmeyer,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,151,M. Marx / D. Feldmeyer,0,1,0
Timothy W. Dunn / Peter K. Koo,1,1,1.0,1.0,2.0,1.0,1.0,{'broker': 1},{'weak': 1},1,0,0,0,142,Timothy W. Dunn / Peter K. Koo,0,1,0
Alison Ehrlich / Justin Blau,1,1,2.0,6.0,8.0,3.0,6.0,{'broker': 1},{'moderate': 1},0,0,0,0,143,Alison Ehrlich / Justin Blau,0,1,0
Emanuele Plebani / M. M. Dundar,1,1,2.0,1.0,3.0,0.5,3.0,{'broker': 1},{'moderate': 1},0,0,0,0,144,Emanuele Plebani / M. M. Dundar,1,0,0
Rachael Stentiford / Paul Graham,1,1,1.0,1.0,2.0,1.0,2.0,{'broker': 1},{'weak': 1},1,0,0,0,146,Rachael Stentiford / Paul Graham,1,0,0
M. Shakiba / Nima Dehghani,1,1,0.0,10.0,10.0,10.0,7.0,{'only_out': 1},{'strong': 1},0,0,0,0,147,M. Shakiba / Nima Dehghani,1,0,0
Jacob J. Morra / M. Daley,1,1,2.0,0.0,2.0,0.0,2.0,{'only_in': 1},{'weak': 1},1,0,0,0,148,Jacob J. Morra / M. Daley,0,1,0
Alex J. Yu / C. Rankin,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,149,Alex J. Yu / C. Rankin,0,1,0
Yoav Printz / O. Yizhar,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,150,Yoav Printz / O. Yizhar,0,1,0
Kazuaki Ikeda / N. Tanaka,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,152,Kazuaki Ikeda / N. Tanaka,0,1,0
F. Mastrogiuseppe / C. Machens,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,161,F. Mastrogiuseppe / C. Machens,0,1,0
C. Fillinger / P. Veinante,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,153,C. Fillinger / P. Veinante,0,1,0
Michael G. Zhou / Jennifer O. Hasler,1,1,0.0,4.0,4.0,4.0,4.0,{'only_out': 1},{'moderate': 1},0,0,0,0,154,Michael G. Zhou / Jennifer O. Hasler,1,0,0
Eline Pecho-Vrieseling / S. Arber,1,1,2.0,0.0,2.0,0.0,2.0,{'only_in': 1},{'weak': 1},1,0,0,0,155,Eline Pecho-Vrieseling / S. Arber,0,1,0
S. Sigoillot / F. Selimi,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,156,S. Sigoillot / F. Selimi,0,1,0
Francesco Bardozzo / R. Tagliaferri,1,1,0.0,8.0,8.0,8.0,5.0,{'only_out': 1},{'moderate': 1},0,0,0,0,181,Francesco Bardozzo / R. Tagliaferri,0,1,0
Leone Costi / Dario Izzo,1,1,3.0,5.0,8.0,1.667,5.0,{'broker': 1},{'moderate': 1},0,0,0,0,158,Leone Costi / Dario Izzo,1,0,0
M. Paveliev / Albert V. Aganov,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,159,M. Paveliev / Albert V. Aganov,0,1,0
F. Latini / M. Ryttlefors,1,1,0.0,0.0,0.0,,0.0,{'isolate': 1},{'weak_unlinked': 1},0,1,0,0,160,F. Latini / M. Ryttlefors,0,0,1
N. Kraynyukova / T. Tchumatchenko,1,1,1.0,1.0,2.0,1.0,2.0,{'broker': 1},{'weak': 1},1,0,0,0,180,N. Kraynyukova / T. Tchumatchenko,0,1,0
Anthony Deluca / M. Arbeitman,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,188,Anthony Deluca / M. Arbeitman,0,1,0
Stephan Dodt / Henning Fenselau,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,182,Stephan Dodt / Henning Fenselau,0,1,0
Andreu Ballús Santacana,1,1,0.0,2.0,2.0,2.0,2.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,215,Andreu Ballús Santacana,0,1,0
Kedar Narayan,1,1,0.0,0.0,0.0,,0.0,{'isolate': 1},{'weak_unlinked': 1},0,1,0,0,207,Kedar Narayan,0,1,0
U. Homberg,1,1,0.0,0.0,0.0,,0.0,{'isolate': 1},{'weak_unlinked': 1},0,1,0,0,208,U. Homberg,0,1,0
Xinyue Cui / Nilay Yapici,1,1,1.0,1.0,2.0,1.0,2.0,{'broker': 1},{'weak': 1},1,0,0,0,140,Xinyue Cui / Nilay Yapici,1,0,0
Daniel J. Graham,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,210,Daniel J. Graham,0,1,0
Pascal Grange,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,211,Pascal Grange,0,1,0
P. Daugulis,1,1,0.0,2.0,2.0,2.0,2.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,212,P. Daugulis,1,0,0
S. Therianos,1,1,0.0,11.0,11.0,11.0,8.0,{'only_out': 1},{'strong': 1},0,0,0,0,213,S. Therianos,1,0,0
A. Gomez-Marin,1,1,0.0,4.0,4.0,4.0,4.0,{'only_out': 1},{'moderate': 1},0,0,0,0,214,A. Gomez-Marin,0,0,1
Luís F Seoane,1,1,0.0,2.0,2.0,2.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,216,Luís F Seoane,0,0,1
Pablo J. Lituma / Sayan Nandi,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,183,Pablo J. Lituma / Sayan Nandi,0,1,0
D. Taliaz,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,217,D. Taliaz,0,1,0
H. Duffau,1,1,0.0,0.0,0.0,,0.0,{'isolate': 1},{'weak_unlinked': 1},0,1,0,0,218,H. Duffau,0,0,1
Dawn M. Blitz,1,1,0.0,4.0,4.0,4.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,219,Dawn M. Blitz,0,1,0
Liza Gross,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,220,Liza Gross,0,1,0
Bettina Schnell,1,1,0.0,7.0,7.0,7.0,7.0,{'only_out': 1},{'moderate': 1},0,0,0,0,221,Bettina Schnell,0,1,0
Venkatakrishnan Ramaswamy,1,1,0.0,3.0,3.0,3.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,222,Venkatakrishnan Ramaswamy,0,1,0
Ronald L. Davis,1,1,1.0,3.0,4.0,3.0,4.0,{'broker': 1},{'moderate': 1},0,0,0,0,223,Ronald L. Davis,0,1,0
E. White,1,1,1.0,0.0,1.0,0.0,1.0,{'only_in': 1},{'weak': 1},1,0,0,0,224,E. White,0,1,0
Georgia Rapti,1,1,1.0,4.0,5.0,4.0,5.0,{'broker': 1},{'moderate': 1},0,0,0,0,206,Georgia Rapti,0,1,0
Terrence Adams,1,1,0.0,2.0,2.0,2.0,2.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,205,Terrence Adams,1,0,0
Julian Ungar-Sargon,1,1,0.0,0.0,0.0,,0.0,{'isolate': 1},{'weak_unlinked': 1},0,1,0,0,204,Julian Ungar-Sargon,0,1,0
Xundong Wu,1,1,3.0,4.0,7.0,1.333,6.0,{'broker': 1},{'moderate': 1},0,0,0,0,203,Xundong Wu,1,0,0
Enrico Corradini / Domenico Ursino,1,1,0.0,3.0,3.0,3.0,3.0,{'only_out': 1},{'moderate': 1},0,0,0,0,184,Enrico Corradini / Domenico Ursino,1,0,0
Zach Tosi / J. Beggs,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,185,Zach Tosi / J. Beggs,0,1,0
Elizabeth Gross / Despina Stasi,1,1,0.0,2.0,2.0,2.0,2.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,186,Elizabeth Gross / Despina Stasi,0,1,0
Nicolas Rault / T. Celikel,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,187,Nicolas Rault / T. Celikel,0,1,0
Claudia Groh / W. Rössler,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,189,Claudia Groh / W. Rössler,0,1,0
L. Agnati / M. Marcoli,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,190,L. Agnati / M. Marcoli,0,1,0
A. Bhattacharjee / Srijita Sarkar,1,1,1.0,1.0,2.0,1.0,2.0,{'broker': 1},{'weak': 1},1,0,0,0,191,A. Bhattacharjee / Srijita Sarkar,1,0,0
D. Raman / Timothy O’Leary,1,1,0.0,2.0,2.0,2.0,2.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,192,D. Raman / Timothy O’Leary,0,1,0
E. Perisse / S. Trouche,1,1,0.0,2.0,2.0,2.0,2.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,193,E. Perisse / S. Trouche,0,1,0
K. Seymour / Lichtman Jeff,1,1,9.0,1.0,10.0,0.111,9.0,{'broker': 1},{'strong': 1},0,0,0,0,194,K. Seymour / Lichtman Jeff,1,0,0
Anmol Guragain / Juan Ignacio Godino-Llorente,1,1,0.0,2.0,2.0,2.0,2.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,195,Anmol Guragain / Juan Ignacio Godino-Llorente,0,1,0
Naureen A. Hameed / Annika F. Barber,1,1,0.0,1.0,1.0,1.0,1.0,{'only_out': 1},{'weak_unlinked': 1},0,1,0,0,196,Naureen A. Hameed / Annika F. Barber,0,1,0
