label,works,graph_matched,median_in_degree,median_out_degree,median_total_degree,median_out_in_ratio,median_k_core,median_pagerank_percentile,citation_roles,citation_link_strength,weak_links,weak_unlinked,ultra_core,community_id,community_label,core,adjacent,role_bridge
Philipp Hövel / Jorge Ruiz,5,4,4.5,4.0,6.5,1.275,5.5,0.887,{'broker': 4},"{'moderate': 3, 'strong': 1}",0,0,0,15,Philipp Hövel / Jorge Ruiz,3,2,0
Aindrila Saha / Abrar Rahman Abir,5,5,0.0,5.0,6.0,5.0,5.0,0.296,"{'broker': 2, 'only_out': 3}","{'moderate': 3, 'weak': 1, 'strong': 1}",1,0,0,22,Aindrila Saha / Abrar Rahman Abir,4,1,0
N. Chuhma / S. Rayport,5,5,0.0,0.0,0.0,1.0,0.0,0.3087,"{'broker': 2, 'isolate': 3}","{'weak': 2, 'weak_unlinked': 3}",2,3,0,44,N. Chuhma / S. Rayport,0,5,0
Marcus Kaiser / Sreedevi Varier,5,2,1.0,2.0,3.0,2.0,2.5,0.5937,"{'broker': 1, 'isolate': 1}","{'moderate': 1, 'weak_unlinked': 1}",0,1,0,198,Marcus Kaiser / Sreedevi Varier,0,5,0
Megumu Takahashi / Masato Koike,4,4,0.5,5.0,5.5,5.0,5.5,0.5972,"{'only_out': 2, 'broker': 2}","{'moderate': 2, 'strong': 1, 'weak_unlinked': 1}",0,1,0,11,Megumu Takahashi / Masato Koike,1,3,0
P. G. Özdil / Pavan Ramdya,4,2,0.0,4.5,4.5,4.5,4.0,0.4176,{'only_out': 2},"{'moderate': 1, 'weak_unlinked': 1}",0,1,0,18,P. G. Özdil / Pavan Ramdya,1,3,0
Jaeseung Jeong / Jerald D. Kralik,4,3,0.0,7.0,8.0,7.0,7.0,0.0069,"{'broker': 1, 'only_out': 2}","{'strong': 1, 'moderate': 2}",0,0,0,21,Jaeseung Jeong / Jerald D. Kralik,3,1,0
M. Vellema / Mariana Diales Rocha,3,3,0.0,1.0,1.0,1.0,1.0,0.0348,"{'isolate': 1, 'only_out': 2}",{'weak_unlinked': 3},0,3,0,13,M. Vellema / Mariana Diales Rocha,0,3,0
Makoto Someya / H. Kazama,3,2,0.0,5.0,5.0,5.0,5.0,0.54,{'only_out': 2},{'moderate': 2},0,0,0,16,Makoto Someya / H. Kazama,2,0,1
Nobuhiko Ohno / Mitsuhiko Katoh,3,2,1.5,4.0,5.5,3.75,4.0,0.8377,{'broker': 2},{'moderate': 2},0,0,0,19,Nobuhiko Ohno / Mitsuhiko Katoh,0,3,0
K. Shen / D. Fair,3,2,0.5,0.0,0.5,0.0,0.5,0.6172,"{'only_in': 1, 'isolate': 1}","{'weak': 1, 'weak_unlinked': 1}",1,1,0,20,K. Shen / D. Fair,0,2,1
Dongming Cai / Logan A. Walker,3,1,7.0,6.0,13.0,0.857,11.0,0.8962,{'broker': 1},{'strong': 1},0,0,0,27,Dongming Cai / Logan A. Walker,0,1,2
D. Ville / M. Preti,3,2,3.0,3.0,6.0,1.333,3.0,0.728,"{'broker': 1, 'only_out': 1}","{'strong': 1, 'weak_unlinked': 1}",0,1,0,42,D. Ville / M. Preti,1,2,0
Jacob J. Morra / M. Daley,3,1,2.0,0.0,2.0,0.0,2.0,0.8256,{'only_in': 1},{'weak': 1},1,0,0,57,Jacob J. Morra / M. Daley,0,2,1
Sofia Grade / Judith Thomas,2,2,0.0,1.0,1.0,1.0,1.0,0.3654,{'only_out': 2},{'weak_unlinked': 2},0,2,0,14,Sofia Grade / Judith Thomas,0,2,0
Alice Geminiani / A. Antonietti,2,1,1.0,4.0,5.0,4.0,2.0,0.8811,{'broker': 1},{'moderate': 1},0,0,0,23,Alice Geminiani / A. Antonietti,0,1,1
L. Pastor / S. Galindo,2,1,1.0,7.0,8.0,7.0,4.0,0.8816,{'broker': 1},{'moderate': 1},0,0,0,24,L. Pastor / S. Galindo,0,1,1
M. Heß / G. Wanner,2,2,0.0,4.5,4.5,4.5,4.0,0.195,{'only_out': 2},"{'moderate': 1, 'weak_unlinked': 1}",0,1,0,25,M. Heß / G. Wanner,2,0,0
Bradley H. Theilman / Fred Rothganger,2,1,0.0,1.0,1.0,1.0,1.0,0.0592,{'only_out': 1},{'weak_unlinked': 1},0,1,0,26,Bradley H. Theilman / Fred Rothganger,1,0,1
Alexei Verkhratsky / F. Zeidán-Chuliá,2,2,0.0,0.0,0.0,,0.0,0.2264,{'isolate': 2},{'weak_unlinked': 2},0,2,0,28,Alexei Verkhratsky / F. Zeidán-Chuliá,0,1,1
Enrico Lanza / G. Ruocco,2,2,1.5,0.0,1.5,0.0,1.5,0.6196,"{'only_in': 1, 'isolate': 1}","{'moderate': 1, 'weak_unlinked': 1}",0,1,0,29,Enrico Lanza / G. Ruocco,1,1,0
N. Brunel / Heather K Titley,2,2,0.5,4.0,4.5,4.0,4.5,0.4965,"{'only_out': 1, 'only_in': 1}","{'moderate': 1, 'weak': 1}",1,0,0,30,N. Brunel / Heather K Titley,0,2,0
D. Parker / R. Verma,2,0,,,,,,,{},{},0,0,0,31,D. Parker / R. Verma,0,1,1
S. Bookheimer / M. Díaz-Santos,2,0,,,,,,,{},{},0,0,0,32,S. Bookheimer / M. Díaz-Santos,0,0,2
Eichi Takaya / Yusuke Takeichi,2,1,0.0,2.0,2.0,2.0,2.0,0.1566,{'only_out': 1},{'weak_unlinked': 1},0,1,0,33,Eichi Takaya / Yusuke Takeichi,1,0,1
Nimish Kumar / Rohan Gupta,2,1,0.0,7.0,7.0,7.0,2.0,0.1877,{'only_out': 1},{'moderate': 1},0,0,0,34,Nimish Kumar / Rohan Gupta,0,2,0
Gábor S. Szilágyi / Zsolt Vassy,2,2,5.0,17.0,22.0,11.15,9.5,0.6363,"{'only_out': 1, 'broker': 1}",{'strong': 2},0,0,0,35,Gábor S. Szilágyi / Zsolt Vassy,2,0,0
D. Guidolin / M. Marcoli,2,1,0.0,1.0,1.0,1.0,1.0,0.4696,{'only_out': 1},{'weak_unlinked': 1},0,1,0,36,D. Guidolin / M. Marcoli,0,2,0
D. Zeidler / Lucy Ngo,2,2,6.5,8.0,14.5,1.231,5.5,0.6933,"{'isolate': 1, 'broker': 1}","{'weak_unlinked': 1, 'strong': 1}",0,1,0,37,D. Zeidler / Lucy Ngo,1,1,0
Elizabeth M. DiLoreto / Christopher Chute,2,2,1.0,5.5,6.5,5.0,4.5,0.6058,"{'broker': 1, 'only_out': 1}",{'moderate': 2},0,0,0,38,Elizabeth M. DiLoreto / Christopher Chute,0,2,0
Karl Friedrichsen / Jen-Chun Hsiang,2,1,0.0,0.0,0.0,,0.0,0.1688,{'isolate': 1},{'weak_unlinked': 1},0,1,0,39,Karl Friedrichsen / Jen-Chun Hsiang,2,0,0
Omar A. Hafez / Benjamin Escribano,2,2,0.0,2.5,2.5,2.5,2.5,0.1868,{'only_out': 2},"{'weak_unlinked': 1, 'moderate': 1}",0,1,0,40,Omar A. Hafez / Benjamin Escribano,1,1,0
Enrico Corradini / Federica Parlapiano,2,1,0.0,3.0,3.0,3.0,3.0,0.2899,{'only_out': 1},{'moderate': 1},0,0,0,41,Enrico Corradini / Federica Parlapiano,2,0,0
Franco Pestilli / P. Rossini,2,1,0.0,7.0,7.0,7.0,5.0,0.081,{'only_out': 1},{'moderate': 1},0,0,0,43,Franco Pestilli / P. Rossini,0,2,0
R. Borisyuk / D. Conte,2,2,1.0,0.5,1.5,0.5,1.5,0.6318,"{'only_in': 1, 'only_out': 1}","{'weak': 1, 'weak_unlinked': 1}",1,1,0,45,R. Borisyuk / D. Conte,0,2,0
Alessio Franci / G. Drion,2,2,0.5,1.0,1.5,1.0,1.0,0.6995,"{'only_out': 1, 'only_in': 1}","{'weak_unlinked': 1, 'weak': 1}",1,1,0,46,Alessio Franci / G. Drion,0,2,0
K. Siju / Ilona C. Grunwald Kadow,2,2,0.5,6.0,6.5,6.0,4.5,0.4295,"{'only_out': 1, 'broker': 1}","{'weak_unlinked': 1, 'strong': 1}",0,1,0,47,K. Siju / Ilona C. Grunwald Kadow,1,1,0
Anand Pathak / Shakti N. Menon,2,1,0.0,2.0,2.0,2.0,2.0,0.6666,{'only_out': 1},{'weak_unlinked': 1},0,1,0,48,Anand Pathak / Shakti N. Menon,0,2,0
Habib Benali / El-kaioum M. Moutuou,2,2,0.5,14.5,15.0,14.5,10.0,0.4193,"{'only_out': 1, 'broker': 1}",{'strong': 2},0,0,0,49,Habib Benali / El-kaioum M. Moutuou,1,1,0
Frank Werblin / John E. Dowling,2,1,0.0,1.0,1.0,1.0,1.0,0.1226,{'only_out': 1},{'weak_unlinked': 1},0,1,0,50,Frank Werblin / John E. Dowling,0,1,1
S. L. Goodman / Jeffrey W Percival,2,2,0.5,0.5,1.0,0.5,1.0,0.605,"{'only_in': 1, 'only_out': 1}","{'weak': 1, 'weak_unlinked': 1}",1,1,0,51,S. L. Goodman / Jeffrey W Percival,0,2,0
O. Güntürkün / Roland Pusch,2,0,,,,,,,{},{},0,0,0,52,O. Güntürkün / Roland Pusch,0,2,0
Kristyn M. Lizbinski / James M. Jeanne,2,2,7.5,11.0,18.5,1.667,6.5,0.599,"{'broker': 1, 'only_out': 1}","{'strong': 1, 'weak_unlinked': 1}",0,1,0,53,Kristyn M. Lizbinski / James M. Jeanne,2,0,0
Arshad M. Khan / Christina E. D’Arcy,2,0,,,,,,,{},{},0,0,0,54,Arshad M. Khan / Christina E. D’Arcy,0,1,1
C. Eroglu / W. C. Risher,2,2,1.0,0.0,1.0,0.0,1.0,0.7507,{'only_in': 2},{'weak': 2},2,0,0,55,C. Eroglu / W. C. Risher,0,2,0
Florian Unger / Jonathan Krebs,2,2,0.0,2.5,2.5,2.5,2.5,0.6175,{'only_out': 2},"{'moderate': 1, 'weak_unlinked': 1}",0,1,0,56,Florian Unger / Jonathan Krebs,1,1,0
S. Flavell / A. Gordus,2,2,1.0,8.5,9.5,8.5,8.5,0.7102,{'broker': 2},"{'moderate': 1, 'strong': 1}",0,0,0,58,S. Flavell / A. Gordus,1,1,0
Snehil Dey / A. Bhattacharjee,2,1,1.0,1.0,2.0,1.0,2.0,0.6812,{'broker': 1},{'weak': 1},1,0,0,60,Snehil Dey / A. Bhattacharjee,1,1,0
E. Marder / Cori Bargmann,2,2,27.5,1.0,28.5,0.025,10.5,0.9829,"{'broker': 1, 'only_in': 1}",{'strong': 2},0,0,0,82,E. Marder / Cori Bargmann,0,2,0
Jacob L. Yates / B. Scholl,2,2,0.0,1.0,1.0,1.0,1.0,0.3866,{'only_out': 2},{'weak_unlinked': 2},0,2,0,84,Jacob L. Yates / B. Scholl,0,2,0
Nalin Dhiman / Siddharth Panwar,2,0,,,,,,,{},{},0,0,0,112,Nalin Dhiman / Siddharth Panwar,1,1,0
M. Piochowiak / Carsten Dachsbacher,2,0,,,,,,,{},{},0,0,0,119,M. Piochowiak / Carsten Dachsbacher,1,0,1
J. Karbowski / F. Rakowski,2,2,4.0,4.5,8.5,2.312,5.5,0.6375,"{'only_out': 1, 'broker': 1}","{'moderate': 1, 'strong': 1}",0,0,0,174,J. Karbowski / F. Rakowski,1,1,0
W. Nowinski,2,2,0.0,2.0,2.0,2.0,2.0,0.5694,{'only_out': 2},"{'weak_unlinked': 1, 'moderate': 1}",0,1,0,244,W. Nowinski,0,2,0
unassigned,1,1,0.0,0.0,0.0,,0.0,0.5843,{'isolate': 1},{'weak_unlinked': 1},0,1,0,-1,unassigned,0,1,0
Eglė Audronytė / G. Kaubrys,1,0,,,,,,,{},{},0,0,0,61,Eglė Audronytė / G. Kaubrys,0,0,1
V. Bitra / Deepthi Rapaka,1,0,,,,,,,{},{},0,0,0,62,V. Bitra / Deepthi Rapaka,0,1,0
S. Fortunato / Darko Hric,1,0,,,,,,,{},{},0,0,0,63,S. Fortunato / Darko Hric,0,0,1
Afshin Khadangi / V. Rajagopal,1,0,,,,,,,{},{},0,0,0,64,Afshin Khadangi / V. Rajagopal,0,1,0
L. Silvestri / F. Pavone,1,0,,,,,,,{},{},0,0,0,65,L. Silvestri / F. Pavone,0,1,0
R. Badhwar / Ganesh Bagler,1,1,0.0,2.0,2.0,2.0,2.0,0.3815,{'only_out': 1},{'weak_unlinked': 1},0,1,0,66,R. Badhwar / Ganesh Bagler,1,0,0
Mitchell J. Vaughn / J. Haas,1,1,0.0,2.0,2.0,2.0,2.0,0.3947,{'only_out': 1},{'weak_unlinked': 1},0,1,0,67,Mitchell J. Vaughn / J. Haas,0,1,0
L. Dipietro / Timothy Wagner,1,1,0.0,3.0,3.0,3.0,3.0,0.2578,{'only_out': 1},{'moderate': 1},0,0,0,68,L. Dipietro / Timothy Wagner,0,1,0
William Dorrell / Peter E. Latham,1,0,,,,,,,{},{},0,0,0,69,William Dorrell / Peter E. Latham,0,1,0
Fábio Lobato / Roberto Santana,1,1,0.0,5.0,5.0,5.0,5.0,0.6581,{'only_out': 1},{'moderate': 1},0,0,0,70,Fábio Lobato / Roberto Santana,0,1,0
Matthew Amandola / Kurt Schilling,1,0,,,,,,,{},{},0,0,0,71,Matthew Amandola / Kurt Schilling,0,1,0
Leehod Baruch / E. Segal,1,1,3.0,0.0,3.0,0.0,3.0,0.8657,{'only_in': 1},{'moderate': 1},0,0,0,72,Leehod Baruch / E. Segal,0,1,0
Dongmei Shi / H. Noori,1,1,1.0,10.0,11.0,10.0,6.0,0.6886,{'broker': 1},{'strong': 1},0,0,0,73,Dongmei Shi / H. Noori,0,1,0
Ben Williamson / Dimitra Kotouza,1,0,,,,,,,{},{},0,0,0,74,Ben Williamson / Dimitra Kotouza,0,0,1
Gerard Marx / Chaim Gilon,1,1,0.0,7.0,7.0,7.0,5.0,0.1956,{'only_out': 1},{'moderate': 1},0,0,0,75,Gerard Marx / Chaim Gilon,0,1,0
S. Agarwala / Franklin Kenter,1,0,,,,,,,{},{},0,0,0,76,S. Agarwala / Franklin Kenter,1,0,0
T. Harkany / A. Alpár,1,1,0.0,1.0,1.0,1.0,1.0,0.1295,{'only_out': 1},{'weak_unlinked': 1},0,1,0,77,T. Harkany / A. Alpár,0,1,0
Yasser Alemán-Gómez / P. Hagmann,1,0,,,,,,,{},{},0,0,0,78,Yasser Alemán-Gómez / P. Hagmann,0,0,1
J. van Pelt / H. Uylings,1,1,0.0,2.0,2.0,2.0,2.0,0.0879,{'only_out': 1},{'weak_unlinked': 1},0,1,0,79,J. van Pelt / H. Uylings,0,1,0
Kazuma Sakamoto / T. Tsuji,1,1,3.0,1.0,4.0,0.333,3.0,0.8208,{'broker': 1},{'moderate': 1},0,0,0,80,Kazuma Sakamoto / T. Tsuji,1,0,0
Harold K. Shearin / R. Stowers,1,1,6.0,1.0,7.0,0.167,6.0,0.8874,{'broker': 1},{'moderate': 1},0,0,0,81,Harold K. Shearin / R. Stowers,0,1,0
Sanga Mitra / Manikandan Narayanan,1,1,0.0,1.0,1.0,1.0,1.0,0.116,{'only_out': 1},{'weak_unlinked': 1},0,1,0,83,Sanga Mitra / Manikandan Narayanan,0,1,0
Giulio Valperga / M. de Bono,1,1,0.0,1.0,1.0,1.0,1.0,0.5169,{'only_out': 1},{'weak_unlinked': 1},0,1,0,85,Giulio Valperga / M. de Bono,0,1,0
K. E. Linker / F. M. Leslie,1,1,1.0,0.0,1.0,0.0,1.0,0.7088,{'only_in': 1},{'weak': 1},1,0,0,86,K. E. Linker / F. M. Leslie,0,1,0
Madison T. Gray / Julie L. Lefebvre,1,1,0.0,2.0,2.0,2.0,2.0,0.3201,{'only_out': 1},{'weak_unlinked': 1},0,1,0,87,Madison T. Gray / Julie L. Lefebvre,0,1,0
Edward Laurence / Vincent Thibeault,1,0,,,,,,,{},{},0,0,0,88,Edward Laurence / Vincent Thibeault,0,1,0
S. Latifi / S. Carmichael,1,1,0.0,5.0,5.0,5.0,4.0,0.6629,{'only_out': 1},{'moderate': 1},0,0,0,89,S. Latifi / S. Carmichael,0,0,1
J. Arle / Kristen W. Carlson,1,1,0.0,4.0,4.0,4.0,4.0,0.6103,{'only_out': 1},{'moderate': 1},0,0,0,90,J. Arle / Kristen W. Carlson,0,1,0
Jean-René Martin / I. Salecker,1,1,0.0,0.0,0.0,,0.0,0.5354,{'isolate': 1},{'weak_unlinked': 1},0,1,0,91,Jean-René Martin / I. Salecker,0,0,1
A. Padmore / J. Crofts,1,1,0.0,1.0,1.0,1.0,1.0,0.45,{'only_out': 1},{'weak_unlinked': 1},0,1,0,92,A. Padmore / J. Crofts,0,1,0
Munehiro Hayashi / R. Kanzaki,1,1,0.0,1.0,1.0,1.0,1.0,0.3985,{'only_out': 1},{'weak_unlinked': 1},0,1,0,93,Munehiro Hayashi / R. Kanzaki,1,0,0
Keith M. Smith / J. Escudero,1,0,,,,,,,{},{},0,0,0,94,Keith M. Smith / J. Escudero,0,0,1
J. Reichardt / S. Bornholdt,1,0,,,,,,,{},{},0,0,0,95,J. Reichardt / S. Bornholdt,0,0,1
H. Dodt / K. Becker,1,0,,,,,,,{},{},0,0,0,96,H. Dodt / K. Becker,0,0,1
F. V. Bussel / Marc Timme,1,1,1.0,0.0,1.0,0.0,1.0,0.8051,{'only_in': 1},{'weak': 1},1,0,0,97,F. V. Bussel / Marc Timme,0,1,0
N. Pospelov / A. Gorsky,1,1,1.0,4.0,5.0,4.0,4.0,0.7876,{'broker': 1},{'moderate': 1},0,0,0,98,N. Pospelov / A. Gorsky,0,1,0
A. Stabile / G. Di Sante,1,0,,,,,,,{},{},0,0,0,99,A. Stabile / G. Di Sante,0,0,1
Mahsa Khoshkhou / A. Montakhab,1,1,0.0,2.0,2.0,2.0,1.0,0.0706,{'only_out': 1},{'weak_unlinked': 1},0,1,0,100,Mahsa Khoshkhou / A. Montakhab,0,1,0
M. Domenico / A. Arenas,1,0,,,,,,,{},{},0,0,0,101,M. Domenico / A. Arenas,0,0,1
Linnaea E. Ostroff / Joseph E LeDoux,1,1,1.0,0.0,1.0,0.0,1.0,0.8251,{'only_in': 1},{'weak': 1},1,0,0,102,Linnaea E. Ostroff / Joseph E LeDoux,0,1,0
Arturo Tozzi / L. Mariniello,1,1,0.0,7.0,7.0,7.0,4.0,0.3018,{'only_out': 1},{'moderate': 1},0,0,0,103,Arturo Tozzi / L. Mariniello,0,1,0
Alexis B'enichou / Christian L. Vestergaard,1,1,0.0,4.0,4.0,4.0,4.0,0.6169,{'only_out': 1},{'moderate': 1},0,0,0,104,Alexis B'enichou / Christian L. Vestergaard,1,0,0
Neele Wolterhoff / P. Hiesinger,1,1,0.0,10.0,10.0,10.0,8.0,0.3512,{'only_out': 1},{'strong': 1},0,0,0,105,Neele Wolterhoff / P. Hiesinger,0,1,0
A. Stivala / A. Lomi,1,0,,,,,,,{},{},0,0,0,106,A. Stivala / A. Lomi,0,0,1
Akash Pal / L. Tian,1,1,1.0,0.0,1.0,0.0,1.0,0.7701,{'only_in': 1},{'weak': 1},1,0,0,107,Akash Pal / L. Tian,0,1,0
Leandro González-Montesino / Rubén Armañanzas,1,0,,,,,,,{},{},0,0,0,108,Leandro González-Montesino / Rubén Armañanzas,1,0,0
Valeria d'Andrea / 35131 Padova,1,1,0.0,3.0,3.0,3.0,3.0,0.6055,{'only_out': 1},{'moderate': 1},0,0,0,109,Valeria d'Andrea / 35131 Padova,0,1,0
Meng-Tsen Ke / Takeshi Imai,1,1,0.0,1.0,1.0,1.0,1.0,0.2883,{'only_out': 1},{'weak_unlinked': 1},0,1,0,110,Meng-Tsen Ke / Takeshi Imai,0,1,0
Rajat Saxena / Bruce L. McNaughton,1,1,0.0,1.0,1.0,1.0,1.0,0.064,{'only_out': 1},{'weak_unlinked': 1},0,1,0,111,Rajat Saxena / Bruce L. McNaughton,0,1,0
P. Mulders / I. Tendolkar,1,0,,,,,,,{},{},0,0,0,113,P. Mulders / I. Tendolkar,0,0,1
Ryan Ellison / Scott L. Hooper,1,1,0.0,1.0,1.0,1.0,1.0,0.2041,{'only_out': 1},{'weak_unlinked': 1},0,1,0,114,Ryan Ellison / Scott L. Hooper,0,1,0
Yaroslav Felipe Kalle Kossio / Raoul-Martin Memmesheimer,1,1,1.0,0.0,1.0,0.0,1.0,0.713,{'only_in': 1},{'weak': 1},1,0,0,115,Yaroslav Felipe Kalle Kossio / Raoul-Martin Memmesheimer,0,1,0
Adrián Hernández / J. Amigó,1,1,0.0,9.0,9.0,9.0,6.0,0.5264,{'only_out': 1},{'moderate': 1},0,0,0,116,Adrián Hernández / J. Amigó,0,1,0
Kévin Berlemont / G. Mongillo,1,1,1.0,0.0,1.0,0.0,1.0,0.7656,{'only_in': 1},{'weak': 1},1,0,0,117,Kévin Berlemont / G. Mongillo,0,1,0
M. Ram / A. Narayan,1,1,0.0,1.0,1.0,1.0,1.0,0.4521,{'only_out': 1},{'weak_unlinked': 1},0,1,0,118,M. Ram / A. Narayan,0,1,0
Mary-Anne B. MacKay / S. Dursun,1,1,1.0,4.0,5.0,4.0,2.0,0.8752,{'broker': 1},{'moderate': 1},0,0,0,120,Mary-Anne B. MacKay / S. Dursun,0,0,1
William F Tobin / Matthew C. Weston,1,1,0.0,1.0,1.0,1.0,1.0,0.459,{'only_out': 1},{'weak_unlinked': 1},0,1,0,121,William F Tobin / Matthew C. Weston,0,1,0
J. Staiger / C. Petersen,1,1,0.0,3.0,3.0,3.0,3.0,0.0847,{'only_out': 1},{'moderate': 1},0,0,0,122,J. Staiger / C. Petersen,0,1,0
C. Wozny / Stephen R. Williams,1,1,1.0,0.0,1.0,0.0,1.0,0.7544,{'only_in': 1},{'weak': 1},1,0,0,123,C. Wozny / Stephen R. Williams,0,1,0
Victor Buendía / A. Sanzeni,1,1,0.0,11.0,11.0,11.0,9.0,0.3873,{'only_out': 1},{'strong': 1},0,0,0,124,Victor Buendía / A. Sanzeni,1,0,0
Amin Karbasi / M. Vetterli,1,1,0.0,3.0,3.0,3.0,2.0,0.3077,{'only_out': 1},{'moderate': 1},0,0,0,125,Amin Karbasi / M. Vetterli,0,1,0
Robert B. Levy / A. Reyes,1,1,2.0,0.0,2.0,0.0,2.0,0.832,{'only_in': 1},{'weak': 1},1,0,0,126,Robert B. Levy / A. Reyes,0,1,0
Laura Anton-Sanchez / Hermann Cuntz,1,1,0.0,1.0,1.0,1.0,1.0,0.2572,{'only_out': 1},{'weak_unlinked': 1},0,1,0,127,Laura Anton-Sanchez / Hermann Cuntz,0,1,0
Megan Morrison / Lai-Sang Young,1,1,0.0,7.0,7.0,7.0,5.0,0.442,{'only_out': 1},{'moderate': 1},0,0,0,128,Megan Morrison / Lai-Sang Young,1,0,0
R. L. McIntyre / G. Fahy,1,1,4.0,2.0,6.0,0.5,3.0,0.9188,{'broker': 1},{'moderate': 1},0,0,0,129,R. L. McIntyre / G. Fahy,0,1,0
Andrii Iudin / A. Patwardhan,1,0,,,,,,,{},{},0,0,0,130,Andrii Iudin / A. Patwardhan,0,0,1
Elisabeth C. DeMarco / Estuardo Robles,1,1,1.0,0.0,1.0,0.0,1.0,0.7728,{'only_in': 1},{'weak': 1},1,0,0,131,Elisabeth C. DeMarco / Estuardo Robles,0,1,0
A. Butt / Alexei Verkhatsky,1,1,1.0,0.0,1.0,0.0,1.0,0.8819,{'only_in': 1},{'weak': 1},1,0,0,132,A. Butt / Alexei Verkhatsky,0,1,0
Martin T. Henrich / D. Surmeier,1,1,0.0,1.0,1.0,1.0,1.0,0.524,{'only_out': 1},{'weak_unlinked': 1},0,1,0,133,Martin T. Henrich / D. Surmeier,0,0,1
