rank,work_id,title,year,venue,last_author,citation_count_work,cites_per_year,ultra_core,citation_link_strength,citation_role,corpus_in_degree,corpus_out_degree,citation_total_degree,k_core,pagerank_percentile,primary_community_label,confidence,n_authors,is_consortium
64,work_4785092574ee1f39,As-rigid-as-possible mosaicking and serial section registration of large ssTEM datasets,2010.0,Bioinform.,P. Tomančák,151,8.88,False,strong,only_in,11.0,0.0,11.0,10.0,0.964958853198832,J. Lichtman / Hanspeter Pfister,0.95,4,False
65,work_c295eac10773de92,Ultrastructurally-smooth thick partitioning and volume stitching for larger-scale connectomics,2015.0,Nature Methods,H. Hess,148,12.33,False,strong,broker,46.0,4.0,50.0,11.0,0.9893814706663128,J. Lichtman / Hanspeter Pfister,0.96,9,False
66,work_e967f552dce67b5b,Automated Detection and Segmentation of Synaptic Contacts in Nearly Isotropic Serial Electron Microscopy Images,2011.0,PLoS ONE,F. Hamprecht,148,9.25,False,,no_graph,,,,,,Javier DeFelipe / Michael W. Reimann,0.93,7,False
67,work_d21c268780bf38d6,"Information flow, cell types and stereotypy in a full olfactory connectome",2020.0,bioRxiv,G. Jefferis,139,19.86,False,strong,broker,46.0,24.0,70.0,11.0,0.979824794265994,H. Sebastian Seung / G. Jefferis,0.96,16,False
68,work_6c16ccac03d903e6,Automated synaptic connectivity inference for volume electron microscopy,2017.0,Nature Methods,Joergen Kornfeld,138,13.8,False,strong,broker,24.0,4.0,28.0,11.0,0.9763737722325458,M. Helmstaedter / Winfried Denk,0.97,7,False
69,work_975468f3186a2d44,Large-Scale Automatic Reconstruction of Neuronal Processes from Electron Microscopy Images,2013.0,Medical Image Anal.,H. Pfister,138,9.86,False,,no_graph,,,,,,J. Lichtman / Hanspeter Pfister,0.92,9,False
70,work_c264471fa138e632,Recurrent architecture for adaptive regulation of learning in the insect brain,2020.0,Nature Neuroscience,Marta Zlatic,134,19.14,False,strong,broker,15.0,3.0,18.0,11.0,0.9317759490310592,Albert Cardona / J. Vogelstein,0.95,16,False
71,work_cd1ed09029d2ef12,Synaptic transmission parallels neuromodulation in a central food-intake circuit,2016.0,bioRxiv,M. Pankratz,134,12.18,False,strong,broker,11.0,2.0,13.0,10.0,0.950623838598354,Albert Cardona / J. Vogelstein,0.95,13,False
72,work_be884a73cedf8f72,The neuropeptidergic connectome of C. elegans,2022.0,bioRxiv,W. Schafer,133,26.6,False,strong,broker,32.0,26.0,58.0,11.0,0.9654897796655164,Oliver Hobert / Steven J. Cook,0.95,12,False
74,work_b9427d82f30c52ed,The neuroanatomical ultrastructure and function of a biological ring attractor,2019.0,bioRxiv,V. Jayaraman,132,16.5,False,strong,only_in,13.0,0.0,13.0,9.0,0.9254048314308468,J. Lichtman / Hanspeter Pfister,0.97,9,False
75,work_9fd52e39fdad0d0d,Functional complexity emerging from anatomical constraints in the brain: the significance of network modularity and rich-clubs,2016.0,Scientific Reports,Changsong Zhou,126,11.45,False,,no_graph,,,,,,Olaf Sporns / B. Mišić,0.93,5,False
76,work_63ec5ea7fbf83d9e,Comparisons between the ON- and OFF-edge motion pathways in the Drosophila brain,2019.0,eLife,I. Meinertzhagen,125,15.62,False,strong,broker,7.0,6.0,13.0,10.0,0.8882399787629414,J. Lichtman / Hanspeter Pfister,0.94,22,True
77,work_b9629434b4af47f4,Detection of Neuron Membranes in Electron Microscopy Images using a Serial Neural Network Architecture,2010.0,Medical Image Anal.,T. Tasdizen,114,6.71,False,strong,broker,15.0,3.0,18.0,6.0,0.9877886912662596,James R. Anderson / Bryan William Jones,0.93,9,False
78,work_e658e86f777c36d3,Connectome-constrained networks predict neural activity across the fly visual system,2024.0,Nature,Srinivas C. Turaga,113,37.67,False,strong,broker,17.0,3.0,20.0,10.0,0.925670294664189,M. Helmstaedter / Winfried Denk,0.94,10,False
79,work_f4eab2ff424ba24f,Search for computational modules in the C. elegans brain,2004.0,BMC Biology,D. Chklovskii,110,4.78,False,,no_graph,,,,,,Oliver Hobert / Steven J. Cook,0.93,3,False
80,work_ddf7c8ffd5f4396b,Neuronal connectome of a sensory-motor circuit for visual navigation,2014.0,eLife,G. Jékely,106,8.15,False,strong,broker,31.0,2.0,33.0,11.0,0.9888505441996284,Albert Cardona / J. Vogelstein,0.95,8,False
81,work_d9d49941f0fd1f60,Synaptic Cleft Segmentation in Non-Isotropic Volume Electron Microscopy of the Complete Drosophila Brain,2018.0,International Conference on Medical Image Computing and Computer-Assisted Intervention,S. Saalfeld,104,11.56,False,strong,broker,15.0,9.0,24.0,11.0,0.9543403238651448,J. Lichtman / Hanspeter Pfister,0.94,5,False
82,work_c4b37b7d968ecae8,The AII amacrine cell connectome: a dense network hub,2014.0,Front. Neural Circuits,J. S. Lauritzen,101,7.77,False,moderate,broker,4.0,2.0,6.0,5.0,0.8497478099283249,James R. Anderson / Bryan William Jones,0.96,5,False
83,work_6db95f64553b035d,Automated synapse-level reconstruction of neural circuits in the larval zebrafish brain,2022.0,Nature Methods,H. Baier,95,19.0,False,strong,broker,17.0,18.0,35.0,11.0,0.9376161401645872,M. Helmstaedter / Winfried Denk,0.97,11,False
84,work_fc7814746d37de43,A multiscale brain map derived from whole-brain volumetric reconstructions,2021.0,Nature,N. Cohen,93,15.5,False,strong,broker,38.0,12.0,50.0,11.0,0.976639235465888,Oliver Hobert / Steven J. Cook,0.96,5,False
85,work_394d3760042a2c10,A multilayer circuit architecture for the generation of distinct locomotor behaviors in Drosophila,2019.0,eLife,C. Doe,93,11.62,False,strong,broker,8.0,3.0,11.0,8.0,0.9190337138306344,Albert Cardona / J. Vogelstein,0.96,5,False
86,work_a1904fa7e0f72eb3,Whitening of odor representations by the wiring diagram of the olfactory bulb,2020.0,Nature Neuroscience,R. Friedrich,92,13.14,False,strong,broker,30.0,3.0,33.0,11.0,0.9689408016989648,M. Helmstaedter / Winfried Denk,0.96,2,False
87,work_caed8e9015be8439,Conserved neural circuit structure across Drosophila larval development revealed by comparative connectomics,2017.0,bioRxiv,C. Schneider-Mizell,90,9.0,False,strong,broker,31.0,6.0,37.0,11.0,0.97690469869923,H. Sebastian Seung / G. Jefferis,0.94,5,False
88,work_86c1f0dec2fe2b88,"Connectomics Analysis Reveals First-, Second-, and Third-Order Thermosensory and Hygrosensory Neurons in the Adult Drosophila Brain",2020.0,bioRxiv,G. Jefferis,89,12.71,False,strong,broker,20.0,7.0,27.0,11.0,0.9734536766657818,H. Sebastian Seung / G. Jefferis,0.97,16,False
89,work_facd830890c864ef,TeraVR empowers precise reconstruction of complete 3-D neuronal morphology in the whole brain,2019.0,Nature Communications,Hanchuan Peng,89,11.12,False,,no_graph,,,,,,Xiaoyin Chen / Yonggang Wang,0.94,16,False
90,work_7f2045fbc2f9c317,Segmentation fusion for connectomics,2011.0,Vision,H. Pfister,89,5.56,False,moderate,only_in,5.0,0.0,5.0,5.0,0.9800902574993364,J. Lichtman / Hanspeter Pfister,0.96,6,False
91,work_542d289b1df8abc6,A Connectome of the Male Drosophila Ventral Nerve Cord,2023.0,bioRxiv,S. Berg,88,22.0,False,strong,broker,36.0,12.0,48.0,11.0,0.9644279267321476,J. Lichtman / Hanspeter Pfister,0.97,84,True
92,work_fbbefa269e5d69ec,EM connectomics reveals axonal target variation in a sequence-generating network,2017.0,eLife,M. A. Long,86,8.6,False,strong,broker,20.0,8.0,28.0,11.0,0.9806211839660208,M. Helmstaedter / Winfried Denk,0.95,8,False
93,work_4115864d71311555,Radon-Like features and their application to connectomics,2010.0,2010 IEEE Computer Society Conference on Computer Vision and Pattern Recognition - Workshops,H. Pfister,85,5.0,False,,no_graph,,,,,,James R. Anderson / Bryan William Jones,0.9,3,False
94,work_a4d54fcd6dd11d2c,NeuroMorph: A Toolset for the Morphometric Analysis and Visualization of 3D Models Derived from Electron Microscopy Image Stacks,2014.0,Neuroinformatics,G. Knott,84,6.46,False,,no_graph,,,,,,Javier DeFelipe / Michael W. Reimann,0.9,6,False
95,work_d83cba345d7415bb,Functional connectomics reveals general wiring rule in mouse visual cortex,2025.0,Nature,A. Tolias,81,40.5,False,strong,broker,8.0,8.0,16.0,9.0,0.8590390230953013,H. Sebastian Seung / G. Jefferis,0.96,56,True
96,work_13df857c596640ee,A functionally ordered visual feature map in the Drosophila brain.,2022.0,Neuron,G. Card,81,16.2,False,,no_graph,,,,,,J. Lichtman / Hanspeter Pfister,0.94,6,False
97,work_71a75ab0de08abf0,A genetically specified connectomics approach applied to long-range feeding regulatory circuits,2014.0,Nature Neuroscience,S. Sternson,81,6.23,False,strong,broker,11.0,5.0,16.0,8.0,0.9535439341651182,Xiaoyin Chen / Yonggang Wang,0.97,9,False
98,work_4d35d34b923b60d1,"Hub connectivity, neuronal diversity, and gene expression in the Caenorhabditis elegans connectome",2018.0,PLoS Comput. Biol.,A. Fornito,80,8.89,False,strong,broker,28.0,20.0,48.0,9.0,0.9745155295991506,Olaf Sporns / B. Mišić,0.96,4,False
99,work_94ff9e171c976c2c,Synaptic and peptidergic connectome of a neurosecretory center in the annelid brain,2017.0,eLife,G. Jékely,80,8.0,False,strong,broker,18.0,10.0,28.0,11.0,0.9511547650650384,Albert Cardona / J. Vogelstein,0.96,8,False
100,work_c52eb93ad06102ec,ConnectomeExplorer: Query-Guided Visual Analysis of Large Volumetric Neuroscience Data,2013.0,IEEE Transactions on Visualization and Computer Graphics,Markus Hadwiger,80,5.71,False,strong,broker,16.0,2.0,18.0,9.0,0.9755773825325192,J. Lichtman / Hanspeter Pfister,0.95,6,False
101,work_a76161ef8ea1dd6b,Scalable and Interactive Segmentation and Visualization of Neural Processes in EM Datasets,2009.0,IEEE Transactions on Visualization and Computer Graphics,R. Whitaker,79,4.39,False,,no_graph,,,,,,J. Lichtman / Hanspeter Pfister,0.92,6,False
102,work_5a5bf6e6db192920,A consensus cell type atlas from multiple connectomes reveals principles of circuit stereotypy and variation,2023.0,bioRxiv,G. Jefferis,78,19.5,False,strong,broker,13.0,14.0,27.0,11.0,0.918237324130608,H. Sebastian Seung / G. Jefferis,0.95,33,True
103,work_4d88921e492f9434,neuPrint: An open access tool for EM connectomics,2022.0,Frontiers in Neuroinformatics,S. Berg,78,15.6,False,strong,broker,31.0,13.0,44.0,11.0,0.965224316432174,J. Lichtman / Hanspeter Pfister,0.96,7,False
104,work_406c25e780e295c9,Reconstruction of genetically identified neurons imaged by serial-section electron microscopy,2016.0,eLife,J. Sanes,78,7.09,False,strong,broker,7.0,3.0,10.0,8.0,0.8879745155295992,Xiaoyin Chen / Yonggang Wang,0.95,10,False
105,work_45cef90e755de84c,Functional allocation of synaptic contacts in microcircuits from rods via rod bipolar to AII amacrine cells in the mouse retina,2013.0,The Journal of comparative neurology,N. Omi,78,5.57,False,moderate,only_in,3.0,0.0,3.0,3.0,0.8473586408282453,M. Helmstaedter / Winfried Denk,0.93,2,False
106,work_57c24704856cf86c,Topological Cluster Analysis Reveals the Systemic Organization of the Caenorhabditis elegans Connectome,2011.0,PLoS Comput. Biol.,Jaeseung Jeong,78,4.88,False,strong,broker,18.0,4.0,22.0,7.0,0.9686753384656224,Jaeseung Jeong / Jerald D. Kralik,0.93,5,False
107,work_36602f0170e09b02,A Drosophila computational brain model reveals sensorimotor processing,2024.0,Nature,Kristin Scott,76,25.33,False,strong,broker,8.0,8.0,16.0,9.0,0.8999203610299974,H. Sebastian Seung / G. Jefferis,0.96,27,True
108,work_f957eea0477c4e04,Connectomic reconstruction of a female Drosophila ventral nerve cord,2024.0,Nature,John C. Tuthill,76,25.33,False,strong,broker,29.0,17.0,46.0,11.0,0.95619856649854,H. Sebastian Seung / G. Jefferis,0.97,35,True
109,work_fc2482a7f46c841c,Semi-Supervised Neuron Segmentation via Reinforced Consistency Learning,2022.0,IEEE Transactions on Medical Imaging,Feng Wu,75,15.0,False,,no_graph,,,,,,Xiaoyin Chen / Yonggang Wang,0.94,7,False
110,work_27e18aa6bae94e96,Postnatal connectomic development of inhibition in mouse barrel cortex,2020.0,Science,M. Helmstaedter,75,10.71,False,strong,broker,13.0,1.0,14.0,8.0,0.9681444119989382,M. Helmstaedter / Winfried Denk,0.97,7,False
111,work_92a573e17ee62f83,Ssecrett and NeuroTrace: Interactive Visualization and Analysis Tools for Large-Scale Neuroscience Data Sets,2010.0,IEEE Computer Graphics and Applications,H. Pfister,74,4.35,False,,no_graph,,,,,,J. Lichtman / Hanspeter Pfister,0.86,8,False
112,work_0da43b963c6e7486,neuPrint: Analysis Tools for EM Connectomics,2020.0,bioRxiv,Stephen M. Plaza,73,10.43,False,strong,broker,25.0,8.0,33.0,11.0,0.975311919299177,J. Lichtman / Hanspeter Pfister,0.95,7,False
113,work_4763c86ef9823a58,Structured sampling of olfactory input by the fly mushroom body,2020.0,bioRxiv,D. Bock,71,10.14,False,strong,broker,18.0,21.0,39.0,11.0,0.9747809928324928,H. Sebastian Seung / G. Jefferis,0.94,15,False
114,work_bc2a2e1a0560d061,Automated Transmission-Mode Scanning Electron Microscopy (tSEM) for Large Volume Analysis at Nanoscale Resolution,2013.0,PLoS ONE,K. Harris,71,5.07,False,moderate,broker,4.0,2.0,6.0,5.0,0.8651446774621715,Albert Cardona / J. Vogelstein,0.95,4,False
115,work_e38ae195f332be66,Mapping of Neuronal and Glial Primary Cilia Contactome and Connectome in the Human Cerebral Cortex,2023.0,Neuron,E. S. Anton,70,17.5,False,weak,only_in,2.0,0.0,2.0,2.0,0.8011680382267056,J. Lichtman / Hanspeter Pfister,0.95,22,True
116,work_7c3d9ac93c390d36,The Viking viewer for connectomics: scalable multi-user annotation and summarization of large volume data sets,2011.0,Journal of Microscopy,R. E. Marc,70,4.38,False,strong,only_in,12.0,0.0,12.0,6.0,0.9856649853995222,James R. Anderson / Bryan William Jones,0.96,9,False
117,work_1f2d549356fe466e,Systematic annotation of a complete adult male Drosophila nerve cord connectome reveals principles of functional organisation,2024.0,bioRxiv,G. Jefferis,68,22.67,False,strong,only_in,16.0,0.0,16.0,10.0,0.934430581364481,H. Sebastian Seung / G. Jefferis,0.97,22,True
118,work_7b173df5e3f0b797,Computational inference of the molecular logic for synaptic connectivity in C. elegans,2006.0,Intelligent Systems in Molecular Biology,D. Anastassiou,68,3.24,False,moderate,only_in,3.0,0.0,3.0,3.0,0.8624900451287497,Oliver Hobert / Steven J. Cook,0.92,3,False
119,work_dd76efe78afe7f10,Flow-Based Network Analysis of the Caenorhabditis elegans Connectome,2015.0,PLoS Comput. Biol.,Mauricio Barahona,67,5.58,False,strong,broker,6.0,6.0,12.0,5.0,0.9179718608972656,Xiaoyin Chen / Yonggang Wang,0.9,5,False
120,work_b5c2e87af273e9a7,Multi-stage Multi-recursive-input Fully Convolutional Networks for Neuronal Boundary Detection,2017.0,IEEE International Conference on Computer Vision,A. Yuille,66,6.6,False,moderate,broker,4.0,3.0,7.0,6.0,0.8707194053623574,Xiaoyin Chen / Yonggang Wang,0.94,5,False
121,work_9fcf57e381b11acb,Automated Detection of Synapses in Serial Section Transmission Electron Microscopy Image Stacks,2014.0,PLoS ONE,F. Hamprecht,65,5.0,False,,no_graph,,,,,,Javier DeFelipe / Michael W. Reimann,0.96,5,False
122,work_8836d9b46d1f1126,Synaptic connectome of the Drosophila circadian clock,2024.0,bioRxiv,Meet Zandawala,64,21.33,False,strong,broker,2.0,9.0,11.0,7.0,0.7547119723918237,H. Sebastian Seung / G. Jefferis,0.97,11,False
123,work_7f1202eef0e8289e,"SynEM, automated synapse detection for connectomics",2017.0,eLife,M. Helmstaedter,64,6.4,False,,no_graph,,,,,,M. Helmstaedter / Winfried Denk,0.98,6,False
124,work_78203103685e9d4e,Automatic discovery of cell types and microcircuitry from neural connectomics,2014.0,eLife,Konrad Paul Kording,63,4.85,False,moderate,only_in,6.0,0.0,6.0,6.0,0.9705335810990178,Albert Cardona / J. Vogelstein,0.96,2,False
125,work_9d8ce18df11df9cc,Light-microscopy-based connectomic reconstruction of mammalian brain tissue,2025.0,Nature,Johann G. Danzl,62,31.0,False,strong,broker,18.0,13.0,31.0,11.0,0.96230422086541,Javier DeFelipe / Michael W. Reimann,0.97,13,False
126,work_0fec0014dc0379d0,Inhibitory specificity from a connectomic census of mouse visual cortex,2025.0,Nature,N. D. da Costa,61,30.5,False,strong,broker,19.0,20.0,39.0,11.0,0.9378816033979294,H. Sebastian Seung / G. Jefferis,0.97,41,True
127,work_fd78e90e878648d1,The effects of aging on neuropil structure in mouse somatosensory cortex—A 3D electron microscopy analysis of layer 1,2018.0,PLoS ONE,G. Knott,61,6.78,False,moderate,broker,5.0,2.0,7.0,5.0,0.9564640297318822,Javier DeFelipe / Michael W. Reimann,0.93,11,False
128,work_fc5029f7b2497692,Gene Expression of Caenorhabditis elegans Neurons Carries Information on Their Synaptic Connectivity,2006.0,PLoS Comput. Biol.,E. Ruppin,61,2.9,False,moderate,only_in,6.0,0.0,6.0,5.0,0.9264666843642156,J. Lichtman / Hanspeter Pfister,0.91,4,False
129,work_b395677d1fbdcaee,Cell-type specific innervation of cortical pyramidal cells at their apical dendrites,2020.0,eLife,M. Helmstaedter,60,8.57,False,moderate,broker,6.0,2.0,8.0,8.0,0.91850278736395,M. Helmstaedter / Winfried Denk,0.93,5,False
130,work_b5ff748c577ee45c,Design and Evaluation of Interactive Proofreading Tools for Connectomics,2014.0,IEEE Transactions on Visualization and Computer Graphics,H. Pfister,60,4.62,False,strong,broker,17.0,4.0,21.0,11.0,0.9811521104327052,J. Lichtman / Hanspeter Pfister,0.96,7,False
131,work_1d4b6e5375da0fe3,Synaptic wiring motifs in posterior parietal cortex support decision-making,2022.0,bioRxiv,W. Lee,59,11.8,False,strong,broker,5.0,7.0,12.0,11.0,0.870188478895673,M. Helmstaedter / Winfried Denk,0.95,11,False
132,work_15832f977411772d,Structure and function of axo-axonic inhibition,2021.0,eLife,N. D. da Costa,59,9.83,False,strong,broker,13.0,17.0,30.0,11.0,0.9296522431643216,H. Sebastian Seung / G. Jefferis,0.96,40,True
133,work_ac9f66d6d45899c4,Recursive Training of 2D-3D Convolutional Networks for Neuronal Boundary Detection,2015.0,Neural Information Processing Systems,H. Seung,59,4.92,False,strong,broker,6.0,4.0,10.0,7.0,0.9100079638970002,H. Sebastian Seung / G. Jefferis,0.95,4,False
134,work_dc3bb8105fafef02,Connectomic analysis of the Drosophila lateral neuron clock cells reveals the synaptic basis of functional pacemaker classes,2022.0,bioRxiv,María Paz Fernández,58,11.6,False,strong,broker,6.0,4.0,10.0,6.0,0.8924873904964162,Xiaoyin Chen / Yonggang Wang,0.92,8,False
135,work_af967f4e3e759889,Origins of direction selectivity in the primate retina,2021.0,Nature Communications,D. Dacey,58,9.67,False,moderate,broker,3.0,1.0,4.0,4.0,0.7971860897265729,M. Helmstaedter / Winfried Denk,0.95,15,False
136,work_aa243bbb4279b65b,Graph-based active learning of agglomeration (GALA): a Python library to segment 2D and 3D neuroimages,2014.0,Front. Neuroinform.,W. Katz,58,4.46,False,strong,broker,20.0,2.0,22.0,11.0,0.992832492699761,J. Lichtman / Hanspeter Pfister,0.97,5,False
137,work_613efecbf34a6d82,Neuronal circuits integrating visual motion information in Drosophila,2021.0,bioRxiv,Michael B. Reiser,57,9.5,False,moderate,broker,6.0,3.0,9.0,9.0,0.9041677727634724,J. Lichtman / Hanspeter Pfister,0.93,5,False
138,work_2e89582f1e165cd3,Convergence of monosynaptic and polysynaptic sensory paths onto common motor outputs in a Drosophila feeding connectome,2018.0,eLife,M. Pankratz,57,6.33,False,strong,broker,8.0,6.0,14.0,11.0,0.8919564640297318,Albert Cardona / J. Vogelstein,0.95,10,False
139,work_e8008cd9a116e028,A set of hub neurons and non-local connectivity features support global brain dynamics in C. elegans.,2022.0,Current Biology,Manuel Zimmer,56,11.2,False,strong,broker,21.0,25.0,46.0,11.0,0.93310326519777,Oliver Hobert / Steven J. Cook,0.91,3,False
140,work_6068f1e615a91237,A Genetic Model of the Connectome,2019.0,Neuron,A. Barabási,56,7.0,False,strong,broker,20.0,22.0,42.0,11.0,0.9599150517653304,Oliver Hobert / Steven J. Cook,0.87,2,False
141,work_69a812a079debc62,CAVE: Connectome Annotation Versioning Engine,2025.0,Nature Methods,F. Collman,55,27.5,False,strong,broker,6.0,30.0,36.0,11.0,0.8606318024953544,H. Sebastian Seung / G. Jefferis,0.97,42,True
142,work_a03a07a6d277a87e,Convolutional nets for reconstructing neural circuits from brain images acquired by serial section electron microscopy,2019.0,Current Opinion in Neurobiology,H. Seung,55,6.88,False,strong,broker,9.0,20.0,29.0,11.0,0.9163790814972126,H. Sebastian Seung / G. Jefferis,0.96,6,False
143,work_ee4535711d4eeb37,Fully-Automatic Synapse Prediction and Validation on a Large Data Set,2016.0,Front. Neural Circuits,Stephen M. Plaza,55,5.0,False,strong,broker,33.0,7.0,40.0,11.0,0.9790284045659676,J. Lichtman / Hanspeter Pfister,0.94,3,False
144,work_be3603a175b093a4,Petascale neural circuit reconstruction: automated methods,2021.0,bioRxiv,H. Seung,53,8.83,False,strong,broker,18.0,11.0,29.0,11.0,0.947438279798248,H. Sebastian Seung / G. Jefferis,0.97,46,True
145,work_001c0f01391e19c4,Estimation of the number of synapses in the hippocampus and brain-wide by volume electron microscopy and genetic labeling,2020.0,Scientific Reports,Á. Merchán-Pérez,53,7.57,False,,no_graph,,,,,,Javier DeFelipe / Michael W. Reimann,0.93,9,False
146,work_ca8fb7dc725d860f,Synaptic transfer between rod and cone pathways mediated by AII amacrine cells in the mouse retina,2018.0,Current Biology,J. Diamond,53,5.89,False,weak,only_in,2.0,0.0,2.0,2.0,0.718608972657287,M. Helmstaedter / Winfried Denk,0.94,6,False
147,work_9d96b84703d1ad10,Computer Assisted Assembly of Connectomes from Electron Micrographs: Application to Caenorhabditis elegans,2013.0,PLoS ONE,S. W. Emmons,52,3.71,False,weak,only_in,2.0,0.0,2.0,2.0,0.9540748606318024,Oliver Hobert / Steven J. Cook,0.96,6,False
148,work_ad4d87e6341de8b6,An Error Detection and Correction Framework for Connectomics,2017.0,Neural Information Processing Systems,H. Seung,51,5.1,False,strong,broker,23.0,5.0,28.0,11.0,0.962038757632068,H. Sebastian Seung / G. Jefferis,0.95,4,False
149,work_47ccbd8bc04d1dc3,Image Segmentation by Size-Dependent Single Linkage Clustering of a Watershed Basin Graph,2015.0,arXiv.org,H. Seung,51,4.25,False,,no_graph,,,,,,H. Sebastian Seung / G. Jefferis,0.85,2,False
150,work_c608ded31d0a89bd,A Multi-Pass Approach to Large-Scale Connectomics,2016.0,arXiv.org,N. Shavit,49,4.45,False,strong,broker,14.0,6.0,20.0,11.0,0.9575258826652508,J. Lichtman / Hanspeter Pfister,0.96,11,False
151,work_1be607ebbabecd91,A serial multiplex immunogold labeling method for identifying peptidergic neurons in connectomes,2015.0,bioRxiv,G. Jékely,49,4.08,False,strong,broker,12.0,10.0,22.0,11.0,0.9312450225643748,Albert Cardona / J. Vogelstein,0.96,8,False
152,work_3dbce6aa5261fb05,Circuits for integrating learned and innate valences in the insect brain,2021.0,eLife,Marta Zlatic,48,8.0,False,strong,broker,14.0,9.0,23.0,11.0,0.9466418900982214,Albert Cardona / J. Vogelstein,0.96,17,False
153,work_5aef76fa06c704a5,A Pipeline for Volume Electron Microscopy of the Caenorhabditis elegans Nervous System,2018.0,Front. Neural Circuits,Mei Zhen,48,5.33,False,strong,broker,10.0,15.0,25.0,11.0,0.9338996548977968,J. Lichtman / Hanspeter Pfister,0.93,8,False
154,work_9d0a8110aa5c5e21,Exploring the Connectome,2013.0,IEEE Computer Graphics and Applications,H. Pfister,48,3.43,False,moderate,broker,5.0,1.0,6.0,6.0,0.9522166179984072,J. Lichtman / Hanspeter Pfister,0.92,7,False
155,work_9ea9181c0d4620fd,Whole-animal connectome and cell-type complement of the three-segmented Platynereis dumerilii larva,2020.0,bioRxiv,G. Jékely,47,6.71,False,strong,broker,21.0,19.0,40.0,11.0,0.9498274488983276,Albert Cardona / J. Vogelstein,0.97,11,False
156,work_1e988d999cd5be4e,Neural Circuits of Sexual Behavior in Caenorhabditis elegans.,2018.0,Annual Review of Neuroscience,S. W. Emmons,47,5.22,False,weak,broker,1.0,1.0,2.0,2.0,0.9487655959649588,Oliver Hobert / Steven J. Cook,0.95,1,False
157,work_f0209d7bdfe6efad,A resource from 3D electron microscopy of hippocampal neuropil for user training and tool development,2015.0,Scientific Data,R. Burns,47,3.92,False,strong,broker,5.0,13.0,18.0,9.0,0.9569949561985664,Albert Cardona / J. Vogelstein,0.9,8,False
158,work_7fe8ac21d730c5c5,Inter-individual stereotypy of the Platynereis larval visual connectome,2015.0,eLife,G. Jékely,46,3.83,False,strong,broker,27.0,3.0,30.0,11.0,0.9869923015662332,Albert Cardona / J. Vogelstein,0.97,6,False
159,work_3a8e55c0032e0c3d,Connectomic Identification and Three-Dimensional Color Tuning of S-OFF Midget Ganglion Cells in the Primate Retina,2018.0,Journal of Neuroscience,D. Dacey,45,5.0,False,moderate,broker,6.0,2.0,8.0,5.0,0.9246084417308202,M. Helmstaedter / Winfried Denk,0.96,4,False
