work_id,title,year_n,citation_count_work,cites_per_year,cites_pct_in_year,citation_link_strength,corpus_in_degree,k_core,primary_community_label,confidence,graph_status,in_integrated_plus_rescue
work_69a812a079debc62,CAVE: Connectome Annotation Versioning Engine,2025.0,55,55.0,0.9690721649484536,strong,6.0,11.0,H. Sebastian Seung / G. Jefferis,0.97,integrated,True
work_cbfb9642f5950bcf,Sexual dimorphism in the complete connectome of the Drosophila male central nervous system,2025.0,43,43.0,0.9587628865979382,moderate,8.0,7.0,J. Lichtman / Hanspeter Pfister,0.98,integrated,True
work_be300a95019327be,Transforming descending input into motor output: An analysis of the Drosophila Male Adult Nerve Cord connectome,2025.0,33,33.0,0.9484536082474226,moderate,4.0,4.0,H. Sebastian Seung / G. Jefferis,0.97,integrated,True
work_bf26c692403dc5e3,Synaptic architecture of a memory engram in the mouse hippocampus,2025.0,25,25.0,0.9381443298969072,strong,3.0,7.0,Xiaoyin Chen / Yonggang Wang,0.96,integrated,True
work_0ac82de3efe180e8,Connectomics of predicted Sst transcriptomic types in mouse visual cortex,2025.0,23,23.0,0.9278350515463918,moderate,2.0,6.0,H. Sebastian Seung / G. Jefferis,0.93,integrated,True
work_caba1149824d992a,Comparative connectomics of two distantly related nematode species reveals patterns of nervous system evolution,2025.0,22,22.0,0.9175257731958762,moderate,3.0,7.0,Oliver Hobert / Steven J. Cook,0.96,integrated,True
work_d39313692b727a1c,Whole-body connectome of a segmented annelid larva,2025.0,20,20.0,0.9072164948453608,strong,5.0,11.0,Albert Cardona / J. Vogelstein,0.96,integrated,True
work_aab3a84b00c63866,New Synapse Detection in the Whole-Brain Connectome of Drosophila,2025.0,19,19.0,0.8969072164948454,strong,8.0,7.0,H. Sebastian Seung / G. Jefferis,0.97,integrated,True
work_b6f9d48dfa37f399,Connectome-driven neural inventory of a complete visual system,2025.0,18,18.0,0.8865979381443299,strong,10.0,11.0,J. Lichtman / Hanspeter Pfister,0.98,integrated,True
work_3f33a09c75f65755,Perisomatic ultrastructure efficiently classifies cells in mouse cortex,2025.0,17,17.0,0.8711340206185567,strong,5.0,10.0,H. Sebastian Seung / G. Jefferis,0.95,integrated,True
work_544c5eb927deccab,A connectomic resource for neural cataloguing and circuit dissection of the larval zebrafish brain,2025.0,17,17.0,0.8711340206185567,moderate,5.0,4.0,J. Lichtman / Hanspeter Pfister,0.97,integrated,True
work_52b53476f8279557,Divergent neural circuits for proprioceptive and exteroceptive sensing of the Drosophila leg,2025.0,14,14.0,0.8556701030927835,moderate,2.0,8.0,H. Sebastian Seung / G. Jefferis,0.95,integrated,True
work_e8901c84d913a8ca,Infrequent strong connections constrain connectomic predictions of neuronal function,2025.0,13,13.0,0.845360824742268,strong,1.0,11.0,Xiaoyin Chen / Yonggang Wang,0.93,integrated,True
work_e658e86f777c36d3,Connectome-constrained networks predict neural activity across the fly visual system,2024.0,113,56.5,0.953125,strong,17.0,10.0,M. Helmstaedter / Winfried Denk,0.94,integrated,True
work_36602f0170e09b02,A Drosophila computational brain model reveals sensorimotor processing,2024.0,76,38.0,0.9296875,strong,8.0,9.0,H. Sebastian Seung / G. Jefferis,0.96,integrated,True
work_f957eea0477c4e04,Connectomic reconstruction of a female Drosophila ventral nerve cord,2024.0,76,38.0,0.9296875,strong,29.0,11.0,H. Sebastian Seung / G. Jefferis,0.97,integrated,True
work_1f2d549356fe466e,Systematic annotation of a complete adult male Drosophila nerve cord connectome reveals principles of functional organisation,2024.0,68,34.0,0.90625,strong,16.0,10.0,H. Sebastian Seung / G. Jefferis,0.97,integrated,True
work_8836d9b46d1f1126,Synaptic connectome of the Drosophila circadian clock,2024.0,64,32.0,0.890625,strong,2.0,7.0,H. Sebastian Seung / G. Jefferis,0.97,integrated,True
work_226671ea5a46bda3,The fly connectome reveals a path to the effectome,2024.0,36,18.0,0.875,strong,12.0,11.0,H. Sebastian Seung / G. Jefferis,0.94,integrated,True
work_10a0b035f8a594bc,Connectomic reconstruction predicts visual features used for navigation,2024.0,28,14.0,0.8515625,strong,5.0,8.0,H. Sebastian Seung / G. Jefferis,0.97,integrated,True
work_a621029de816adc1,Predicting visual function by interpreting a neuronal wiring diagram,2024.0,28,14.0,0.8515625,strong,7.0,8.0,H. Sebastian Seung / G. Jefferis,0.93,integrated,True
work_ceb66b1db1935fdb,Predicting modular functions and neural coding of behavior from a synaptic wiring diagram,2024.0,26,13.0,0.828125,strong,3.0,11.0,H. Sebastian Seung / G. Jefferis,0.96,integrated,True
work_5d14dfa16e4b8cf3,Prediction of neural activity in connectome-constrained recurrent networks,2024.0,23,11.5,0.8125,strong,6.0,10.0,Albert Cardona / J. Vogelstein,0.89,integrated,True
work_582b4134fbc951cc,Social state alters vision using three circuit mechanisms in Drosophila,2024.0,22,11.0,0.796875,moderate,4.0,6.0,J. Lichtman / Hanspeter Pfister,0.94,integrated,True
work_13a5924450d152cf,Hierarchical communities in the larval Drosophila connectome: Links to cellular annotations and network topology,2024.0,20,10.0,0.78125,strong,10.0,11.0,Olaf Sporns / B. Mišić,0.93,integrated,True
work_542d289b1df8abc6,A Connectome of the Male Drosophila Ventral Nerve Cord,2023.0,88,29.333333333333332,1.0,strong,36.0,11.0,J. Lichtman / Hanspeter Pfister,0.97,integrated,True
work_5a5bf6e6db192920,A consensus cell type atlas from multiple connectomes reveals principles of circuit stereotypy and variation,2023.0,78,26.0,0.9841269841269841,strong,13.0,11.0,H. Sebastian Seung / G. Jefferis,0.95,integrated,True
work_e38ae195f332be66,Mapping of Neuronal and Glial Primary Cilia Contactome and Connectome in the Human Cerebral Cortex,2023.0,70,23.333333333333332,0.9682539682539683,weak,2.0,2.0,J. Lichtman / Hanspeter Pfister,0.95,integrated,True
work_8a9f36433b0e7803,Synaptic gradients transform object location to action,2023.0,36,12.0,0.9523809523809523,moderate,3.0,3.0,James R. Anderson / Bryan William Jones,0.97,integrated,True
work_55a31c8884d2dba2,Cell-type-specific inhibitory circuitry from a connectomic census of mouse visual cortex,2023.0,35,11.666666666666666,0.9365079365079365,strong,11.0,11.0,H. Sebastian Seung / G. Jefferis,0.97,integrated,True
work_c71bd1681aa3a6dd,Nested neural circuits generate distinct acoustic signals during Drosophila courtship,2023.0,30,10.0,0.9206349206349206,moderate,4.0,9.0,J. Lichtman / Hanspeter Pfister,0.93,integrated,True
work_579bab55f1835737,Immersion fixation and staining of multi-cubic millimeter volumes for electron microscopy-based connectomics of human brain biopsies,2023.0,27,9.0,0.9047619047619048,strong,11.0,11.0,J. Lichtman / Hanspeter Pfister,0.95,integrated,True
work_63d1c71c6b4843f4,Hunger- and thirst-sensing neurons modulate a neuroendocrine network to coordinate sugar and water ingestion,2023.0,24,8.0,0.8888888888888888,weak_unlinked,0.0,1.0,H. Sebastian Seung / G. Jefferis,0.88,weak_unlinked,False
work_16b9df3949da837d,A leaky integrate-and-fire computational model based on the connectome of the entire adult Drosophila brain reveals insights into sensorimotor processing,2023.0,21,7.0,0.873015873015873,moderate,3.0,8.0,H. Sebastian Seung / G. Jefferis,0.95,integrated,True
work_97016b4155ddb0c4,Dissecting the Functional Organization of the C. elegans Serotonergic System at Whole-Brain Scale,2023.0,20,6.666666666666667,0.8571428571428571,moderate,0.0,4.0,Xiaoyin Chen / Yonggang Wang,0.88,integrated,True
work_be884a73cedf8f72,The neuropeptidergic connectome of C. elegans,2022.0,133,33.25,0.9642857142857143,strong,32.0,11.0,Oliver Hobert / Steven J. Cook,0.95,integrated,True
work_6db95f64553b035d,Automated synapse-level reconstruction of neural circuits in the larval zebrafish brain,2022.0,95,23.75,0.9464285714285714,strong,17.0,11.0,M. Helmstaedter / Winfried Denk,0.97,integrated,True
work_13df857c596640ee,A functionally ordered visual feature map in the Drosophila brain.,2022.0,81,20.25,0.9285714285714286,,,,J. Lichtman / Hanspeter Pfister,0.94,rescued_no_graph,True
work_4d88921e492f9434,neuPrint: An open access tool for EM connectomics,2022.0,78,19.5,0.9107142857142857,strong,31.0,11.0,J. Lichtman / Hanspeter Pfister,0.96,integrated,True
work_fc2482a7f46c841c,Semi-Supervised Neuron Segmentation via Reinforced Consistency Learning,2022.0,75,18.75,0.8928571428571429,,,,Xiaoyin Chen / Yonggang Wang,0.94,rescued_no_graph,True
work_1d4b6e5375da0fe3,Synaptic wiring motifs in posterior parietal cortex support decision-making,2022.0,59,14.75,0.875,strong,5.0,11.0,M. Helmstaedter / Winfried Denk,0.95,integrated,True
work_dc3bb8105fafef02,Connectomic analysis of the Drosophila lateral neuron clock cells reveals the synaptic basis of functional pacemaker classes,2022.0,58,14.5,0.8571428571428571,strong,6.0,6.0,Xiaoyin Chen / Yonggang Wang,0.92,integrated,True
work_e8008cd9a116e028,A set of hub neurons and non-local connectivity features support global brain dynamics in C. elegans.,2022.0,56,14.0,0.8392857142857143,strong,21.0,11.0,Oliver Hobert / Steven J. Cook,0.91,integrated,True
work_fc7814746d37de43,A multiscale brain map derived from whole-brain volumetric reconstructions,2021.0,93,18.6,0.9423076923076923,strong,38.0,11.0,Oliver Hobert / Steven J. Cook,0.96,integrated,True
work_15832f977411772d,Structure and function of axo-axonic inhibition,2021.0,59,11.8,0.9230769230769231,strong,13.0,11.0,H. Sebastian Seung / G. Jefferis,0.96,integrated,True
work_af967f4e3e759889,Origins of direction selectivity in the primate retina,2021.0,58,11.6,0.9038461538461539,moderate,3.0,4.0,M. Helmstaedter / Winfried Denk,0.95,integrated,True
work_b0ddf4ae8c7faf63,Neurotransmitter classification from electron microscopy images at synaptic sites in Drosophila melanogaster,2020.0,185,30.833333333333332,0.9180327868852459,strong,86.0,11.0,H. Sebastian Seung / G. Jefferis,0.94,integrated,True
work_0c32ed27e86551f0,A Connectome of the Adult Drosophila Central Brain,2020.0,178,29.666666666666668,0.9016393442622951,strong,16.0,11.0,J. Lichtman / Hanspeter Pfister,0.97,integrated,True
work_9e3d9326ebd1b0f4,Complete Connectomic Reconstruction of Olfactory Projection Neurons in the Fly Brain,2020.0,168,28.0,0.8852459016393442,strong,20.0,11.0,H. Sebastian Seung / G. Jefferis,0.97,integrated,True
work_d21c268780bf38d6,"Information flow, cell types and stereotypy in a full olfactory connectome",2020.0,139,23.166666666666668,0.8688524590163934,strong,46.0,11.0,H. Sebastian Seung / G. Jefferis,0.96,integrated,True
work_c264471fa138e632,Recurrent architecture for adaptive regulation of learning in the insect brain,2020.0,134,22.333333333333332,0.8524590163934426,strong,15.0,11.0,Albert Cardona / J. Vogelstein,0.95,integrated,True
work_a1904fa7e0f72eb3,Whitening of odor representations by the wiring diagram of the olfactory bulb,2020.0,92,15.333333333333334,0.8360655737704918,strong,30.0,11.0,M. Helmstaedter / Winfried Denk,0.96,integrated,True
work_86c1f0dec2fe2b88,"Connectomics Analysis Reveals First-, Second-, and Third-Order Thermosensory and Hygrosensory Neurons in the Adult Drosophila Brain",2020.0,89,14.833333333333334,0.819672131147541,strong,20.0,11.0,H. Sebastian Seung / G. Jefferis,0.97,integrated,True
work_4f923dc785f0b321,Structure and function of a neocortical synapse,2019.0,188,26.857142857142858,0.9545454545454546,strong,30.0,11.0,J. Lichtman / Hanspeter Pfister,0.95,integrated,True
work_b9427d82f30c52ed,The neuroanatomical ultrastructure and function of a biological ring attractor,2019.0,132,18.857142857142858,0.9090909090909091,strong,13.0,9.0,J. Lichtman / Hanspeter Pfister,0.97,integrated,True
work_63ec5ea7fbf83d9e,Comparisons between the ON- and OFF-edge motion pathways in the Drosophila brain,2019.0,125,17.857142857142858,0.8863636363636364,strong,7.0,10.0,J. Lichtman / Hanspeter Pfister,0.94,integrated,True
work_394d3760042a2c10,A multilayer circuit architecture for the generation of distinct locomotor behaviors in Drosophila,2019.0,93,13.285714285714286,0.8636363636363636,strong,8.0,8.0,Albert Cardona / J. Vogelstein,0.96,integrated,True
work_facd830890c864ef,TeraVR empowers precise reconstruction of complete 3-D neuronal morphology in the whole brain,2019.0,89,12.714285714285714,0.8409090909090909,,,,Xiaoyin Chen / Yonggang Wang,0.94,rescued_no_graph,True
