work_id,year,decision,adjudication,axis_or_reason,title
work_b10bac4e00e6d5c6,2026.0,adjacent_relevant,drop-noted,generic network physics,Surface optimization governs the local design of physical networks
work_b40a22a2240776e3,2022.0,role_bridge,keep,bridge:training,Enhancing Student Research Experiences with Open Data from the Allen Brain Map.
work_b9d08d3f470a376f,2023.0,adjacent_relevant,keep,biology:fly-vision,How Flies See Motion.
work_bbd9387a25c87eb2,2025.0,role_bridge,keep,bridge:training,An Advanced Undergraduate Laboratory Course: Calcium Imaging and Data Analysis – a Mini Graduate Research Experience
work_c0291cd6d5d32157,2019.0,role_bridge,keep,bridge:infrastructure-program,BRAIN Initiative: Cutting-Edge Tools and Resources for the Community
work_c9bf6cbc3f5f5e1f,2026.0,adjacent_relevant,keep,stage:reconstruction (prior rescue),vEMINR: Ultra‐Fast Isotropic Reconstruction for Volume Electron Microscopy With Implicit Neural Representation
work_cb964ec21532f053,2016.0,role_bridge,keep,bridge:network-science,Further Insight into the Brain's Rich-Club Architecture
work_db6e1fc5db501b2d,2017.0,core_relevant,keep,modeling:connectome-constrained,Generating Executable Models of the Drosophila Central Complex
work_dcf30967b3ef3766,2019.0,role_bridge,keep,bridge:education-health,Neuroscience and education: Cerebral lateralization of networks and oscillations in dyslexia
work_e3277619bfed476c,2019.0,role_bridge,keep,bridge:health (macroscale consortium; role-bridge purpose),Mapping brain asymmetry in health and disease through the ENIGMA consortium
work_e4b57c3bbf92905b,2015.0,adjacent_relevant,drop-noted,macroscale methods,Measuring macroscopic brain connections in vivo
work_e50b457cd2b8a4c8,2016.0,adjacent_relevant,drop-noted,"circuit theory, no nanoscale tie",Neural Elements for Predictive Coding
work_e5648adb68d2b733,2017.0,adjacent_relevant,keep,modality:in-vitro-MEA,Multichannel activity propagation across an engineered axon network
work_f3bf613c4a35bd2f,2019.0,adjacent_relevant,drop-noted,molecular wiring development,Modular transcriptional programs separately define axon and dendrite connectivity
work_fc8b4c576ab75783,2018.0,adjacent_relevant,drop-noted,"transcriptomic atlas, no nanoscale tie",Molecular Architecture of the Mouse Nervous System
work_fe4fbe0b28a2fe59,2023.0,role_bridge,keep,stage:infrastructure (fly atlas),Virtual Fly Brain—An interactive atlas of the Drosophila nervous system
