work_id,year,stage_tags,title,adjudication,reason
work_10625a8cbeb96224,2012.0,modeling,Visualization in Connectomics,keep-rescued,visualization stratum review (Pfister lineage)
work_11bd92b465e2aaf3,2025.0,graph_analysis,Rocket-crane algorithm for the Feedback Arc Set problem,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_122af998e627d537,2018.0,,Multimodal Connectomics in Psychiatry: Bridging Scales From Micro to Macro.,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_1425f3d37ad68edc,2024.0,,High-throughput mapping of single-neuron projection and molecular features by retrograde barcoded labeling,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_15ac2c50e04c11f3,2018.0,graph_analysis,When tractography meets tracer injections: a systematic study of trends and variation sources of diffusion-based connectivity,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_164ab99ff38576f9,2021.0,,Comparative connectomics of the primate social brain,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_1667817033df6601,2018.0,,Novel insights into the spatial and temporal complexity of hypothalamic organization through precision methods allowing nanoscale ,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_16c36532bd417889,2014.0,modeling,Axonal and dendritic density field estimation from incomplete single-slice neuronal reconstructions,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_17a397689c02868a,2022.0,graph_analysis;modeling,Differences in the critical dynamics underlying the human and fruit-fly connectome,keep-rescued,dynamics on fly EM connectome graph
work_17aff448044a0745,2014.0,graph_analysis,Connexel visualization: a software implementation of glyphs and edge-bundling for dense connectivity data using brainGL,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_1865ce7d1dd17a8d,2021.0,graph_analysis,A Brief History of Wires in the Brain,keep-rescued,field history essay
work_19ff016fd83b93ac,2015.0,infrastructure,Effects of homeostatic constraints on associative memory storage and synaptic connectivity of cortical circuits,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_1b42023217df315c,2025.0,graph_analysis;infrastructure,Connectomics: Mapping the Brain's Complex Networks,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_1b446a5a091f94da,2022.0,graph_analysis,Alzheimer’s disease rewires gene coexpression networks coupling different brain regions,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_1b7d3ac1442704d3,2026.0,graph_analysis;infrastructure,Whole-neuron morphology and genetic identity define cell types and reveal principles of brain-wide connectivity.,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_1c3c5fd2357f6e90,2022.0,,Unraveling Functional Diversity of Cortical Synaptic Architecture Through the Lens of Population Coding,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_1c447d78a514ecfa,2018.0,graph_analysis;modeling,Matched Filters for Noisy Induced Subgraph Detection,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_1c84d680f7b87889,2022.0,,Visualizing synaptic dopamine efflux with a 2D composite nanofilm,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_1e2e923eebdef150,2023.0,,Phospholipid scramblase Xkr8 is required for developmental axon pruning via phosphatidylserine exposure,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_1eee1624223a684e,2024.0,infrastructure,Intracellular magnesium optimizes transmission efficiency and plasticity of hippocampal synapses by reconfiguring their connectivi,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_20ff525d6c1a00df,2024.0,,Transient Impairment in Microglial Function Causes Sex-Specific Deficits in Synaptic and Hippocampal Function in Mice Exposed to E,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_213bd181973034b5,2020.0,graph_analysis;modeling,Creative destruction: Sparse activity emerges on the mammal connectome under a simulated communication strategy with collisions an,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_21faf952fda7708d,2021.0,graph_analysis;infrastructure;modeling,Progress towards a cellularly resolved mouse mesoconnectome is empowered by data fusion and new neuroanatomy techniques.,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_2241b9b401acc9e2,2014.0,,The Big Data Problem: Turning Maps into Knowledge,keep-rescued,big-data connectomics commentary
work_24591202ea00f970,2026.0,modeling,From Connectome to Cognition: Building the First Digital Organism,keep-rescued,C. elegans emulation (structure-to-function)
work_27e88a0ccdbba06d,2023.0,graph_analysis,A hierarchy index for networks in the brain reveals a complex entangled organizational structure,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_2907fb4fa059c6fc,2014.0,,Impaired activity-dependent neural circuit assembly and refinement in autism spectrum disorder genetic models,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_2b21fd53a734b207,2025.0,graph_analysis,Integrated Classification of Cortical Cells and Quantitative Projectomic Mapping Unveil Organizational Principles of Brain-Wide Co,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_2f409874ec73fe00,2013.0,graph_analysis;infrastructure,Toward the Drosophila connectome: structural analysis of the brain network,keep-rescued,fly brain network structural analysis
work_34eca68ee456ee93,2020.0,graph_analysis,"Explosive, continuous and frustrated synchronization transition in spiking Hodgkin–Huxley neural networks: The role of topology an",drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_3a04d60d1153548a,2019.0,graph_analysis,Single‐neuron axonal reconstruction: The search for a wiring diagram of the brain,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_3f1826f13366209a,2026.0,infrastructure,Toward a foundational brain model of intelligence.,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_404e1398f29ac566,2026.0,graph_analysis;infrastructure,Multiple coexisting pathways to synchronization shape seizure dynamics in a mesoscale mouse brain model,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_4056ab75c914db70,2013.0,graph_analysis,Vertex nomination schemes for membership prediction,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_424344120bcd28bd,2025.0,,Distinguish risk genes functioning at presynaptic or postsynaptic regions and key connectomes associated with pathological α-synuc,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_43b7faaf8820340a,2025.0,graph_analysis;infrastructure,Symmetries of Living Systems: Symmetry Fibrations and Synchronization in Biological Networks,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_44b42b742b2087f0,2023.0,graph_analysis,Predicting distributed working memory activity in a large-scale mouse brain: the importance of the cell type-specific connectome,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_452c63f080d3a726,2013.0,,Connectomics: The dense reconstruction of neuronal circuits using volume electron microscopy,keep-rescued,dense vEM reconstruction review
work_4705ee19f49ae2b4,2022.0,,A global timing mechanism regulates cell-type-specific wiring programmes,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_473c2b2f7d586069,2015.0,graph_analysis;modeling,Cerebral cartography and connectomics,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_47a95169180f7b39,2019.0,modeling,Inference of synaptic connectivity and external variability in neural microcircuits,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_4a3e75dfbab9096e,2026.0,,Adult Clock Neuron Somatic Neuropeptide Release and Cytonemes Regulate Sleep,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_4b3bfeede41c04c0,2016.0,,Super-Resolution Mapping of Neuronal Circuitry With an Index-Optimized Clearing Agent.,keep-rescued,clearing+super-resolution circuit mapping (alt modality)
work_4c9a911feecbe13c,2025.0,,Enriched experience increases reciprocal synaptic connectivity and coding sparsity in higher-order cortex,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_4cb5df5727006bd0,2017.0,graph_analysis;infrastructure,Digital tissue and what it may reveal about the brain,keep-rescued,field essay (digital tissue)
work_4ced3a721c9acbc2,2026.0,graph_analysis;infrastructure;modeling,Neuromodulation supports robust rhythmic pattern transitions in degenerate central pattern generators with fixed connectivity,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_4de777fd03b81fa4,2024.0,graph_analysis,An algorithm for identifying task-specific brain subnetworks using the visuomotor system as an example,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_4f78bbf96074b734,2025.0,,Gradients of Cell Recognition Molecules Wire Visuomotor Transformation,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_502f3fcda5afe2ef,2023.0,graph_analysis;infrastructure,Exercise alters cortico-basal ganglia network functional connectivity: A mesoscopic level analysis informed by anatomic parcellati,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_5068984fac4abafd,2019.0,,DNA sequencing in high-throughput neuroanatomy.,keep-rescued,sequencing connectomics review (alt modality)
work_5092343a6dff0855,2024.0,graph_analysis,Markov Processes and Brain Network Hubs,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_50d4ca5184367aa3,2017.0,graph_analysis,Q&A: Why use synchrotron x-ray tomography for multi-scale connectome mapping?,keep-rescued,X-ray tomography modality
work_51c880b1d507bd3d,2021.0,infrastructure,The effects of microglia on tauopathy progression can be quantified using Nexopathy in silico (Nexis) models,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_529425ff530a893f,2014.0,graph_analysis,Structured Connectivity in Cerebellar Inhibitory Networks,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_52b939fbc87f459e,2025.0,graph_analysis,Fluctuation-dissipation of the Kuramoto model on fruit-fly connectomes,keep-rescued,dynamics on fly EM connectome graph
work_52ec108909a440ab,2025.0,graph_analysis;modeling,Brain volume predicts survival of colliding-spreading messages on mammal brain networks,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_530500d5198cf600,2024.0,graph_analysis,Structural changes shaping the Drosophila ellipsoid body ER-neurons during development and aging.,keep-rescued,fly CX structural development
work_53a975ca4457a801,2016.0,,Insulin-like Growth Factor 1 for Healthy Spines and Healthy Minds?,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_541335ae5cacedf3,2018.0,graph_analysis,Sizing complex networks,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_55afa73b6c08e935,2019.0,infrastructure,Ultrastructural Changes in Brain Stem Pathways in a Patient with Ataxia Associated with SPG7 Mutations (P1.8-006),keep-rescued,human ultrastructure pathology (health bridge)
work_582e1c76adbb758d,2021.0,,Excess interictal activity marks seizure prone cortical areas and mice in a genetic epilepsy model,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_58a01d3dacde814f,2024.0,,Experience-Dependent Remodeling of Juvenile Brain Olfactory Sensory Neuron Synaptic Connectivity in an Early-Life Critical Period,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_593e9ed3ab744e30,2020.0,graph_analysis,Axo-axonic Synapses: Diversity in Neural Circuit Function,keep-rescued,axo-axonic synapse review
work_59c99b603e8a4641,2015.0,,Connectome of the fly visual circuitry.,keep-rescued,fly visual circuitry EM connectome
work_59e0aae4c48bf275,2026.0,infrastructure,Overcoming Perfusion Impairment in the Ischemic Brain: A Review,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_5a217fc9180eb033,2023.0,graph_analysis,Long-range connectome of pyramidal neurons in the sensorimotor cortex,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_5cc273635dda9bdd,2018.0,,A regularity index for dendrites - local statistics of a neuron's input space,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_5e8c3be0c96f3f97,2026.0,infrastructure,A Physics-Inspired Neural Network Framework for Nanoscale Biological Slice Thickness Measurement,keep-rescued,vEM section-thickness method
work_5eac4903bf9cd936,2020.0,,"NIMG-13. GENETIC, CELLULAR, AND CONNECTOMIC CHARACTERIZATION OF THE ADULT HUMAN BRAIN REGIONS COMMONLY PLAGUED BY GLIOMA",drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_603f7f3189279d00,2021.0,,Avian pallial circuits and cognition: A comparison to mammals.,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_6194ff64e893458d,2020.0,,Synaptic diversity naturally arises from neural decoding of heterogeneous populations,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_6212be61070586b3,2012.0,graph_analysis,From functional architecture to functional connectomics,keep-rescued,functional connectomics essay (Reid)
work_632600d5b9961b96,2025.0,graph_analysis,Neural Networks of the Mouse Primary Visceromotor Cortex,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_63ac75098fea704e,2022.0,graph_analysis,The mouse claustrum synaptically connects cortical network motifs,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_641578dd51d3aa3a,2020.0,graph_analysis;modeling,Graph Signal Processing of Indefinite and Complex Graphs using Directed Variation,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_6779fed0fab266f1,2026.0,graph_analysis;infrastructure;modeling,Topological Sensitivity in Connectome-Constrained Neural Networks,keep-rescued,connectome-constrained NN analysis
work_67af47ece63db8f0,2020.0,graph_analysis,Microtubule Tracking in Electron Microscopy Volumes,keep-rescued,EM computer-vision method
work_6892183b6e8966a6,2018.0,graph_analysis,Topology of the mesoscale connectome of the mouse brain,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_68b4bcecab20e9f8,2022.0,,Fast z-focus controlling and multiplexing strategies for multiplane two-photon imaging of neural dynamics.,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_69eab38f3c80cc87,2013.0,,Mapping mammalian synaptic connectivity,keep-rescued,synaptic-connectivity mapping review
work_6a0535f78a5e6555,2024.0,graph_analysis;infrastructure,"The meso-connectomes of mouse, marmoset, and macaque: network organization and the emergence of higher cognition",drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_6b1e50c7fd263430,2026.0,,Deciphering intercellular communication in the cerebellar external granule layer: Insights into non-classical connections in neura,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_6bd814770dd59274,2020.0,,"Astroglia-specific contributions to the regulation of synapses, cognition and behaviour.",drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_6bef1584a99628b5,2016.0,graph_analysis;infrastructure,A Multicore Path to Connectomics-on-Demand,keep-rescued,segmentation systems (connectomics-on-demand)
work_6c644898f337026e,2020.0,,Cellular and circuit mechanisms of olfactory associative learning in Drosophila,keep-rescued,fly circuit review (MB)
work_700ac102f4fb80b1,2025.0,infrastructure;modeling,"How tp1, an indirect wing steering muscle, stabilizes Drosophila’s flight",keep-rescued,fly motor circuit (MANC-era)
work_701eda426af92362,2017.0,graph_analysis,Versatility of nodal affiliation to communities,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_71dbb3089cc06ddf,2024.0,modeling,A Differentiable Approach to Multi-scale Brain Modeling,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_7216e2255c3134f7,2018.0,graph_analysis,On Estimation and Inference in Latent Structure Random Graphs,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_7225417aa5d4c255,2018.0,,Emergence of V1 connectivity pattern and Hebbian rule in a performance-optimized artificial neural network,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_7277de2c14cca629,2025.0,,Anti-diuretic hormone ITP signals via a guanylate cyclase receptor to modulate systemic homeostasis in Drosophila,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_7599ba180a4cf46f,2024.0,graph_analysis;modeling,Centralized brain networks underlie body part coordination during grooming,keep-rescued,fly connectome-based behavior circuit
work_75ab574f93891fc1,2022.0,graph_analysis;infrastructure;modeling,Brain chains as topological signatures for Alzheimer’s disease,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_75f60831e1632c27,2019.0,,Feedforward Thalamocortical Connectivity Preserves Stimulus Timing Information in Sensory Pathways,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_76cf86007e3f5baf,2025.0,graph_analysis;infrastructure,Visualizing Drosophila connectome with multiview light-sheet macrophotography and iterative expansion microscopy,keep-rescued,expansion-microscopy connectomics
work_773cdf88a2616296,2025.0,modeling,Multiscale brain modeling: bridging microscopic and macroscopic brain dynamics for clinical and technological applications,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_7761782e46e5beac,2022.0,graph_analysis;infrastructure;modeling,Statistical perspective on functional and causal neural connectomics: The Time-Aware PC algorithm,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_7a1562d871a3be12,2019.0,graph_analysis,The human connectome from an evolutionary perspective.,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_7a4e052848e9ed49,2024.0,graph_analysis;modeling,Directed and acyclic synaptic connectivity in the human layer 2-3 cortical microcircuit,keep-rescued,multipatch human microcircuit synaptic map (alt modality)
work_7a9ee048a1e92b21,2025.0,,"An integrated anatomical, functional and evolutionary view of the Drosophila olfactory system",keep-rescued,fly olfactory system connectome-era review
work_7aea9f3f486f8e03,2021.0,graph_analysis,Whole-Brain Reconstruction of Neurons in the Ventral Pallidum Reveals Diverse Projection Patterns,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_7b3b7858df07f36b,2014.0,modeling,"Physics, emergence, and the connectome.",drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_7b69c0d654c6eb2e,2002.0,,Geometry and structural plasticity of synaptic connectivity.,keep-rescued,potential-connectivity theory (Chklovskii)
work_7c0b6a0c16147a76,2025.0,,Direct dependencies between neurons explain activity,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_7c6166a6cee7212b,2024.0,graph_analysis;infrastructure,High-Complexity Barcoded Rabies Virus for Scalable Circuit Mapping Using Single-Cell and Single-Nucleus Sequencing,keep-rescued,barcoded monosynaptic rabies (alt modality)
work_7c688ddd3be395b9,2021.0,,A historical perspective on training students to create standardized maps of novel brain structure: Newly-uncovered resonances bet,keep-rescued,training/people-development history
work_7d1ccb8d643fe44b,2013.0,graph_analysis;infrastructure,Computing scalable multivariate glocal invariants of large (brain-) graphs,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_7d516680b10a2d2b,2013.0,,Mapping Connectivity in the Developing Brain,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_7dd7962792f95bf5,2024.0,,Volume Electron Microscopy for Genetically and Molecularly Defined Neural Circuits.,keep-rescued,vEM for defined circuits (method)
work_7e2f34287e7eb3ad,2021.0,,Developmental mechanisms underlying circuit wiring: Novel insights and challenges ahead,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_7ea8cdfa5d969915,2022.0,,Astrocyte-neuron crosstalk through Hedgehog signaling mediates cortical synapse development,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_7f99dc37a1c7d869,2025.0,,The many lives of an oligodendrocyte precursor cell,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_7fc3e9d7cd85be30,2026.0,graph_analysis,Bridging the microstructural gap in human connectomics using hierarchical phase-contrast tomography as a reference for diffusion M,keep-rescued,X-ray HiP-CT human connectomics modality
work_81c0fdc6a538cfed,2014.0,,Mapping circuits beyond the models: integrating connectomics and comparative neuroscience.,keep-rescued,comparative connectomics commentary
work_82ea545966f8fa3e,2016.0,graph_analysis,Modern Methods for Interrogating the Human Connectome,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_82ff9898cca049ee,2020.0,graph_analysis;modeling,Persistence of hierarchical network organization and emergent topologies in models of functional connectivity,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_8470676def87adc9,2026.0,graph_analysis,POINTseq: cell-type-specific barcoding reveals single-cell projection architecture of the mouse dopaminergic system,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_84abe72fb4e55607,2020.0,infrastructure,Network neuroscience and the connectomics revolution,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_853362dc6ff9c35b,2025.0,,Key Connectomes and Synaptic‐Compartment‐Specific Risk Genes Drive Pathological α‐Synuclein Spreading,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_853a67f3b3bce4e6,2018.0,,Preparation of Acute Brain Slices Using an Optimized N-Methyl-D-glucamine Protective Recovery Method,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_85df1ad0a08ba192,2023.0,graph_analysis;infrastructure,Brain connectomics: time for a molecular imaging perspective?,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_861d13773b8b6e2d,2019.0,graph_analysis;modeling,A Brief History of Simulation Neuroscience,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_87c076771ae6ecb0,2025.0,modeling,Brain connectivity drives tau presence while regional vulnerability drives tau load in Alzheimer's disease,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_885fd04a0c9e3cfa,2026.0,graph_analysis;infrastructure;modeling,DigiMus: a connectome-informed spiking framework for multi-region mouse neural-behavior modeling,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_88ba0a670054d7b9,2009.0,,The Fragile X Mental Retardation Protein in Circadian Rhythmicity and Memory Consolidation,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_894a7ff84d58ec7c,2021.0,,Synaptogenic activity of the axon guidance molecule Robo2 underlies hippocampal circuit function,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_8c552c741c234d42,2026.0,graph_analysis,Partners in plasticity: serotonergic glial interactions in brain circuit remodeling,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_8d04af73e3e2c144,2023.0,,Asymmetric Presynaptic Depletion of Dopamine Neurons in a Drosophila Model of Parkinson’s Disease,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_8d259f8c6f69999e,2016.0,,Advanced Fluorescence Protein-Based Synapse-Detectors,keep-rescued,synapse-detector tools review (alt modality)
