idx,a,b,decision,reason,a_title,b_title
48,work_0159d70a05ed78c5,work_b822d82eebbd423f,link,"preprint/published pair, same team",Connectome embedding in multidimensional graph spaces,Connectome embedding in multidimensional graph-invariant spaces
49,work_21172651321be0c9,work_990d7d6abfa17e5a,link,same contribution across venues (v3 dedup rule),Transforming FIB-SEM Systems for Large-Volume Connectomics and Cell Bi,Enabling FIB-SEM Systems for Large Volume Connectomics and Cell Biolog
50,work_a9583f7c336fa5ea,work_fb6bd7635bf81856,link,"preprint/published pair, same team","A multi-modal, asymmetric, weighted, and signed description of anatomi","Redefining the connectome: A multi-modal, asymmetric, weighted, and si"
51,work_2e7057c9bdb34818,work_4383cd87e4a9f214,link,supplement record of same article,Bisected graph matching improves automated pairing of bilaterally homo,Supplemental Information: Bisected graph matching improves automated 2
52,work_aa4ac55bf3d997c2,work_aa4ac55bf3d997c2,link,redundant metadata record of same article,The Mind of a Mouse.,The Mind of a Mouse.
53,work_86cd789b5e2d994e,work_ee62b1ccfb61291e,link,"preprint/published pair, same team",Connectome spectrum electromagnetic tomography: A method to reconstruc,Connectome spectrum electromagnetic tomography: a method to reconstruc
54,work_fa0086ad5e899c87,work_3ec538b5a1a71a82,link,"preprint/published pair, same team",Structural network alterations in focal and generalized epilepsy follo,Structural network alterations in focal and generalized epilepsy asses
55,work_0776b0d544c24d0d,work_69e7adba45a58243,link,"preprint/published pair, same team",Brain connectivity dynamics: Multilayer network switching rate predict,Multilayer network switching rate predicts brain performance
56,work_3167944ed8876ef1,work_c264471fa138e632,link,"preprint/published pair, same team",Multilevel feedback architecture for adaptive regulation of learning i,Recurrent architecture for adaptive regulation of learning in the inse
57,work_caded82b4ff6f38b,work_2e89582f1e165cd3,link,"preprint/published pair, same team",The Feeding Connectome: Convergence of Monosynaptic and Polysynaptic S,Convergence of monosynaptic and polysynaptic sensory paths onto common
58,work_14b6d5aa74ac49e7,work_ba255a04a84e1e9c,link,"preprint/published pair, same team",Connectome of a human foveal retina,Approaching a connectome of the human foveal retina
59,work_ba4c840d8621530a,work_89a1c3d1c130ab2c,link,eLife author-response artifact of same article,Synaptic and peptidergic connectome of a neurosecretory centre in the ,Author response: Synaptic and peptidergic connectome of a neurosecreto
60,work_1abefbc844f53786,work_783a1dd4e73fe636,link,"preprint/published pair, same team",Multiplexed volumetric CLEM enabled by antibody derivatives provides n,Multiplexed volumetric CLEM enabled by scFvs provides insights into th
61,work_d2aa9ba75c9f5683,work_4c9179082aa8723a,link,"preprint/published pair, same team",Surfaceome dynamics during neuronal development and synaptic plasticit,Surfaceome dynamics reveal proteostasis-independent reorganization of 
62,work_2a895c41d7dc42a3,work_f30031f2d37b416e,link,"preprint/published pair, same team",Title: Multi-Scale LM/EM Neuronal Imaging from Brain to Synapse with a,Multi-scale light microscopy/electron microscopy neuronal imaging from
63,work_afbb7bf278fca34e,work_76655a3d58be42ad,link,"preprint/published pair, same team",Probabilistic Inference on Virtual Brain Models of Disorders,Simulation-based inference on virtual brain models of disorders
64,work_24c9d58c113a2b86,work_97f80d18931aae82,link,"preprint/published pair, same team","Toward A Reproducible, Scalable Framework for Processing Large Neuroim","Toward a scalable framework for reproducible processing of volumetric,"
65,work_5cacc375519272f8,work_7d109ac5ec7ba974,link,"preprint/published pair, same team",Functional Connectomics from Data: Probabilistic Graphical Models for ,Functional connectomics from neural dynamics: probabilistic graphical 
66,work_caded82b4ff6f38b,work_03af12da3a95c029,link,eLife author-response artifact of same article,The Feeding Connectome: Convergence of Monosynaptic and Polysynaptic S,Author response: Convergence of monosynaptic and polysynaptic sensory 
67,work_aace58d8981653c0,work_95f1a1464a053731,link,"preprint/published pair, same team",Relating quantitative 7T MRI across cortical depths to cytoarchitecton,Relating quantitative 7T MRI across cortical depths to cytoarchitecton
68,work_71e40079f57e9b0b,work_7ea8cdfa5d969915,link,"preprint/published pair, same team",Astrocyte-neuron crosstalk through Hedgehog signaling mediates cortica,Astrocyte-neuron crosstalk through Hedgehog signaling mediates cortica
69,work_24df8696bc3bda1a,work_27afcee75e81515b,link,"preprint/published pair, same team",Emergence of Canonical Functional Networks from Complex-valued Laplaci,Emergence of canonical functional networks from the structural connect
70,work_d877a14b14e535c5,work_87c076771ae6ecb0,link,conference-abstract version of same study,Brain network dynamics determine tau presence while regional vulnerabi,Brain connectivity drives tau presence while regional vulnerability dr
71,work_990d7d6abfa17e5a,work_324fa11700fbfc52,link,conference-abstract version of same study,Enabling FIB-SEM Systems for Large Volume Connectomics and Cell Biolog,Breaking Barriers of FIB-SEM for Large Volume Connectomics and Cell Bi
72,work_cedfe8675c5b0800,work_fb4d76e8870731a5,link,"preprint/published pair, same team",An expanding manifold characterizes adolescent reconfigurations of str,An expanding manifold in transmodal regions characterizes adolescent r
73,work_55a31c8884d2dba2,work_0fec0014dc0379d0,link,"preprint/published pair, same team",Cell-type-specific inhibitory circuitry from a connectomic census of m,Inhibitory specificity from a connectomic census of mouse visual corte
74,work_991f78c0915f23f3,work_b03ba2eb24d3ca63,link,"preprint/published pair, same team",Presynaptic inhibition selectively suppresses leg proprioception in be,Selective presynaptic inhibition of leg proprioception in behaving Dro
75,work_44b42b742b2087f0,work_3124a20f92cb886a,link,"preprint/published pair, same team",Predicting distributed working memory activity in a large-scale mouse ,Cell type-specific connectome predicts distributed working memory acti
76,work_79f974e385905be1,work_fee3a782a01f757d,link,"preprint/published pair, same team",Electrophysiological validation of premotor interneurons monosynaptica,Electrophysiological Validation of Monosynaptic Connectivity between P
77,work_ecaef2f8e1cada2f,work_4516798588ca1a81,link,"preprint/published pair, same team",The continuous differentiation of multiscale structural gradients from,The multiscale brain structural re-organization that occurs from child
78,work_bb8d8f33589a21a6,work_4b37a6f905cdcd31,link,"preprint/published pair, same team",Functional Connectomics in C. elegans,Novel Technological Advances in Functional Connectomics in C. elegans
79,work_4bae868eedccea34,work_c5784542bb14c39f,link,"preprint/published pair, same team",Data-driven Assessment of Structural Image Quality,Quantitative Assessment of Structural Image Quality
80,work_e582425de06520de,work_7a7ede8e181b212c,link,"preprint/published pair, same team",Exclusive functional subnetworks of intracortical projections neurons ,Segregated Subnetworks of Intracortical Projection Neurons in Primary 
81,work_0c62223b980049c1,work_31d1fee6f2ffabfe,link,"preprint/published pair, same team",The connectome of the adult Drosophila mushroom body: implications for,The connectome of the adult Drosophila mushroom body provides insights
82,work_bf1e465eb6d97f22,work_9adeabbddfc40832,link,"preprint/published pair, same team",Do Deep Neural Networks Outperform Kernel Regression for Functional Co,Deep Neural Networks and Kernel Regression Achieve Comparable Accuraci
83,work_3fd2f5aa50a78cc3,work_b081efa3bb3da731,link,"preprint/published pair, same team",Transitions between cognitive topographies: contributions of network s,"Contributions of network structure, chemoarchitecture and diagnostic c"
84,work_c3acb4802f98e9c8,work_6bef1584a99628b5,link,same contribution across venues (v3 dedup rule),A Multicore Path to Connectomics-on-Demand,A Multicore Path to Connectomics-on-Demand
85,work_2d052f85fe177163,work_f92a699ce1155d96,reject,"distinct works, generic shared title, different teams",The Cerebellar Connectome.,The Cerebellar Connectome
86,work_be3128b2613d56fd,work_8db67c02cf0d8e44,reject,distinct conference session abstracts sharing generic title,Basic Science and Pathogenesis.,Basic Science and Pathogenesis.
87,work_8c92549b4a8a7501,work_9f41c6c7e047b470,reject,"comment-and-reply exchange; related, not same work",Mapping connectomes with diffusion MRI: Deterministic or probabilistic,Mapping connectomes with diffusion MRI: deterministic or probabilistic
88,work_5ed6a0a810a92de0,work_9f6db33a12953586,link,redundant metadata record of same article,3-D Registration of Biological Images and Models: Registration of micr,( Registration of microscopic images and its uses in segmentation and 
89,work_a65a36089664d0da,work_7a9d2434beba48a5,link,conference-abstract version of same study,T184. BRAIN-WIDE FUNCTIONAL DYSCONNECTIVITY IN SCHIZOPHRENIA: PARSING ,Brain-Wide Functional Dysconnectivity in Schizophrenia: Parsing Diathe
90,work_7509c3b5876a233c,work_c5e4124eb792cffc,link,conference-abstract version of same study,Amyloid-β and tau pathologies relate to distinctive brain dysconnectom,Amyloid‐β and tau pathologies relate to distinctive brain dysconnectom
91,work_1af871733acb131c,work_54277ff4a5492d4d,link,conference-abstract version of same study,Abnormal white‐matter rich‐club organization in obsessive–compulsive d,21 Abnormal white-matter rich-club organization in obsessive-compulsiv
92,work_c6fb52119d27ebd2,work_23619b861b430797,link,conference-abstract version of same study,An electroencephalography connectome predictive model of craving for m,405. AN ELECTROENCEPHALOGRAPHY CONNECTOME PREDICTIVE MODEL OF CRAVING 
93,work_1143d78caa30689f,work_8347b1b95882d657,link,eLife author-response artifact of same article,Author response: Partial connectomes of labeled dopaminergic circuits ,Partial connectomes of labeled dopaminergic circuits reveal non-synapt
94,work_d293a4127c914354,work_7532b67c878dd40c,link,"preprint/published pair, same team",MRI Graph Analysis and Inference for Connectomics ( MIGRAINE ),MIGRAINE: MRI Graph Reliability Analysis and Inference for Connectomic
95,work_2e89582f1e165cd3,work_03af12da3a95c029,link,eLife author-response artifact of same article,Convergence of monosynaptic and polysynaptic sensory paths onto common,Author response: Convergence of monosynaptic and polysynaptic sensory 
96,work_90b88435719f3720,work_20710f84520e8e6f,link,eLife author-response artifact of same article,Author response: Ubiquitin-dependent regulation of a conserved DMRT pr,Ubiquitin-dependent regulation of a conserved DMRT protein controls se
97,work_4a882767161927d6,work_784400c91f3cd26f,link,eLife author-response artifact of same article,Author response: Accelerated redevelopment of vocal skills is preceded,Accelerated redevelopment of vocal skills is preceded by lasting reorg
98,work_342e4a8de557f976,work_e970ae065dc09da2,link,conference-abstract version of same study,Prediction of post-stroke motor recovery benefits from measures of sub,Abstract 7: Prediction Of Post-stroke Motor Recovery Benefits From Mea
99,work_fb4d76e8870731a5,work_53cc2303c5e1753d,link,eLife author-response artifact of same article,An expanding manifold in transmodal regions characterizes adolescent r,Author response: An expanding manifold in transmodal regions character
100,work_89a1c3d1c130ab2c,work_74fbfda1e48554b7,link,eLife author-response artifact of same article,Author response: Synaptic and peptidergic connectome of a neurosecreto,Synaptic and peptidergic connectome of a neurosecretory center in the 
101,work_668bc7521b208f67,work_a2ef05829542860a,link,conference-abstract version of same study,Discernible interindividual patterns of global efficiency decline duri,MODL-37. DISCERNIBLE INTERINDIVIDUAL PATTERNS OF GLOBAL EFFICIENCY DEC
102,work_a35b2a0f4328b341,work_26961d66f5e6753f,link,correction/erratum record under original,Skull optical clearing window for in vivo imaging of the mouse cortex ,Erratum: Author Correction: Skull optical clearing window for in vivo 
103,work_d1744737290f5238,work_d4978a811ee67bb0,link,correction/erratum record under original,Author Correction: The challenge of mapping the human connectome based,The challenge of mapping the human connectome based on diffusion tract
104,work_2a0b22b03d050806,work_203770249483926c,reject,series papers on different brain structures,Anatomy and White Matter Connections of the Middle Frontal Gyrus.,Anatomy and White Matter Connections of the Superior Frontal Gyrus
105,work_af61a56e13719e47,work_d558ef09c2a0a371,link,same contribution across venues (v3 dedup rule),An automated images-to-graphs framework for high resolution connectomi,An Automated Images-to-Graphs Pipeline for High Resolution Connectomic
106,work_42f103b2bd408bf9,work_cf8597f57b9fa631,link,reprint record of same article,Mapping human brain lesions and their functional consequences,Reprint of: Mapping human brain lesions and their functional consequen
107,work_189e64868871c682,work_27d1d9fcff673de6,link,conference-abstract version of same study,The effect of tractography algorithm on human cortical connectome reco,Human cortical connectome reconstruction from diffusion weighted MRI: 
108,work_d71db7b8e5b2b2cd,work_b3bb626c156d60fc,reject,different tissue transcriptomes by same team,De novo assembly and functional annotation of the heart + hemolymph tr,De novo assembly and functional annotation of the nervous system trans
109,work_317560e823eea036,work_e80c6bc77f7211bd,link,redundant metadata record of same article,"Human Brain Connectomics: Networks, Techniques, and Applications [Life","Human Brain Connectomics : Networks , Techniques , and Applications"
110,work_8a9b4070c9c7d960,work_ba35af28814b98ba,reject,"book vs earlier chapter; related, not same work",Discovering the Human Connectome,The Human Connectome
111,work_d98a322178dafa2e,work_eabf2ea20ba6564c,link,conference-abstract version of same study,Synaptic Connectivity of a Diffuse Bipolar Cell Type in the Inner Prim,Synaptic connectivity of the diffuse bipolar cell type DB6 in the inne
112,work_c700043aaf02b71f,work_e1729e254cf16f0b,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 12: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 10: Tractographic De
113,work_c700043aaf02b71f,work_ebb5cbb34f978077,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 12: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 11: Tractographic De
114,work_e1729e254cf16f0b,work_ebb5cbb34f978077,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 10: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 11: Tractographic De
115,work_ea7604fdccc831d7,work_ba35af28814b98ba,reject,different works sharing topic,The Human Connectome Project,The Human Connectome
116,work_7f1202eef0e8289e,work_165f100ce8761153,link,redundant metadata record of same article,"SynEM, automated synapse detection for connectomics","SynEM , Automated synapse 1 detection for connectomics 2"
117,work_7f1202eef0e8289e,work_e47b5df65b344c69,link,eLife author-response artifact of same article,"SynEM, automated synapse detection for connectomics","Author response: SynEM, automated synapse detection for connectomics"
118,work_318ed7e271ad3483,work_2556ee5a75a547e1,link,same contribution across venues (v3 dedup rule),Dense Recurrent Neural Networks for Inverse Problems: History-Cognizan,Dense Recurrent Neural Networks for Accelerated MRI: History-Cognizant
119,work_234ae94a61034e49,work_5a86e1dddea15bae,reject,series papers on different brain structures,Anatomy and White Matter Connections of the Parahippocampal Gyrus.,Anatomy and White Matter Connections of the Inferior Temporal Gyrus.
120,work_187b248b70484337,work_234ae94a61034e49,reject,series papers on different brain structures,Anatomy and White Matter Connections of the Lingual Gyrus and Cuneus.,Anatomy and White Matter Connections of the Parahippocampal Gyrus.
121,work_2a0b22b03d050806,work_234ae94a61034e49,reject,series papers on different brain structures,Anatomy and White Matter Connections of the Middle Frontal Gyrus.,Anatomy and White Matter Connections of the Parahippocampal Gyrus.
122,work_234ae94a61034e49,work_203770249483926c,reject,series papers on different brain structures,Anatomy and White Matter Connections of the Parahippocampal Gyrus.,Anatomy and White Matter Connections of the Superior Frontal Gyrus
123,work_e2de51ca63225afd,work_203770249483926c,reject,series papers on different brain structures,Anatomy and white matter connections of the orbitofrontal gyrus.,Anatomy and White Matter Connections of the Superior Frontal Gyrus
124,work_e2de51ca63225afd,work_5a86e1dddea15bae,reject,series papers on different brain structures,Anatomy and white matter connections of the orbitofrontal gyrus.,Anatomy and White Matter Connections of the Inferior Temporal Gyrus.
125,work_295b058918128b54,work_f5fd3ba3b38fed1d,link,same contribution across venues (v3 dedup rule),NEURD: automated proofreading and feature 1 extraction for connectomic,NEURD offers automated proofreading and feature extraction for connect
126,work_4de7e73fbde8f291,work_9f12b798032ecf3b,link,same contribution across venues (v3 dedup rule),Robust fiber orientation distribution function estimation using deep c,Robust Fiber Orientation Distribution Function Estimation Using Deep C
127,work_d2cf5ae3fcec1d76,work_1b41887b5b849c90,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 13: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 16: Tractographic De
128,work_d2cf5ae3fcec1d76,work_ebb5cbb34f978077,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 13: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 11: Tractographic De
129,work_1b41887b5b849c90,work_b4034d2b55e4699b,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 16: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 15: Tractographic De
130,work_c700043aaf02b71f,work_b4034d2b55e4699b,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 12: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 15: Tractographic De
131,work_e1729e254cf16f0b,work_b4034d2b55e4699b,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 10: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 15: Tractographic De
132,work_ebb5cbb34f978077,work_b4034d2b55e4699b,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 11: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 15: Tractographic De
133,work_21ca1a6a685fb238,work_b4034d2b55e4699b,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 17: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 15: Tractographic De
134,work_476ec1d0fd67465f,work_0325f64317b83966,link,same contribution across venues (v3 dedup rule),Application of Graph Theory Across Multiple Frequency Bands in Obsessi,Application of graph theory across multiple frequency bands in drug-na
135,work_951fb77dafd531c1,work_bd07f974efc37587,link,redundant metadata record of same article,Computational connectomics,Editorial. Computational connectomics
136,work_187b248b70484337,work_2a0b22b03d050806,reject,series papers on different brain structures,Anatomy and White Matter Connections of the Lingual Gyrus and Cuneus.,Anatomy and White Matter Connections of the Middle Frontal Gyrus.
137,work_187b248b70484337,work_203770249483926c,reject,series papers on different brain structures,Anatomy and White Matter Connections of the Lingual Gyrus and Cuneus.,Anatomy and White Matter Connections of the Superior Frontal Gyrus
138,work_187b248b70484337,work_5a86e1dddea15bae,reject,series papers on different brain structures,Anatomy and White Matter Connections of the Lingual Gyrus and Cuneus.,Anatomy and White Matter Connections of the Inferior Temporal Gyrus.
139,work_2a0b22b03d050806,work_5a86e1dddea15bae,reject,series papers on different brain structures,Anatomy and White Matter Connections of the Middle Frontal Gyrus.,Anatomy and White Matter Connections of the Inferior Temporal Gyrus.
140,work_203770249483926c,work_5a86e1dddea15bae,reject,series papers on different brain structures,Anatomy and White Matter Connections of the Superior Frontal Gyrus,Anatomy and White Matter Connections of the Inferior Temporal Gyrus.
141,work_203770249483926c,work_4c75d4e8c3a1aeae,reject,series papers on different brain structures,Anatomy and White Matter Connections of the Superior Frontal Gyrus,Anatomy and White Matter Connections of the Superior Parietal Lobule
142,work_d2cf5ae3fcec1d76,work_b4034d2b55e4699b,reject,series papers on different brain structures,A Connectomic Atlas of the Human Cerebrum-Chapter 13: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 15: Tractographic De
143,work_c700043aaf02b71f,work_1b41887b5b849c90,reject,series papers on different brain structures,A Connectomic Atlas of the Human Cerebrum-Chapter 12: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 16: Tractographic De
