stage,method,group,doi,repo,verified_title,year,status,in_pilot_corpus
segmentation,CDeep3M cloud segmentation,Ellisman (NCMIR),10.1038/s41592-018-0106-z,,CDeep3M—Plug-and-Play cloud-based deep learning for image segmentation,2018,verified,yes
proofreading,CATMAID,Saalfeld/Cardona,10.1093/bioinformatics/btp266,,CATMAID: collaborative annotation toolkit for massive amounts of image data,2009,verified,yes
proofreading,KNOSSOS + RESCOP consensus,Helmstaedter (MPI),10.1038/nn.2868,,High-accuracy neurite reconstruction for high-throughput neuroanatomy,2011,verified,
proofreading,EyeWire crowd proofreading,Kim/Seung (MIT/Princeton),10.1038/nature13240,,Space–time wiring specificity supports direction selectivity in the retina,2014,verified,
proofreading,webKnossos,Boergens/Helmstaedter (MPI),10.1038/nmeth.4331,,webKnossos: efficient online 3D data annotation for connectomics,2017,verified,yes
proofreading,VAST,Berger/Lichtman (Harvard),10.3389/fncir.2018.00088,,VAST (Volume Annotation and Segmentation Tool): Efficient Manual and Semi-Automatic Labeling of Large 3D Image Stacks,2018,verified,yes
proofreading,Neuroglancer,Maitin-Shepard (Google),,https://github.com/google/neuroglancer,,,software-record (v5 §2: repository suffices),
proofreading,CAVE / PyChunkedGraph,Dorkenwald (Princeton/Allen),10.1038/s41592-024-02426-z,,CAVE: Connectome Annotation Versioning Engine,2025,verified,yes
synapses,SynEM,Staffler/Helmstaedter (MPI),10.7554/elife.26414,,"SynEM, automated synapse detection for connectomics",2017,verified,yes
synapses,Synful partner prediction,Buhmann/Funke (Janelia),10.1038/s41592-021-01183-7,,Automatic detection of synaptic partners in a whole-brain Drosophila electron microscopy data set,2021,verified,
synapses,ilastik interactive ML,Berg/Kreshuk (EMBL),10.1038/s41592-019-0582-9,,ilastik: interactive machine learning for (bio)image analysis,2019,verified,
synapses,SyConn,Dorkenwald/Kornfeld (MPI),10.1038/nmeth.4206,,Automated synaptic connectivity inference for volume electron microscopy,2017,verified,yes
infrastructure,BossDB ecosystem,Vogelstein/Gray Roncal (APL/JHU; COI-0),10.1038/s41592-018-0181-1,,A community-developed open-source computational ecosystem for big neuro data,2018,verified,
infrastructure,neuPrint,Plaza (Janelia),10.3389/fninf.2022.896292,,neuPrint: An open access tool for EM connectomics,2022,verified,yes
infrastructure,DVID,Katz/Plaza (Janelia),10.3389/fncir.2019.00005,,DVID: Distributed Versioned Image-Oriented Dataservice,2019,verified,yes
infrastructure,CloudVolume/Igneous,Silversmith (Princeton),,https://github.com/seung-lab/cloud-volume,,,software-record (v5 §2: repository suffices),
analysis,natverse,Bates/Jefferis (Cambridge),10.7554/elife.53350,,"The natverse, a versatile toolbox for combining and analysing neuroanatomical data",2020,verified,yes
analysis,Network motifs,Milo/Alon (Weizmann),10.1126/science.298.5594.824,,Network Motifs: Simple Building Blocks of Complex Networks,2002,verified,
modeling,Connectome-constrained visual-system model,Lappalainen/Turaga (Janelia),10.1038/s41586-024-07939-3,,Connectome-constrained networks predict neural activity across the fly visual system,2024,verified,yes
alt-modality,LICONN light-microscopy connectomics,Danzl (ISTA),10.1038/s41586-025-08985-1,,Light-microscopy-based connectomic reconstruction of mammalian brain tissue,2025,verified,yes
