normalized_name_block,exact_normalized_name_match,author_id_a,author_id_b,name_a,name_b,retained_papers_a,retained_papers_b,same_name_direct_coauthor,shared_coauthor_names,coauthor_jaccard,axis_jaccard,year_overlap,classification,recommended_action
alexandre franco,True,2161269495,2146866834,Alexandre R. Franco,Alexandre R. Franco,1,3,False,6,0.230769,0.5,True,probable_same_person,manual_verify_then_merge_alias
manuel zimmer,True,2295960598,2324239875,Manuel Zimmer,Manuel Zimmer,2,2,False,5,0.5,0.5,True,probable_same_person,manual_verify_then_merge_alias
kim johnson,False,2309434152,2382438796,Kim Johnson,Kim G. Johnson,1,1,False,5,0.454545,0.666667,True,probable_same_person,manual_verify_then_merge_alias
yang wang,True,46396571,143779805,Yang Wang,Yang Wang,1,2,False,5,0.3125,0.0,True,probable_same_person,manual_verify_then_merge_alias
jianzhong he,True,2153098194,12874945,Jianzhong He,Jianzhong He,2,2,False,5,0.238095,1.0,True,probable_same_person,manual_verify_then_merge_alias
r hutchison,True,2262438966,39689567,R. Hutchison,R. Hutchison,1,1,False,4,1.0,1.0,True,probable_same_person,manual_verify_then_merge_alias
r romero garcia,True,2401936648,2142115017,R. Romero-Garcia,R. Romero‐Garcia,4,1,False,4,0.333333,0.0,True,probable_same_person,manual_verify_then_merge_alias
jialing liu,True,2259574724,46700756,Jialing Liu,Jialing Liu,2,2,False,4,0.25,1.0,True,probable_same_person,manual_verify_then_merge_alias
g johnson,False,2113448828,2250191335,G. A. Johnson,G. Johnson,2,1,False,4,0.210526,0.5,True,probable_same_person,manual_verify_then_merge_alias
c granziera,True,2280875794,2829265,C. Granziera,C. Granziera,4,2,False,4,0.2,0.666667,True,probable_same_person,manual_verify_then_merge_alias
ting liu,True,2286291110,2115431213,Ting Liu,Ting Liu,1,2,False,3,0.6,0.0,True,probable_same_person,manual_verify_then_merge_alias
m biase,False,50361524,2250230721,M. D. Biase,M. A. D. Biase,1,1,False,3,0.428571,0.333333,True,probable_same_person,manual_verify_then_merge_alias
sen song,True,2110508990,15168128,Sen Song,Sen Song,1,2,False,3,0.428571,0.0,True,probable_same_person,manual_verify_then_merge_alias
yonggui yuan,True,2246660796,2288378038,Yonggui Yuan,Yonggui Yuan,1,2,False,3,0.375,0.5,True,probable_same_person,manual_verify_then_merge_alias
p sj str m,False,2248256697,3735394,P. Sjöström,P. J. Sjöström,1,2,False,3,0.3,0.0,True,probable_same_person,manual_verify_then_merge_alias
j lichtman,True,27103730,1698121,J. Lichtman,J. Lichtman,35,35,False,50,0.126582,0.727273,True,possible_same_person,manual_review
ting zhao,True,145786043,2314546102,Ting Zhao,Ting Zhao,12,1,False,42,0.1875,0.166667,True,possible_same_person,manual_review
j bae,True,2072616109,2387910100,J. Bae,J. Bae,19,3,False,29,0.117886,0.375,True,possible_same_person,manual_review
h cheong,False,2219777975,32880882,H. S. Cheong,H. Cheong,5,3,False,26,0.127451,0.5,True,possible_same_person,manual_review
andrew cook,True,2218902320,2284996409,Andrew P. Cook,Andrew P Cook,9,1,False,20,0.148148,0.0,True,possible_same_person,manual_review
d essen,False,2880368,2362299824,D. C. Essen,D. Essen,18,1,False,17,0.121429,0.0,True,possible_same_person,manual_review
j hajnal,True,1717846,2086417778,J. Hajnal,J. Hajnal,3,4,False,16,0.140351,0.333333,True,possible_same_person,manual_review
d barch,True,2478230,2244253284,D. Barch,D. Barch,14,1,False,15,0.12605,0.2,True,possible_same_person,manual_review
william gray roncal,False,1744493,119683714,William R. Gray Roncal,William Gray Roncal,12,4,False,14,0.164706,0.166667,True,possible_same_person,manual_review
william gray roncal,False,1744493,1384052997,William R. Gray Roncal,William Gray-Roncal,12,8,False,14,0.164706,0.444444,True,possible_same_person,manual_review
jordan matelsky,True,24023618,2125921257,Jordan K. Matelsky,Jordan K. Matelsky,19,1,False,13,0.144444,0.1,True,possible_same_person,manual_review
g thomalla,True,2673431,2433634490,G. Thomalla,G. Thomalla,9,5,False,12,0.1875,0.5,True,possible_same_person,manual_review
m sughrue,True,3176087,1753052766,M. Sughrue,M. Sughrue,38,2,False,12,0.130435,0.5,True,possible_same_person,manual_review
s zipursky,True,145808427,2290638063,S. Zipursky,S. Zipursky,6,2,False,11,0.180328,0.0,True,possible_same_person,manual_review
g sorrentino,True,50622558,2253563968,G. Sorrentino,G. Sorrentino,11,2,False,10,0.192308,1.0,True,possible_same_person,manual_review
m quarantelli,True,2268850130,3027981,M. Quarantelli,M. Quarantelli,7,1,False,10,0.185185,1.0,True,possible_same_person,manual_review
l hong,False,143905189,2256929790,L. Hong,L. E. Hong,3,4,False,10,0.181818,0.5,True,possible_same_person,manual_review
caio seguin,True,2308902,2264623501,Caio Seguin,Caio Seguin,16,7,False,10,0.147059,0.375,True,possible_same_person,manual_review
james anderson,True,2110869385,2284642795,James R. Anderson,James R Anderson,19,2,False,10,0.136986,0.285714,True,possible_same_person,manual_review
thomas nichols,True,2358653,2284232772,Thomas E. Nichols,Thomas E. Nichols,9,3,False,10,0.1,0.5,True,possible_same_person,manual_review
bennett landman,False,2345543890,2318038614,Bennett A. Landman,Bennett Landman,4,3,False,9,0.191489,0.666667,True,possible_same_person,manual_review
takuya hayashi,True,2150276028,46582876,Takuya Hayashi,Takuya Hayashi,2,3,False,9,0.1875,0.5,True,possible_same_person,manual_review
j horn,False,30482845,2106841357,J. D. Horn,J. V. Horn,2,1,False,8,0.190476,0.25,True,possible_same_person,manual_review
m preti,False,40439592,2233432999,M. Preti,M. G. Preti,10,4,False,8,0.153846,0.5,True,possible_same_person,manual_review
j polimeni,True,1782963,79899557,J. Polimeni,J. Polimeni,2,4,False,8,0.114286,0.666667,True,possible_same_person,manual_review
f hummel,True,3303639,2251639404,F. Hummel,F. Hummel,2,1,False,7,0.170732,0.666667,True,possible_same_person,manual_review
han zhang,True,46702759,48213346,Han Zhang,Han Zhang,6,3,False,7,0.166667,0.666667,True,possible_same_person,manual_review
l donnell,True,1398222646,2065158579,L. O’Donnell,L. O’Donnell,5,8,False,7,0.127273,0.5,True,possible_same_person,manual_review
jesse brown,True,17283949,1405909177,Jesse A. Brown,Jesse A. Brown,2,2,False,6,0.133333,0.666667,True,possible_same_person,manual_review
a anderson,True,3184950,2082391190,A. Anderson,A. Anderson,3,1,False,5,0.178571,0.2,True,possible_same_person,manual_review
f castellanos,False,2274994535,2106833012,F. X. Castellanos,F. Castellanos,2,3,False,5,0.178571,1.0,True,possible_same_person,manual_review
lori beason held,True,2387315500,2408656428,Lori L. Beason Held,Lori L. Beason Held,1,1,False,5,0.166667,0.333333,True,possible_same_person,manual_review
a romano,True,2186648267,2253492842,A. Romano,A. Romano,4,1,False,5,0.16129,1.0,True,possible_same_person,manual_review
a mcevoy,True,1694674,83328011,A. McEvoy,A. McEvoy,4,1,False,5,0.151515,0.666667,True,possible_same_person,manual_review
yong he,True,2238392863,2381068950,Yong He,Yong He,3,1,False,5,0.151515,1.0,True,possible_same_person,manual_review
salvatore bertino,True,46819355,2266498822,Salvatore Bertino,Salvatore Bertino,9,1,False,5,0.142857,0.5,True,possible_same_person,manual_review
bennett landman,True,2239208043,2133475009,Bennett A. Landman,Bennett A. Landman,3,3,False,5,0.135135,0.5,True,possible_same_person,manual_review
erik johnson,True,2118693758,2148774359,Erik C. Johnson,Erik C. Johnson,6,1,False,5,0.135135,0.2,True,possible_same_person,manual_review
alexandra badea,True,2254973337,2327665423,Alexandra Badea,Alexandra Badea,12,1,False,5,0.111111,0.5,True,possible_same_person,manual_review
shuo chen,True,2032577179,2263266213,Shuo Chen,Shuo Chen,8,2,False,5,0.108696,0.5,True,possible_same_person,manual_review
b cheng,True,34999338,2254417054,B. Cheng,B. Cheng,10,1,False,5,0.104167,0.666667,True,possible_same_person,manual_review
f castellanos,True,2274994535,2247916403,F. X. Castellanos,F. X. Castellanos,2,2,False,4,0.166667,1.0,True,possible_same_person,manual_review
s cox,True,4609184,1600505736,S. Cox,S. Cox,5,1,False,4,0.16,0.25,True,possible_same_person,manual_review
g johnson,True,144593034,2241679478,G. Johnson,G. Johnson,4,1,False,4,0.137931,1.0,True,possible_same_person,manual_review
g johnson,True,144593034,2250191335,G. Johnson,G. Johnson,4,1,False,4,0.129032,0.5,True,possible_same_person,manual_review
k davis,True,51046501,2111798344,K. Davis,K. Davis,4,1,False,4,0.125,0.5,True,possible_same_person,manual_review
robert smith,True,2214312998,2115488282,Robert G. Smith,Robert G. Smith,1,3,False,4,0.117647,0.0,True,possible_same_person,manual_review
susan resnick,False,2262174798,2318037732,Susan M. Resnick,Susan Resnick,3,1,False,4,0.102564,1.0,True,possible_same_person,manual_review
russell shinohara,True,2266750069,2311844748,Russell T. Shinohara,Russell T. Shinohara,1,1,False,3,0.1875,0.5,True,possible_same_person,manual_review
l cipriano,True,2268850174,1978718184,L. Cipriano,L. Cipriano,2,1,False,3,0.136364,0.5,True,possible_same_person,manual_review
f castellanos,True,2361004201,2247916403,F. X. Castellanos,F. X. Castellanos,3,2,False,3,0.12,0.5,True,possible_same_person,manual_review
jonathan smallwood,True,2258925777,2271011653,Jonathan Smallwood,Jonathan Smallwood,1,1,False,3,0.115385,1.0,True,possible_same_person,manual_review
jason kim,True,2110021243,2392759772,Jason Z. Kim,Jason Z Kim,3,1,False,3,0.111111,0.5,True,possible_same_person,manual_review
p thompson,True,2149570536,2077480089,P. Thompson,P. Thompson,2,1,False,3,0.111111,0.5,True,possible_same_person,manual_review
f castellanos,False,2247916403,2106833012,F. X. Castellanos,F. Castellanos,2,3,False,3,0.107143,1.0,True,possible_same_person,manual_review
f castellanos,False,2361004201,2106833012,F. X. Castellanos,F. Castellanos,3,3,False,3,0.1,0.5,True,possible_same_person,manual_review
jagath rajapakse,True,2332585255,2264332959,Jagath C. Rajapakse,Jagath C. Rajapakse,2,1,False,2,0.333333,1.0,True,possible_same_person,manual_review
jaeseung jeong,True,1684522,2112510900,Jaeseung Jeong,Jaeseung Jeong,1,2,False,2,0.285714,1.0,True,possible_same_person,manual_review
guorong wu,True,2255506351,2336939877,Guorong Wu,Guorong Wu,8,1,False,2,0.222222,0.333333,True,possible_same_person,manual_review
ting zhao,True,2114773827,2114775208,Ting Zhao,Ting Zhao,1,2,False,2,0.2,0.0,True,possible_same_person,manual_review
daniel alexander,False,2360592447,2316503748,Daniel C. Alexander,Daniel Alexander,1,1,False,2,0.166667,0.666667,True,possible_same_person,manual_review
zhengwu zhang,True,2047671,2257369938,Zhengwu Zhang,Zhengwu Zhang,7,1,False,2,0.142857,1.0,True,possible_same_person,manual_review
y wu,True,121961846,153017430,Y. Wu,Y. Wu,1,1,False,2,0.133333,1.0,True,possible_same_person,manual_review
heng huang,True,2146257986,145114933,Heng Huang,Heng Huang,6,1,False,2,0.111111,0.666667,True,possible_same_person,manual_review
m chakravarty,True,2237995063,2228020072,M. Chakravarty,M. Chakravarty,1,1,False,2,0.111111,0.0,True,possible_same_person,manual_review
mukesh bangalore renuka,True,2228851184,2228893178,Mukesh Bangalore Renuka,Mukesh Bangalore Renuka,1,1,False,2,0.111111,0.25,True,possible_same_person,manual_review
r friedrich,True,2088065,2256792524,R. Friedrich,R. Friedrich,7,4,False,2,0.105263,0.2,True,possible_same_person,manual_review
yong he,True,2381068950,2118926146,Yong He,Yong He,1,1,False,1,0.166667,0.0,True,possible_same_person,manual_review
feng wu,True,2303382819,2315070324,Feng Wu,Feng Wu,1,1,False,1,0.111111,0.0,True,possible_same_person,manual_review
francisco de santiago requejo,True,1391674718,1403572168,Francisco de Santiago Requejo,Francisco de Santiago Requejo,2,1,False,75,0.974026,1.0,False,ambiguous_name_collision,manual_review
r george,True,2279030858,5179773,R. George,R. George,3,3,False,65,0.247148,0.5,False,ambiguous_name_collision,manual_review
paul brooks,True,152766360,2305591943,Paul Brooks,Paul Brooks,2,4,False,63,0.247059,0.0,False,ambiguous_name_collision,manual_review
philip hubbard,True,7945105,2304334087,Philip M. Hubbard,Philip M Hubbard,5,2,False,59,0.302564,0.4,False,ambiguous_name_collision,manual_review
hongkui zeng,True,2308074395,2194809,Hongkui Zeng,Hongkui Zeng,2,11,False,57,0.261468,1.0,False,ambiguous_name_collision,manual_review
c ribeiro,True,1571650830,2059671965,C. Ribeiro,C. Ribeiro,3,2,False,55,0.291005,0.75,False,ambiguous_name_collision,manual_review
saumil patel,True,2341872654,4330752,Saumil S. Patel,Saumil S. Patel,5,3,False,49,0.471154,0.166667,False,ambiguous_name_collision,manual_review
yuelong wu,True,2306927516,10184943,Yuelong Wu,Yuelong Wu,10,9,False,40,0.210526,0.5,False,ambiguous_name_collision,manual_review
hannah choi,False,2267304570,2257074025,Hannah Choi,Hannah L Choi,1,1,False,35,0.648148,1.0,False,ambiguous_name_collision,manual_review
hui gong,True,2253400284,2320556068,Hui Gong,Hui Gong,1,2,False,35,0.603448,1.0,False,ambiguous_name_collision,manual_review
zudi lin,True,2254329662,151389936,Zudi Lin,Zudi Lin,5,9,False,34,0.222222,0.285714,False,ambiguous_name_collision,manual_review
shuohong wang,True,2263247153,3212404,Shuohong Wang,Shuohong Wang,4,2,False,30,0.252101,0.5,False,ambiguous_name_collision,manual_review
j lau,True,2005944977,2061668992,J. Lau,J. Lau,1,1,False,22,0.611111,0.5,False,ambiguous_name_collision,manual_review
luke bailey,True,2165577488,2365877734,Luke Bailey,Luke Bailey,1,1,False,22,0.611111,0.5,False,ambiguous_name_collision,manual_review
h pfister,True,143758236,2296996802,H. Pfister,H. Pfister,32,4,False,22,0.094017,0.3,False,ambiguous_name_collision,manual_review
haiping lu,True,2349372750,2218830947,Haiping Lu,Haiping Lu,1,1,False,19,0.655172,1.0,False,ambiguous_name_collision,manual_review
tao fang,True,2288617248,2057026124,Tao Fang,Tao Fang,2,2,False,18,0.6,1.0,False,ambiguous_name_collision,manual_review
yong he,True,145475635,2239415360,Yong He,Yong He,38,3,False,18,0.083333,0.25,False,ambiguous_name_collision,manual_review
j brandon,True,1412079335,1475350075,J. Brandon,J. Brandon,2,1,False,17,0.207317,1.0,False,ambiguous_name_collision,manual_review
p kochunov,True,144886405,2331921584,P. Kochunov,P. Kochunov,12,2,False,17,0.117241,0.333333,False,ambiguous_name_collision,manual_review
stephen smith,True,2162210436,2254774234,Stephen M. Smith,Stephen M. Smith,27,1,False,17,0.080569,0.25,True,ambiguous_name_collision,manual_review
v calhoun,True,2132419391,144048760,V. Calhoun,V. Calhoun,9,19,False,17,0.044271,0.75,True,ambiguous_name_collision,manual_review
yajun xie,True,2110337174,2177520731,Yajun Xie,Yajun Xie,1,1,False,16,0.941176,0.0,False,ambiguous_name_collision,manual_review
j graham,True,2266368347,47581862,J. Graham,J. Graham,1,1,False,16,0.8,1.0,False,ambiguous_name_collision,manual_review
p mcgorry,True,2141200945,2237614585,P. McGorry,P. McGorry,1,1,False,16,0.8,1.0,False,ambiguous_name_collision,manual_review
s francey,True,1972763072,5289629,S. Francey,S. Francey,1,1,False,16,0.8,1.0,False,ambiguous_name_collision,manual_review
s wood,True,2054093626,2311840483,S. Wood,S. Wood,1,1,False,16,0.8,1.0,False,ambiguous_name_collision,manual_review
a segal,True,2266163096,2148494812,A. Segal,A. Segal,1,2,False,16,0.727273,0.666667,False,ambiguous_name_collision,manual_review
s chopra,True,32661462,152718133,S. Chopra,S. Chopra,1,3,False,16,0.533333,0.666667,False,ambiguous_name_collision,manual_review
jia hong gao,True,2238393718,143838400,Jia-Hong Gao,Jia-Hong Gao,3,1,False,16,0.4,1.0,False,ambiguous_name_collision,manual_review
xinyuan liang,True,2242547908,2032665401,Xinyuan Liang,Xinyuan Liang,5,2,False,16,0.363636,1.0,False,ambiguous_name_collision,manual_review
shaozheng qin,True,2261328855,2003131,Shaozheng Qin,Shaozheng Qin,4,1,False,16,0.347826,1.0,False,ambiguous_name_collision,manual_review
shuping tan,True,2238406798,33382606,Shuping Tan,Shuping Tan,4,1,False,16,0.347826,1.0,False,ambiguous_name_collision,manual_review
a edwards,False,2112879490,2254416109,A. Edwards,A. D. Edwards,5,1,False,16,0.307692,0.5,False,ambiguous_name_collision,manual_review
j elam,False,47072476,2251184833,J. Elam,J. S. Elam,5,1,False,16,0.271186,0.333333,False,ambiguous_name_collision,manual_review
p thompson,True,2412795623,145363223,P. Thompson,P. Thompson,33,6,False,16,0.030534,0.75,True,ambiguous_name_collision,manual_review
yunman xia,True,21015847,2240121731,Yunman Xia,Yunman Xia,1,2,False,15,0.384615,1.0,False,ambiguous_name_collision,manual_review
chun xu,True,2115784384,2357016096,Chun Xu,Chun Xu,1,2,False,15,0.283019,0.5,False,ambiguous_name_collision,manual_review
t hahn,True,38915503,2350735674,T. Hahn,T. Hahn,4,1,False,15,0.197368,0.666667,False,ambiguous_name_collision,manual_review
s waddell,True,145624146,2205124053,S. Waddell,S. Waddell,4,3,False,15,0.103448,0.0,False,ambiguous_name_collision,manual_review
stephen smith,True,2162210436,2149153544,Stephen M. Smith,Stephen M. Smith,27,2,False,15,0.069767,0.5,True,ambiguous_name_collision,manual_review
yong he,True,145475635,2238392863,Yong He,Yong He,38,3,False,15,0.068493,0.25,False,ambiguous_name_collision,manual_review
t kircher,True,2304485,2246485895,T. Kircher,T. Kircher,6,1,False,15,0.061475,0.666667,False,ambiguous_name_collision,manual_review
xiaomeng han,True,2262461176,2118233252,Xiaomeng Han,Xiaomeng Han,1,1,False,14,0.583333,1.0,False,ambiguous_name_collision,manual_review
hanpeng xu,True,120178439,2327314721,Hanpeng Xu,Hanpeng Xu,1,1,False,14,0.2,0.0,False,ambiguous_name_collision,manual_review
x yang,False,2107540947,2117947284,X. W. Yang,X. Yang,1,1,False,14,0.2,0.0,False,ambiguous_name_collision,manual_review
li zhang,False,1557388497,2359797640,Li I. Zhang,Li Zhang,2,1,False,14,0.16092,0.0,False,ambiguous_name_collision,manual_review
quanxin wang,True,2300020452,2117950218,Quanxin Wang,Quanxin Wang,2,2,False,14,0.134615,1.0,False,ambiguous_name_collision,manual_review
marisa hughes,False,2125921467,153526696,Marisa J. Hughes,Marisa Hughes,1,1,False,13,0.684211,1.0,False,ambiguous_name_collision,manual_review
