record_id,author_group,year,title,venue,branch,verification,doi,source_url,source_note,core_status,role_tags,absolute_core_attestation,screener_tag_status,first_discovery_event,importance_note,status
NC031,Meirovitch et al.,2026,SmartEM: machine learning-guided electron microscopy,Nature Methods,Acquisition / AI,A,10.1038/s41592-025-02929-3,https://doi.org/10.1038/s41592-025-02929-3,fresh 2026 safeguard; primary record,field_defining_core,major_enabling;specialized_frontier,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0005,Moves machine learning into acquisition control and reports major throughput gains.,included
NC032,Chen et al.,2026,Volumetric denoising enables high-throughput volume electron microscopy and efficient downstream analysis,Cell Reports Methods,Acquisition / image restoration,A,10.1016/j.crmeth.2026.101543,https://doi.org/10.1016/j.crmeth.2026.101543,fresh August-2026 safeguard; publisher record,not_core,specialized_frontier,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0005,Very recent acquisition/denoising optimization; retained as frontier rather than landmark.,included
NC033,Chandok et al.,2026,RAEM: random-access electron microscopy for revisitable 3D imaging,bioRxiv,Acquisition / targeted imaging,A,10.64898/2026.06.18.732873,https://doi.org/10.64898/2026.06.18.732873,fresh 2026 safeguard; PubMed preprint record,not_core,specialized_frontier,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0005,Preprint introducing revisitable targeted multiscale EM; publication status explicitly preserved.,included
NC034,Wildenberg et al.,2025,Photoemission electron microscopy for connectomics,Proceedings of the National Academy of Sciences,Acquisition,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 92,not_core,specialized_frontier,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Emerging alternative EM acquisition approach.,included
NC035,"Saalfeld, Cardona, Hartenstein & Tomancak",2009,CATMAID: collaborative annotation toolkit for massive amounts of image data,Bioinformatics,Infrastructure / annotation,A,10.1093/bioinformatics/btp266,https://doi.org/10.1093/bioinformatics/btp266,fresh infrastructure branch search; PubMed verified,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0006,Foundational collaborative browser-based annotation infrastructure.,included
NC036,Turaga et al.,2010,Convolutional networks can learn to generate affinity graphs for image segmentation,Neural Computation,Segmentation,B,10.1162/neco.2009.10-08-881,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 149,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Foundational learning formulation for connectomic segmentation.,included
NC037,"Jain, Seung & Turaga",2010,Machines that learn to segment images: a crucial technology for connectomics,Current Opinion in Neurobiology,Segmentation / review,B,10.1016/j.conb.2010.07.004,https://www.nature.com/articles/s41583-025-00998-z,fresh branch search / authoritative literature,not_core,teaching_reference,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0003,Canonical explanation of why machine-learning segmentation is central to connectomics.,included
NC038,"Chklovskii, Vitaladevuni & Scheffer",2010,Semi-automated reconstruction of neural circuits using electron microscopy,Current Opinion in Neurobiology,Reconstruction / review,B,10.1016/j.conb.2010.08.002,https://www.nature.com/articles/s41583-025-00998-z,fresh branch search / authoritative literature,not_core,teaching_reference,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0003,Early synthesis of semi-automated EM reconstruction.,included
NC039,"Helmstaedter, Briggman & Denk",2011,High-accuracy neurite reconstruction for high-throughput neuroanatomy,Nature Neuroscience,Reconstruction,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 103,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,High-accuracy reconstruction methodology for scaling annotation.,included
NC040,Saalfeld et al.,2012,Elastic volume reconstruction from series of ultra-thin microscopy sections,Nature Methods,Alignment,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 99,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Foundational elastic registration for serial-section volumes.,included
NC041,"Berning, Boergens & Helmstaedter",2015,SegEM: efficient image analysis for high-resolution connectomics,Neuron,Segmentation,A,10.1016/j.neuron.2015.09.003,https://doi.org/10.1016/j.neuron.2015.09.003,fresh webKnossos publication lineage,not_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0006,Important segmentation pipeline bridging image analysis to connectome reconstruction.,included
NC042,Boergens et al.,2017,webKnossos: efficient online 3D data annotation for connectomics,Nature Methods,Infrastructure / annotation,A,10.1038/nmeth.4331,https://doi.org/10.1038/nmeth.4331,fresh infrastructure branch search; Nature/PubMed verified,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0006,Major scalable web-based annotation platform.,included
NC043,Dorkenwald et al.,2017,Automated synaptic connectivity inference for volume electron microscopy,Nature Methods,Synapse inference,B,10.1038/nmeth.4206,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 119,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Automated inference of synaptic connectivity from vEM.,included
NC044,Staffler et al.,2017,"SynEM, automated synapse detection for connectomics",eLife,Synapse detection,A,10.7554/eLife.26414,https://doi.org/10.7554/eLife.26414,fresh eLife/PubMed record,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,Automated synapse detection removed a major large-scale analysis bottleneck.,included
NC045,Januszewski et al.,2018,High-precision automated reconstruction of neurons with flood-filling networks,Nature Methods,Segmentation / reconstruction,A,10.1038/s41592-018-0049-4,https://doi.org/10.1038/s41592-018-0049-4,fresh primary record,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,Landmark flood-filling-network reconstruction method.,included
NC046,Dorkenwald et al.,2022,FlyWire: online community for whole-brain connectomics,Nature Methods,Infrastructure / proofreading,A,10.1038/s41592-021-01330-0,https://doi.org/10.1038/s41592-021-01330-0,fresh infrastructure branch search; Nature/PubMed verified,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0006,Scaled collaborative proofreading to whole-brain community reconstruction.,included
NC047,Sheridan et al.,2023,Local shape descriptors for neuron segmentation,Nature Methods,Segmentation,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 115,not_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Modern local-shape representation for neuron segmentation.,included
NC048,Popovych et al.,2024,Petascale pipeline for precise alignment of images from serial section electron microscopy,Nature Communications,Alignment,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 76,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Petascale serial-section alignment pipeline.,included
NC049,Schmidt et al.,2024,RoboEM: automated 3D flight tracing for synaptic-resolution connectomics,Nature Methods,Reconstruction,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 16,not_core,major_enabling;specialized_frontier,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Automated tracing approach for synaptic-resolution datasets.,included
NC050,Januszewski & Jain,2024,Next-generation AI for connectomics,Nature Methods,Computation / review,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 118,not_core,teaching_reference,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Current perspective on AI directions in reconstruction.,included
NC051,Dorkenwald et al.,2025,CAVE: Connectome Annotation Versioning Engine,Nature Methods,Infrastructure / versioning,A,10.1038/s41592-024-02426-z,https://doi.org/10.1038/s41592-024-02426-z,fresh infrastructure branch search; Nature verified,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0006,Petascale versioned proofreading and annotation infrastructure.,included
NC052,Celii et al.,2025,NEURD offers automated proofreading and feature extraction for connectomics,Nature,Proofreading / analysis,A,10.1038/s41586-025-08660-5,https://doi.org/10.1038/s41586-025-08660-5,fresh final saturation search; Nature verified,field_defining_core,major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0007,Automated proofreading and feature-extraction layer for large mammalian datasets.,included
NC053,BENCHMARK working group,2024,Nanoscale Connectomics Annotation Standards Framework,Frontiers / PMC record,Infrastructure / standards,A,,https://pubmed.ncbi.nlm.nih.gov/39575115/,fresh final saturation search; PubMed/PMC verified,not_core,major_enabling;teaching_reference,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0007,Community framework for interoperable connectomic annotations and FAIR practice.,included
NC054,BENCHMARK working group,2026,EM and XRM Connectomics Imaging and Experimental Metadata Standards,Neuroinformatics / PMC record,Infrastructure / standards,A,,https://pubmed.ncbi.nlm.nih.gov/41503102/,fresh final saturation search; PubMed/PMC verified,not_core,major_enabling;specialized_frontier,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0007,Versioned metadata standards for EM/XRM connectomics interoperability.,included
NC055,"White, Southgate, Thomson & Brenner",1986,The structure of the nervous system of the nematode Caenorhabditis elegans,Philosophical Transactions of the Royal Society B,C. elegans / foundational,A,10.1098/rstb.1986.0056,https://doi.org/10.1098/rstb.1986.0056,fresh primary bibliographic record,field_defining_core,important_application;teaching_reference,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,First complete nervous-system wiring diagram and historical field foundation.,included
NC056,Varshney et al.,2011,Structural properties of the Caenorhabditis elegans neuronal network,PLoS Computational Biology,C. elegans / analysis,B,10.1371/journal.pcbi.1001066,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 101,not_core,important_application,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Network-level analysis of the canonical worm connectome.,included
NC057,Bumbarger et al.,2013,System-wide rewiring underlies behavioral differences in predatory and bacterial-feeding nematodes,Cell,Comparative nematodes,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 154,not_core,important_application,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Comparative connectomics linking system-wide rewiring to behavior.,included
NC058,Cook et al.,2019,Whole-animal connectomes of both Caenorhabditis elegans sexes,Nature,C. elegans / whole animal,A,10.1038/s41586-019-1352-7,https://doi.org/10.1038/s41586-019-1352-7,fresh primary record,field_defining_core,important_application,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,"Whole-animal, both-sex connectomic reconstruction.",included
NC059,Hong et al.,2019,Evolution of neuronal anatomy and circuitry in two highly divergent nematode species,eLife,Comparative nematodes,B,10.7554/eLife.47155,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 155,not_core,important_application,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Comparative evolutionary circuit analysis.,included
NC060,Witvliet et al.,2021,Connectomes across development reveal principles of brain maturation,Nature,C. elegans / development,A,10.1038/s41586-021-03778-8,https://doi.org/10.1038/s41586-021-03778-8,fresh primary record,field_defining_core,important_application,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,Developmental series transformed a static connectome into a maturation trajectory.,included
NC061,Takemura et al.,2013,A visual motion detection circuit suggested by Drosophila connectomics,Nature,Drosophila / visual,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 28,field_defining_core,important_application,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Early dense connectomic circuit discovery in fly vision.,included
NC062,Takemura et al.,2017,The comprehensive connectome of a neural substrate for ‘ON’ motion detection in Drosophila,eLife,Drosophila / visual,B,10.7554/eLife.24394,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 29,field_defining_core,important_application,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Comprehensive synaptic circuit map for ON-motion detection.,included
NC063,Eichler et al.,2017,The complete connectome of a learning and memory centre in an insect brain,Nature,Drosophila / learning,B,,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 104,field_defining_core,important_application,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Complete mushroom-body learning/memory circuit connectome.,included
NC064,Zheng et al.,2018,A complete electron microscopy volume of the brain of adult Drosophila melanogaster,Cell,Drosophila / dataset,A,10.1016/j.cell.2018.06.019,https://doi.org/10.1016/j.cell.2018.06.019,fresh primary record,field_defining_core,major_enabling;important_application,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,FAFB whole adult-brain EM volume enabling later whole-brain reconstruction.,included
NC065,Scheffer et al.,2020,A connectome and analysis of the adult Drosophila central brain,eLife,Drosophila / hemibrain,A,10.7554/eLife.57443,https://doi.org/10.7554/eLife.57443,fresh eLife record,field_defining_core,important_application;major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,Hemibrain-scale connectome and analysis resource.,included
NC066,Phelps et al.,2021,Reconstruction of motor control circuits in adult Drosophila using automated transmission electron microscopy,Cell,Drosophila / motor,A,10.1016/j.cell.2020.12.013,https://doi.org/10.1016/j.cell.2020.12.013,fresh primary record,field_defining_core,major_enabling;important_application,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,Large motor-circuit reconstruction coupled to automated TEM.,included
NC067,Winding et al.,2023,The connectome of an insect brain,Science,Drosophila / larval whole brain,A,10.1126/science.add9330,https://doi.org/10.1126/science.add9330,fresh primary record,field_defining_core,important_application,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,Whole-brain larval insect connectome at synaptic resolution.,included
NC068,Dorkenwald et al.,2024,Neuronal wiring diagram of an adult brain,Nature,Drosophila / adult whole brain,A,10.1038/s41586-024-07558-y,https://doi.org/10.1038/s41586-024-07558-y,fresh primary record,field_defining_core,important_application;major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,Adult Drosophila whole-brain wiring diagram.,included
NC069,Schlegel et al.,2024,Whole-brain annotation and multi-connectome cell typing of Drosophila,Nature,Drosophila / cell typing,A,10.1038/s41586-024-07686-5,https://doi.org/10.1038/s41586-024-07686-5,fresh primary Nature/PubMed verification,field_defining_core,important_application;major_enabling,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0007,Systematic cell-type annotation layered onto the whole-brain connectome.,included
NC070,Matsliah et al.,2024,Neuronal parts list and wiring diagram for a visual system,Nature,Drosophila / visual,A,10.1038/s41586-024-07981-1,https://doi.org/10.1038/s41586-024-07981-1,fresh primary record,field_defining_core,important_application,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,Large visual-system parts list and synaptic wiring resource.,included
NC071,Lin et al.,2024,Network statistics of the whole-brain connectome of Drosophila,Nature,Drosophila / network analysis,A,10.1038/s41586-024-07968-y,https://doi.org/10.1038/s41586-024-07968-y,fresh primary record,not_core,important_application,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0004,Whole-brain network-statistics analysis of the adult fly connectome.,included
NC072,Garner et al.,2024,Connectomic reconstruction predicts visual features used for navigation,Nature,Drosophila / function,B,10.1038/s41586-024-07967-z,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 129,not_core,important_application,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Connectome-derived prediction of visual features supporting navigation.,included
NC073,Pospisil et al.,2024,The fly connectome reveals a path to the effectome,Nature,Drosophila / function,B,10.1038/s41586-024-07982-0,https://www.nature.com/articles/s41583-025-00998-z,Helmstaedter 2026 ref 130,not_core,important_application,not_adjudicated_rule_text_unavailable,not_adjudicated_frozen_list_unavailable,F-0001,Uses the connectome to move from wiring toward causal effect mapping.,included
